checked_date,cisi,row_id,site,type,symbol,cult,governed_by_002,governed_head,prev_before_002,prev_before_125,next_after_125,next2_after_125,tail2_after_125,signs_after_125,closes_within_2_signs,model_implication,text
2026-05-31,Ad-2,7.1,Allahdino,SEAL:S,Bull1:J,SAN,false,,,390,033,<END>,033-<END>,1,true,terminality_adversary_for_generic_125_closer,+368-390-125-033+
2026-05-31,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,true,297,003,350,413,<END>,413-<END>,1,true,governed_125_right_edge_tail,+226-003-002-297-350-125-413+
2026-05-31,C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,false,,,<START>,002,861,002-861,2,true,terminality_adversary_for_generic_125_closer,+125-002-861+
2026-05-31,H-1921,498.1,Harappa,TAB:B,None,None,false,,,<START>,700,033,700-033,2,true,terminality_adversary_for_generic_125_closer,+125-700-033+
2026-05-31,H-1946,658.3,Harappa,TAB:B,None,None,false,,,700,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+700-125+
2026-05-31,H-1710,932.1,Harappa,SEAL:R,None,None,false,,,920,001,055,001-055,4,false,nongoverned_125_background,+090-326-700-920-125-001-055-920-140+
2026-05-31,H-10,1071.1,Harappa,SEAL:S,Bull1:W,SAO,false,,,018,381,<END>,381-<END>,1,true,terminality_adversary_for_generic_125_closer,+820-302-596-018-125-381+
2026-05-31,H-11,1072.1,Harappa,SEAL:S,Bull1:W,SAN,false,,,000,204,<END>,204-<END>,1,true,terminality_adversary_for_generic_125_closer,+000-125-204+
2026-05-31,H-50,1109.1,Harappa,SEAL:S,Bull1:W,SAN,false,,,406,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+740-406-590-741-406-125+
2026-05-31,H-52,1111.1,Harappa,SEAL:S,Bull1:J,RAN,false,,,590,741,000,741-000,3,false,nongoverned_125_background,+740-390-590-125-741-000-000+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,true,861,004,861,<END>,<END>,<END>-<END>,0,true,governed_125_right_edge_tail,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,true,610,<START>,610,032,<END>,032-<END>,1,true,governed_125_right_edge_tail,+002-610-125-032+
2026-05-31,H-130,1171.1,Harappa,SEAL:R,None,None,true,595,806,812,717,<END>,717-<END>,1,true,governed_125_right_edge_tail,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,H-246,1271.2,Harappa,TAB:B,None,None,false,,,<START>,700,033,700-033,2,true,terminality_adversary_for_generic_125_closer,+125-700-033+
2026-05-31,H-467,1455.1,Harappa,SEAL:S,Bull1:J,RAN,false,,,390,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,]741-390-125+
2026-05-31,H-611,1551.1,Harappa,SEAL:S,None,None,false,,,002,590,<END>,590-<END>,1,true,terminality_adversary_for_generic_125_closer,+527-550-002-125-590+
2026-05-31,H-642,1557.1,Harappa,SEAL:R,None,None,false,,,354,812,033,812-033,2,true,terminality_adversary_for_generic_125_closer,+001-304-354-125-812-033+
2026-05-31,H-894,1776.2,Harappa,TAB:I,None,None,false,,,700,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+700-125+
2026-05-31,K-5,1880.1,Kalibangan,SEAL:S,Bull1:W,SAN,false,,,741,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+520-233-240-803-741-125+
2026-05-31,Lh-1,1981.1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,true,392,235,590,<END>,<END>,<END>-<END>,0,true,governed_125_right_edge_tail,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,L-193,2115.3,Lothal,TAG,Bull1,-,false,,,<START>,070,<END>,070-<END>,1,true,terminality_adversary_for_generic_125_closer,+125-070[
2026-05-31,M-1749,2195.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,false,,,455,031,<END>,031-<END>,1,true,terminality_adversary_for_generic_125_closer,+220-455-125-031+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,true,190,617,190,632,032,632-032,2,true,governed_125_right_edge_tail,+390-600-617-002-190-125-632-032+
2026-05-31,M-1688,2231.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,false,,,<START>,435,255,435-255,11,false,nongoverned_125_background,+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,true,320,803,705,<END>,<END>,<END>-<END>,0,true,governed_125_right_edge_tail,+740-773-233-803-002-320-705-125+
2026-05-31,M-1903,2471.1,Mohenjo-daro,SEAL:S,Buff,Trough,false,,,861,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+740-861-125+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,true,610,240,610,032,<END>,032-<END>,1,true,governed_125_right_edge_tail,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-1700,2517.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,false,,,400,745,<END>,745-<END>,1,true,terminality_adversary_for_generic_125_closer,+400-125-745+
2026-05-31,M-13,2541.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,false,,,304,<END>,<END>,<END>-<END>,0,true,terminality_adversary_for_generic_125_closer,+368-304-125+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,true,390,235,390,632,032,632-032,2,true,governed_125_right_edge_tail,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,true,405,235,405,820,<END>,820-<END>,1,true,governed_125_right_edge_tail,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,true,390,484,390,632,032,632-032,4,false,governed_125_continuing_tail,+151-337-484-002-390-125-632-032-900-563+
