checked_date,motif,cisi,row_id,site,type,symbol,cult,prev_before_motif,next_after_motif,left_prefix,right_suffix,local_context,model_implication,text
2026-05-31,297-350,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,002,125,226-003-002,125-413,226-003-002-297-350-125-413,supports_297_350_as_pair_head_selecting_125,+226-003-002-297-350-125-413+
2026-05-31,297-350,Ns-60,5361.1,Nausharo,SEAL:R,None,None,002,125,407-063-740-176-236-798-002,125-413,236-798-002-297-350-125-413,supports_297_350_as_pair_head_selecting_125,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,350-125,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,297,413,226-003-002-297,413,003-002-297-350-125-413,inside_297_350_title_template,+226-003-002-297-350-125-413+
2026-05-31,350-125,-,3769.1,Ganweriwala,TAG,-,-,299,176,740-400-061-299,176,400-061-299-350-125-176,adversary_for_350_125_as_independent_title_pair,+740-400-061-299-350-125-176+
2026-05-31,350-125,-,4218.1,Dholavira,SEAL:S,Bull1,-,000,812,000,812-033,000-350-125-812-033,adversary_for_350_125_as_independent_title_pair,]000-350-125-812-033+
2026-05-31,350-125,Ns-60,5361.1,Nausharo,SEAL:R,None,None,297,413,407-063-740-176-236-798-002-297,413,798-002-297-350-125-413,inside_297_350_title_template,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,125-413,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,350,<END>,226-003-002-297-350,<END>,002-297-350-125-413,terminal_tail_inside_297_350_template,+226-003-002-297-350-125-413+
2026-05-31,125-413,Ns-60,5361.1,Nausharo,SEAL:R,None,None,350,<END>,407-063-740-176-236-798-002-297-350,<END>,002-297-350-125-413,terminal_tail_inside_297_350_template,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,610-125-032,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,002,<END>,002,<END>,002-610-125-032,supports_610_as_governed_head,+002-610-125-032+
2026-05-31,610-125-032,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,002,<END>,520-033-705-233-240-002,<END>,233-240-002-610-125-032,supports_610_as_governed_head,+520-033-705-233-240-002-610-125-032+
2026-05-31,125-032,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,610,<END>,002-610,<END>,002-610-125-032,terminal_tail_under_610,+002-610-125-032+
2026-05-31,125-032,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,610,<END>,520-033-705-233-240-002-610,<END>,240-002-610-125-032,terminal_tail_under_610,+520-033-705-233-240-002-610-125-032+
2026-05-31,125-032,M-356,2852.1,Mohenjo-daro,SEAL:R,None,None,420,820,400-595-420,820-920-140,400-595-420-125-032-820-920-140,adversary_for_032_as_title_specific_tail,+400-595-420-125-032-820-920-140+
2026-05-31,390-125-632-032,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,002,<END>,740-690-435-255-220-032-240-235-002,<END>,240-235-002-390-125-632-032,supports_390_title_tail,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,390-125-632-032,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,002,900,151-337-484-002,900-563,337-484-002-390-125-632-032-900-563,supports_390_title_tail,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,190-125-632-032,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,002,<END>,390-600-617-002,<END>,600-617-002-190-125-632-032,supports_632_032_as_portable_cross_head_tail,+390-600-617-002-190-125-632-032+
2026-05-31,390-125-820,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,002,<END>,390-004-002,<END>,390-004-002-390-125-820,supports_p086_family_125_820_tail,+390-004-002-390-125-820+
2026-05-31,405-125-820,M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,002,<END>,740-636-240-233-235-002,<END>,233-235-002-405-125-820,supports_p086_family_125_820_tail,+740-636-240-233-235-002-405-125-820+
