checked_date,row_id,object,site,type,symbol,cult,prev_before_002,left3_before_002,head_after_002,head_classifier_class,branch_after_head,tail_after_head,full_tail_after_002,terminal_after_head,tail_has_125,p086_head_390_405,p086_extension_390_405_392,closure_head_817_820_861,broad_open_head,text
2026-05-31,74.1,C-58,Chanhu-daro,SEAL:S,Bull1,-,235,740 222 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+032-031/740-222-235-002-861+
2026-05-31,1060.1,H-1050,Harappa,SEAL:S,Bull1:W,SAN,235,804 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+804-235-002-817+
2026-05-31,1073.1,H-12,Harappa,SEAL:S,Bull1:W,SAF,235,220 240 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+740-690-435-255-803-220-240-235-002-817+
2026-05-31,1101.1,H-42,Harappa,SEAL:S,Bull1:J,RAN,235,740 380 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+740-380-235-002-817+
2026-05-31,1402.1,H-389,Harappa,SEAL:S,Bull1:W,SAN,235,405 590 235,031,open_selector_head,480,480 625,031 480 625,false,false,false,false,false,true,+740-405-590-235-002-031-480-625+
2026-05-31,1426.1,H-426,Harappa,SEAL:S,Bull1,-,235,000 240 235,460,low_count_unclassified,511,511,460 511,false,false,false,false,false,false,]000-240-235-002-460-511+
2026-05-31,1466.1,H-478,Harappa,SEAL:S,Bull1:W,SAN,235,740 770 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+740-770-235-002-817+
2026-05-31,1554.1,H-639,Harappa,SEAL:R,None,None,235,904 845 235,717,low_count_unclassified,747,747,717 747,false,false,false,false,false,false,+407-000-000-705-832-904-845-235-002-717-747+
2026-05-31,1981.1,Lh-1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,235,104 717 235,392,low_count_unclassified,590,590 125,392 590 125,false,true,false,true,false,false,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,2043.1,L-89,Lothal,SEAL:R,None,None,235,527 555 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+527-555-235-002-861+
2026-05-31,2113.2,L-191,Lothal,TAG,-,-,235,235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,]235-002-861+
2026-05-31,2239.1,M-1778,Mohenjo-daro,SEAL:S,Bull1:I,SAN,235,000 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,]000-235-002-861+
2026-05-31,2359.1,M-1693,Mohenjo-daro,SEAL:S,Bull1,SAN,235,033 706 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+527-555-033-706-235-002-817+
2026-05-31,2376.1,M-1842,Mohenjo-daro,SEAL:S,Bull1,RBF,235,520 000 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+520-000-235-002-861+
2026-05-31,2552.1,M-24,Mohenjo-daro,SEAL:S,Bull1:W,HAF,235,740 240 235,906,low_count_unclassified,140,140,906 140,false,false,false,false,false,false,+090-740-240-235-002-906-140+
2026-05-31,2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,SAN,235,032 240 235,390,open_selector_head,125,125 632 032,390 125 632 032,false,true,true,true,false,true,+740-690-435-255-220-032-240-235-002-390-125-632-032+
