cisi,id,site,type,symbol,cult,text,prev2,prev1,next1,next2,terminal_125,immediate_after_861,immediate_after_002_861,in_390004_frame,ecology_class,source_tier
Ad-2,7.1,Allahdino,SEAL:S,Bull1:J,SAN,+368-390-125-033+,368 390,390,033,033,False,False,False,False,other_nonterminal_125,unrouted
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,+390-004-002-861-125+,002 861,861,<END>,,True,True,True,True,singleton_post_002_861_terminal_125,source_visible_positive_witness
H-467,1455.1,Harappa,SEAL:S,Bull1:J,RAN,]741-390-125+,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted
M-1903,2471.1,Mohenjo-daro,SEAL:S,Buff,Trough,+740-861-125+,740 861,861,<END>,,True,True,False,False,post_861_terminal_125_outside_002_861,unrouted
M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,+740-690-435-255-220-032-240-235-002-390-125-632-032+,002 390,390,632,632 032,False,False,False,False,post_002_390_125_continuation,source_index_hint
M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,+151-337-484-002-390-125-632-032-900-563+,002 390,390,632,632 032,False,False,False,False,post_002_390_125_continuation,source_index_hint
M-314,2832.1,Mohenjo-daro,SEAL:S,None,None,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+,817 390,390,308,308 809,False,False,False,False,other_nonterminal_125,unrouted
M-320,2838.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,+740-176-741-390-125+,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted
M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,+740-760-235-002-390-125-195+,002 390,390,195,195,False,False,False,False,post_002_390_125_continuation,source_index_hint
M-878,3286.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,+740-900-005-741-390-125+,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,+390-004-002-390-125-820+,002 390,390,820,820,False,False,False,True,post_002_390_125_continuation,public_plate_route_candidate_not_panel_bound
