cisi,id,site,type,symbol,cult,shape,text,position_index0,text_len,prev2,prev1,next1,next2,terminal_125,immediate_after_861,immediate_after_002_861,in_390004_frame,ecology_class,source_tier,source_note,source_path_or_url
Ad-2,7.1,Allahdino,SEAL:S,Bull1:J,SAN,square,+368-390-125-033+,2,4,368 390,390,033,033,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,square,+226-003-002-297-350-125-413+,5,7,297 350,350,413,413,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,square,+125-002-861+,0,3,,<START>,002,002 861,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
H-1921,498.1,Harappa,TAB:B,None,None,circular,+125-700-033+,0,3,,<START>,700,700 033,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-1946,658.3,Harappa,TAB:B,None,None,prism,+700-125+,1,2,700,700,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
H-1710,932.1,Harappa,SEAL:R,None,None,rectangular,+090-326-700-920-125-001-055-920-140+,4,9,700 920,920,001,001 055,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-10,1071.1,Harappa,SEAL:S,Bull1:W,SAO,square,+820-302-596-018-125-381+,4,6,596 018,018,381,381,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-11,1072.1,Harappa,SEAL:S,Bull1:W,SAN,square,+000-125-204+,1,3,000,000,204,204,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-50,1109.1,Harappa,SEAL:S,Bull1:W,SAN,square,+740-406-590-741-406-125+,5,6,741 406,406,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
H-52,1111.1,Harappa,SEAL:S,Bull1:J,RAN,square,+740-390-590-125-741-000-000+,3,7,390 590,590,741,741 000,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,square,+390-004-002-861-125+,4,5,002 861,861,<END>,,True,True,True,True,singleton_post_002_861_terminal_125,source_visible_positive_witness,CISI India leaf n217 / printed p.182; same-line five-glyph H-55 band visible; token identity 125 remains catalog-mediated.,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n217/mode/1up
H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,square,+002-610-125-032+,2,4,002 610,610,032,032,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
H-130,1171.1,Harappa,SEAL:R,None,None,rectangular,+409-032-845-033-705-231-806-002-595-812-125-717+,10,12,595 812,812,717,717,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
H-246,1271.2,Harappa,TAB:B,None,None,circular,+125-700-033+,0,3,,<START>,700,700 033,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-467,1455.1,Harappa,SEAL:S,Bull1:J,RAN,square,]741-390-125+,2,3,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
H-611,1551.1,Harappa,SEAL:S,None,None,square,+527-550-002-125-590+,3,5,550 002,002,590,590,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
