cisi,id,site,type,symbol,cult,shape,material,condition,text,signs,starts_390004,has_390004_002,branch_after_002,has_002_861,tail_after_002_861,source_priority
B-9,33.1,Banawali,SEAL:S,Goat:3,None,square,Steatite,Fair,+390-004+,390 004,True,False,,False,,next_batch
H-1987,394.2,Harappa,TAB:B,None,None,rectangular,Clay,Fair,+390-004-455-371-741-590+,390 004 455 371 741 590,True,False,,False,,next_batch
H-2003,401.1,Harappa,TAB:B,Mult,None,rectangular,Clay,Poor,+390-004-002-817+,390 004 002 817,True,True,817,False,,next_batch
H-2186,519.2,Harappa,TAB:I,None,None,rectangular-round,Steatite,Fair,+390-004-155-390+,390 004 155 390,True,False,,False,,next_batch
-,951.1,Dholavira,SEAL:S,Bull1:U,SAN,square,Steatite,Good,+390-004-002-817+,390 004 002 817,True,True,817,False,,next_batch
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,square,Steatite,Fair,+390-004-002-861-125+,390 004 002 861 125,True,True,861,True,125,exact_prefix_focus
H-777,1668.2,Harappa,TAB:B,None,None,rectangular,-,Fair,+390-004-104+,390 004 104,True,False,,False,,next_batch
H-778,1669.2,Harappa,TAB:B,None,None,rectangular,-,Good,+390-004-817+,390 004 817,True,False,,False,,next_batch
K-50,1913.1,Kalibangan,SEAL:S,Comp,None,square,Steatite,Fine,+390-004+,390 004,True,False,,False,,next_batch
L-20,1998.1,Lothal,SEAL:S,Bull1:J,SAN,square,Steatite,Fair,+390-004-491+,390 004 491,True,False,,False,,next_batch
M-1742,2177.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,Fair,+390-004+,390 004,True,False,,False,,next_batch
M-1844,2418.1,Mohenjo-daro,SEAL:S,Bull1:U,SAN,square,Steatite,Poor,+390-004-002-817+,390 004 002 817,True,True,817,False,,next_batch
M-1731,2429.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Fair,+390-004-741-617+,390 004 741 617,True,False,,False,,next_batch
M-1750,2450.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,Fair,+390-004-002-861+,390 004 002 861,True,True,861,True,<END>,exact_prefix_focus
M-984,2453.1,Mohenjo-daro,SEAL:S,Bull1,-,square,Steatite,Poor,+390-004-002-817+,390 004 002 817,True,True,817,False,,next_batch
M-1831,2454.1,Mohenjo-daro,SEAL:S,Bull1:I,SAN,square,Steatite,Poor,+390-004-260+,390 004 260,True,False,,False,,next_batch
M-103,2630.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,Good,+390-004-002-820+,390 004 002 820,True,True,820,False,,next_batch
M-909,3310.1,Mohenjo-daro,SEAL:S,Bull1,-,square,-,Poor,+390-004-741-575[,390 004 741 575,True,False,,False,,next_batch
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,-,Poor,+390-004-002-390-125-820+,390 004 002 390 125 820,True,True,390,False,,next_batch
-,3884.1,Tell Umma,TAG:L,Bull1,SAN,-,Clay,Fair,+390-004-002-705-127+,390 004 002 705 127,True,True,705,False,,next_batch
M-1823,3991.1,Mohenjo-daro,SEAL:S,Bull1:S,RAN,square,-,Good,+390-004-002-031-376+,390 004 002 031 376,True,True,031,False,,next_batch
