checked_date,x,target_pair_count,global_390x_pair_count,non002_pair_count,target_share_of_global_390x,target_terminal_after_x,target_terminal_share,non002_terminal_after_x,non002_terminal_share,target_sites,non002_sites,target_tails,non002_tails,non002_top_tail,non002_top_tail_share,classification,target_examples,non002_examples
2026-05-31,072,1,1,0,1.000000,1,1.000000,0,NA,Harappa:1,,<END>:1,,,NA,governed_only_selector,H-68:+090-740-220-003-002-390-072+,
2026-05-31,095,2,3,1,0.666667,2,1.000000,0,0.000000,Harappa:1;Mohenjo-daro:1,Chanhu-daro:1,<END>:2,909 005 825 776 220 016:1,909 005 825 776 220 016,1.000000,governed_weighted_selector,H-1993:+740-000-220-004-002-390-095+ | M-71:+151-279-142-002-390-095+,C-40:+390-095-909-005-825-776-220-016+
2026-05-31,125,4,9,5,0.444444,0,0.000000,3,0.600000,Mohenjo-daro:3;Surkotada:1,Mohenjo-daro:3;Allahdino:1;Harappa:1,195:1;632 032:1;632 032 900 563:1;820:1,<END>:3;033:1;308 809 033 740 760 706 466 520 231 240 235 002 820:1,<END>,0.600000,inherited_formula_pressure,M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-735:+740-760-235-002-390-125-195+ | Sktd-1:+390-004-002-390-125-820+,Ad-2:+368-390-125-033+ | H-467:]741-390-125+ | M-314:+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+ | M-320:+740-176-741-390-125+ | M-878:+740-900-005-741-390-125+
2026-05-31,140,1,2,1,0.500000,1,1.000000,1,1.000000,Mohenjo-daro:1,Mohenjo-daro:1,<END>:1,<END>:1,<END>,1.000000,governed_weighted_selector,M-708:+740-061-002-390-140+,M-51:+740-798-460-350-235-741-390-140+
2026-05-31,346,1,1,0,1.000000,1,1.000000,0,NA,Mohenjo-daro:1,,<END>:1,,,NA,governed_only_selector,M-213:+740-384-002-390-346+,
2026-05-31,530,1,1,0,1.000000,0,0.000000,0,NA,Harappa:1,,741:1,,,NA,governed_only_selector,H-773:+740-798-803-002-390-530-741+,
2026-05-31,590,1,58,57,0.017241,0,0.000000,7,0.122807,Unknown:1,Mohenjo-daro:28;Harappa:18;Dholavira:4;Lothal:4;Chanhu-daro:1;Gonur Depe:1;Kish:1,032:1,<END>:7;002 861:3;002 817:2;032 002 000:2;000:1;000 798 000:1;001 060 820:1;002 000:1;002 374 840:1;002 817 690 544:1,<END>,0.122807,background_collocation_pressure,-:3335.1:+740-205-032-002-390-590-032+,M-1592:+740-390-590[ | C-12:+161-390-590-031-740-060-920+ | H-1776:+740-390-590-060-550+ | H-1692:+740-390-590-002-861+ | H-1801:+740-390-590-741[ | H-734:+740-390-590-240+ | H-39:+740-390-590-231-240-235-745-060-920+ | H-52:+740-390-590-125-741-000-000+
2026-05-31,692,1,1,0,1.000000,1,1.000000,0,NA,Mohenjo-daro:1,,<END>:1,,,NA,governed_only_selector,M-70:+226-032-002-390-692+,
2026-05-31,705,2,2,0,1.000000,2,1.000000,0,NA,Dholavira:1;Mohenjo-daro:1,,<END>:2,,,NA,governed_only_selector,M-1825:+157-031-002-390-705+ | -:4237.1:+151-032-388-002-390-705+,
2026-05-31,707,1,1,0,1.000000,1,1.000000,0,NA,Mohenjo-daro:1,,<END>:1,,,NA,governed_only_selector,M-232:+236-002-390-707+,
