checked_date,branch,frames,terminal,continuing,continuing_share,one_complement,one_complement_share,distinct_heads,distinct_sites,heads,sites,first_tails,decision,examples
2026-05-31,000,27,24,3,0.111111,2,0.074074,18,9,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,<END>:24;000:1;002:1;033:1,baseline,Ad-8:+740-440-503-002-861-000+ | H-1038:+740-519-002-297-000[ | H-2338:]740-061-002-575-000[ | -:617.1:]740-000-000-002-575-000[ | H-78:]000-806-002-575-000+ | H-461:+090-740-384-002-452-000+ | H-593:+740-760-235-240-002-220-000[ | H-609:]798-233-231-002-817-000+ | H-909:+002-820-000[ | K-44:+740-337-176-002-000-000[ | M-1787:+740-061-002-703-000+ | M-1884:+520-220-016-002-416-000+
2026-05-31,125,11,2,9,0.818182,5,0.454545,7,3,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,632:3;<END>:2;032:2;820:2;195:1;590:1,baseline,H-55:+390-004-002-861-125+ | H-74:+002-610-125-032+ | M-1692:+390-600-617-002-190-125-632-032+ | M-1665:+520-033-705-233-240-002-610-125-032+ | M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-41:+740-636-240-233-235-002-405-125-820+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-354:+740-729-407-845-236-002-906-125+ | M-735:+740-760-235-002-390-125-195+ | Sktd-1:+390-004-002-390-125-820+ | M-2055:+002-407-125-590-831+
2026-05-31,031,8,7,1,0.125000,0,0.000000,7,3,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,<END>:7;319:1,baseline,L-4:+090-740-100-233-002-575-031+ | M-2005:+808-033-002-000-031+ | M-358:+003-001-520-240-806-002-502-031+ | M-706:+740-773-240-002-861-031+ | M-756:+740-100-176-002-812-031+ | M-948:+426-003-002-388-031+ | M-1284:+416-001-520-240-806-002-502-031+ | -:3882.1:+416-150-002-055-031-319-001-924+
2026-05-31,455,8,2,6,0.750000,6,0.750000,4,2,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,<END>:2;000:1;125:1;503:1;520:1;741:1;920:1,baseline,H-1874:+002-220-455-000+ | H-82:+390-017-002-220-455-741+ | H-268:+740-585-017-033-706-803-002-220-455-920+ | M-10:+405-061-070-032-033-706-235-806-002-267-455+ | M-29:+740-055-240-235-806-002-220-455-503+ | M-147:+226-803-002-220-455-520+ | M-761:]002-741-455-125+ | M-1909:+368-005-002-590-455+
2026-05-31,032,7,4,3,0.428571,2,0.285714,7,2,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,<END>:4;320:1;520:1;904:1,baseline,H-1033:+220-500-520-002-862-032+ | H-272:+740-585-017-240-002-305-032-904+ | H-455:+520-033-705-002-172-032+ | M-1791:+740-760-268-002-840-032+ | M-1661:+520-070-219-002-861-032-520-919-140+ | M-1159:+232-220-032-002-168-032+ | M-1391:+000-000-000-798-002-817-032-320+
2026-05-31,350,7,3,4,0.571429,0,0.000000,6,3,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,<END>:3;125:2;032:1;550:1,baseline,Blk-1:+226-003-002-297-350-125-413+ | M-49:+527-550-240-220-032-002-300-350-032-190+ | M-106:+740-760-000-002-000-350+ | M-242:+740-721-002-301-350+ | M-251:+390-003-002-125-350+ | M-739:+090-740-100-415-002-031-350-550-692+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,590,7,3,4,0.571429,4,0.571429,7,5,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,<END>:3;032:2;125:1;900:1,baseline,H-464:+000-176-002-798-590-032+ | H-611:+527-550-002-125-590+ | Lh-1:+740-760-615-104-717-235-002-392-590-125+ | L-112:+740-760-605-002-540-590+ | M-248:+740-100-415-002-705-590+ | -:3335.1:+740-205-032-002-390-590-032+ | ?-3:+002-368-590-900+
2026-05-31,575,6,5,1,0.166667,0,0.000000,5,4,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,<END>:5;794:1,baseline,H-131:+740-032-840-233-240-033-706-055-002-595-575-794-000+ | K-24:+740-760-093-002-252-575+ | M-318:+390-003-002-031-575+ | M-665:+871-740-643/740-798-463-350-002-374-575+ | -:4203.1:+463-513/390-017-002-463-575+ | -:5579.1:]231-226-002-031-575+
2026-05-31,317,5,4,1,0.200000,1,0.200000,3,4,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,<END>:4;688:1,baseline,C-3:+740-016-002-920-317+ | L-190:+000-000-000-002-920-317[ | M-44:+740-760-033-705-803-002-920-317+ | M-308:+520-220-002-727-317+ | -:5468.1:+361-002-000-317-688+
2026-05-31,705,5,4,1,0.200000,1,0.200000,4,3,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,<END>:4;125:1,baseline,H-468:+740-900-003-002-940-705+ | M-1668:+740-773-233-803-002-320-705-125+ | M-1155:+740-760-335-002-033-705+ | M-1825:+157-031-002-390-705+ | -:4237.1:+151-032-388-002-390-705+
2026-05-31,530,4,0,4,1.000000,4,1.000000,4,4,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,000:1;741:1;820:1;904:1,candidate_portable_one_complement_branch,C-57:+740-032-840-002-296-530-000+ | H-773:+740-798-803-002-390-530-741+ | M-623:+740-760-175-176-220-415-798-002-299-530-820+ | -:4182.1:+740-390-590-231-002-705-530-904+
2026-05-31,550,4,2,2,0.500000,2,0.500000,4,4,207:1;257:1;365:1;368:1,Banawali:1;Baror:1;Dholavira:1;Mohenjo-daro:1,<END>:2;390:1;821:1,baseline,B-1:+090-740-220-002-368-550-821+ | -:216.1:+000-000-002-257-550+ | M-82:+740-222-002-207-550-390+ | -:4196.1:+391-002-365-550+
2026-05-31,741,4,4,0,0.000000,0,0.000000,2,3,298:2;820:2,Mohenjo-daro:2;Chanhu-daro:1;Unknown:1,<END>:4,baseline,C-5:+740-140-717-002-298-741+ | M-160:+151-243-031-002-820-741+ | M-1119:+740-803-002-820-741+ | -:5572.1:+136-002-298-741+
2026-05-31,003,3,1,2,0.666667,2,0.666667,2,2,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,590:2;<END>:1,baseline,C-71:+000-000-000/000-861-002-906-003+ | M-958:+740-772-240-002-900-003-590+ | M-979:+740-773-240/002-900-003-590+
2026-05-31,035,3,1,2,0.666667,2,0.666667,1,2,130:3,Mohenjo-daro:2;Lothal:1,171:2;<END>:1,baseline,L-12:+000-798-000-354-002-130-035[ | M-699:+740-100-415-002-130-035-171+ | M-1112:+740-585-220/002-130-035-171+
2026-05-31,065,3,0,3,1.000000,1,0.333333,1,2,220:3,Mohenjo-daro:2;Kalibangan:1,132:1;215:1;440:1,baseline,K-25:+520-231-002-220-065-132-082+ | M-46:+740-798-240-235-002-220-065-215+ | M-140:+740-336-002-220-065-440-455+
2026-05-31,090,3,1,2,0.666667,1,0.333333,2,2,000:2;817:1,Mohenjo-daro:2;Unknown:1,<END>:1;370:1;725:1,baseline,M-644:+740-585-017-740-240-002-817-090-370+ | M-902:+740-798-002-000-090+ | -:5226.1:+002/000-090-725-000+
2026-05-31,095,3,3,0,0.000000,0,0.000000,2,3,390:2;812:1,Harappa:1;Lothal:1;Mohenjo-daro:1,<END>:3,baseline,H-1993:+740-000-220-004-002-390-095+ | L-1:+527-550-233-002-812-095+ | M-71:+151-279-142-002-390-095+
2026-05-31,140,3,3,0,0.000000,0,0.000000,3,1,287:1;390:1;906:1,Mohenjo-daro:3,<END>:3,baseline,M-24:+090-740-240-235-002-906-140+ | M-109:+740-879-220-415-002-287-140+ | M-708:+740-061-002-390-140+
2026-05-31,165,3,3,0,0.000000,0,0.000000,3,1,031:1;111:1;368:1,Mohenjo-daro:3,<END>:3,baseline,M-95:+390-003-002-111-165+ | M-211:+090-740-100-220-002-031-165+ | M-311:+401-002-368-165+
2026-05-31,260,3,3,0,0.000000,0,0.000000,2,2,368:2;940:1,Mohenjo-daro:2;Harappa:1,<END>:3,baseline,H-600:+002-368-260+ | M-1789:+740-455-002-368-260+ | M-107:+740-565-233-002-940-260+
2026-05-31,460,3,0,3,1.000000,3,1.000000,2,1,365:2;298:1,Mohenjo-daro:3,495:2;032:1,baseline,M-577:+617-142-597-032-905/407-004-002-365-460-495+ | M-683:+740-798-231-002-298-460-032+ | M-1532:+407-004-002-365-460-495+
2026-05-31,491,3,3,0,0.000000,0,0.000000,3,3,285:1;850:1;920:1,Harappa:1;Kalibangan:1;Mohenjo-daro:1,<END>:3,baseline,H-811:+317-740-335-740-176-002-920-491+ | K-28:+440-411-740-335-002-285-491+ | M-325:+241-803-002-850-491+
2026-05-31,603,3,3,0,0.000000,0,0.000000,1,1,861:3,Mohenjo-daro:3,<END>:3,baseline,M-240:+520-240-220-032-002-861-603+ | M-714:+740-585-017-033-705-233-798-803-002-861-603+ | M-1273:+740-055-002-861-603+
2026-05-31,615,3,2,1,0.333333,1,0.333333,3,2,550:1;611:1;900:1,Mohenjo-daro:2;Harappa:1,<END>:2;703:1,baseline,H-3:+740-585-017-002-611-615-703+ | M-849:+151-350-002-550-615+ | M-937:+740-460-503-031-002-900-615+
2026-05-31,632,3,2,1,0.333333,0,0.000000,3,2,244:1;460:1;595:1,Mohenjo-daro:2;Harappa:1,<END>:2;354:1,baseline,H-385:+000-220-002-595-632-354-850+ | M-845:+000-061-002-460-632+ | M-1188:]000/000-125-632-032/240-002-244-632+
2026-05-31,692,3,2,1,0.333333,1,0.333333,3,2,252:1;390:1;455:1,Mohenjo-daro:2;Lothal:1,<END>:2;416:1,baseline,L-5:+740-760-552/000-002-455-692-416+ | M-1901:+151-061/156-002-252-692+ | M-70:+226-032-002-390-692+
2026-05-31,820,3,3,0,0.000000,0,0.000000,3,2,031:1;060:1;717:1,Mohenjo-daro:2;Kalibangan:1,<END>:3,baseline,M-1667:+740-690-435-255-220-032-002-717-820+ | M-1369:]000-055-592-140-832-002-060-820[ | K-429:]002-031-820[
2026-05-31,840,3,2,1,0.333333,1,0.333333,3,2,252:1;368:1;374:1,Mohenjo-daro:2;Lothal:1,<END>:2;900:1,baseline,L-213:]220-002-368-840-900+ | M-143:+740-205-032-002-252-840+ | M-1089:+151-390-590-002-374-840+
2026-05-31,861,3,1,2,0.666667,1,0.333333,3,2,000:1;003:1;368:1,Harappa:2;Kalibangan:1,<END>:1;031:1;590:1,baseline,-:543.1:+000-480-003-064-002-003-861+ | H-486:]002-000-861-031+ | K-10:+740-690-435-255-002-368-861-590-032-368+
2026-05-31,892,3,2,1,0.333333,0,0.000000,2,2,031:2;269:1,Mohenjo-daro:2;Harappa:1,<END>:2;810:1,baseline,H-44:+520-033-706-235-798-803-002-031-892+ | M-1766:+740-032-845-240-002-269-892-810-033+ | M-1745:+368-821-055-031-002-031-892+
2026-05-31,906,3,1,2,0.666667,2,0.666667,3,1,368:1;595:1;820:1,Mohenjo-daro:3,<END>:1;000:1;329:1,baseline,M-36:+740-794-630-220-032-002-368-906-329+ | M-809:+520-460-495-002-595-906+ | M-1178:+002-820-906-000[
2026-05-31,033,2,2,0,0.000000,0,0.000000,2,2,093:1;820:1,Kalibangan:1;Mohenjo-daro:1,<END>:2,baseline,K-23:+740-441-002-820-033+ | M-1765:+215-031-480-140-632-705-002-093-033+
2026-05-31,060,2,0,2,1.000000,2,1.000000,1,2,741:2,Kalibangan:1;Mohenjo-daro:1,920:2,baseline,K-4:+036-269-140-002-741-060-920+ | M-1114:+740-140-002-741-060-920+
2026-05-31,072,2,2,0,0.000000,0,0.000000,2,2,308:1;390:1,Banawali:1;Harappa:1,<END>:2,baseline,B-17:+236-002-308-072+ | H-68:+090-740-220-003-002-390-072+
2026-05-31,190,2,1,1,0.500000,0,0.000000,2,1,297:1;301:1,Mohenjo-daro:2,<END>:1;920:1,baseline,M-53:+090-740-220-016-002-297-190-920-140+ | M-115:+390-844-140-176-803-002-301-190+
2026-05-31,216,2,2,0,0.000000,0,0.000000,2,2,000:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-446:+740-585-798-002-861-216+ | M-636:+527-555-235-220-032-002-000-216+
2026-05-31,255,2,0,2,1.000000,2,1.000000,2,2,435:1;861:1,Harappa:1;Mohenjo-daro:1,416:1;777:1,baseline,H-598:+740-639-240-002-435-255-777+ | M-91:+740-100-798-220-032-002-861-255-416+
2026-05-31,346,2,2,0,0.000000,0,0.000000,2,1,390:1;904:1,Mohenjo-daro:2,<END>:2,baseline,M-213:+740-384-002-390-346+ | M-1319:]798-806-002-904-346+
2026-05-31,360,2,1,1,0.500000,0,0.000000,2,2,293:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:1;520:1,baseline,H-1706:+405-003-002-293-360+ | M-355:+740-877-032-033-705-231-235-002-861-360-520-919-140+
2026-05-31,390,2,1,1,0.500000,1,0.500000,2,2,595:1;861:1,Dholavira:1;Kalibangan:1,<END>:1;000:1,baseline,K-89:+001-350-002-595-390-000+ | -:4348.1:]740-142-000-002-861-390[
2026-05-31,416,2,2,0,0.000000,0,0.000000,2,2,297:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-910:+002-861-416+ | M-114:+740-760-440-002-297-416+
2026-05-31,480,2,1,1,0.500000,1,0.500000,1,2,031:2,Harappa:1;Mohenjo-daro:1,<END>:1;625:1,baseline,H-389:+740-405-590-235-002-031-480-625+ | M-1386:]000-000-335-235-002-031-480[
