target_sign,id,cisi,region,site,area_section,block_house,room_grid,excavation_idno,time,period,phase,depth,material,color,shape,symbol,cult,type,condition,complete,dir,class,text_length,token_count,text,occurrence_index_0based,position_class,is_terminal,prev1,prev2,next1,next2,prev_window,next_window,frame_class,inside_exact_740_x_240_060_692,inside_740_x_240,inside_690_x_240,inside_000_x_240,post_002_861_tail_initial,row_tail_after_002_861,row_tail_initial_after_002_861,register_key,source_key,formula_key
603,198.1,H-1138,Inter-Riverine,Harappa,--,--,--,-346,-,-,-,- -,Faience,Brown,rectangular,None,None,TAB:B,Fair,Y,R/L,SP,5,5,+740-603-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-603-240-060-692+
642,424.2,H-1845,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4484Figure 42.05,Period 3B/C,3,B/C,-0.0 m,Faience,Light brown,rectangular,None,None,TAB:B,Good,Y,R/L,SP,5,5,+740-642-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-642-240-060-692+
603,686.2,H-1846,Inter-Riverine,Harappa,ETrench 10W/11,--,--,H95-2672Figure 30.13,-,-,-,- -,Faience,-,rectangular,None,None,TAB:B,Good,Y,R/L,SP,5,5,+740-603-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-603-240-060-692+
636,1058.1,H-1308,Inter-Riverine,Harappa,D-,--,-Q30/18,J582445,-,-,Stratum III,-5.0 ft,Steatite,White,rectangular,None,None,TAB:I,Poor,Y,L/R,MT,4,4,+740-690-636-240+,2,medial,false,690,740 690,240,240,740 690,240,690_X_240_frame,false,false,true,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+740-690-636-240+
642,1237.1,H-206,Inter-Riverine,Harappa,D-,--,-Q30/15,J462345,-,-,Stratum III,-6.17 ft,-,-,rectangular,None,None,TAB:B,Good,Y,R/L,LC,6,6,+740-642-240-204-705-621+,1,medial,false,740,740,240,240 204,740,240 204 705 621,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-642-240-204-705-621+
642,1263.1,H-237,Inter-Riverine,Harappa,--,--,--,-,-,-,-,- -,-,-,fish,None,None,TAB:B,Fair,Y,L/R,SP,5,5,+740-642-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-060-692+
636,1320.1,H-298,Inter-Riverine,Harappa,--,--,--,13177,-,-,-,- -,-,-,rectangular,None,None,TAB:I,Fair,Y,R/L,MT,4,4,+400-740-636-240+,2,medial,false,740,400 740,240,240,400 740,240,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+400-740-636-240+
636,1323.2,H-301,Inter-Riverine,Harappa,FTrench I,--,-M11/20,3758450,Period 3B/C,-,Stratum VI,-16.0 ft,Steatite,White,rectangular,None,None,TAB:I,Fair,Y,R/L,LP,7,7,+400-740-636-240-031-032-171+,2,medial,false,740,400 740,240,240 031,400 740,240 031 032 171,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240-031-032-171+
642,1369.1,H-350,Inter-Riverine,Harappa,F-,--,--,3534a576,Period 3B/C,-,-,-10.0 ft,Steatite,White,prism,Fish,None,TAB:I,Fair,Y,R/L,MT,4,4,+740-690-642-240+,2,medial,false,690,740 690,240,240,740 690,240,690_X_240_frame,false,false,true,false,false,,,Harappa|TAB:I|Fish|prism,Harappa|TAB:I|Fish|prism|Steatite,+740-690-642-240+
636,1379.2,H-360,Inter-Riverine,Harappa,FTrench I,--,-M11/12,3508584,Period 3B/C,-,Stratum V,-13.5 ft,Steatite,White,prism,Bult,None,TAB:I,Good,Y,R/L,SP,5,5,+740-636-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:I|Bult|prism,Harappa|TAB:I|Bult|prism|Steatite,+740-636-240-060-692+
