object,expected_text,x_value,slot,visual_position_left_to_right,source_path,source_sha256,crop_path,crop_width,crop_height,candidate_token_if_visual_ltr_equals_catalog_order,candidate_token_if_recorded_RL_means_visual_rightmost_catalog_first,is_x_slot_under_ltr_policy,is_x_slot_under_rl_policy,source_note,status,notes
H-1138,+740-603-240-060-692+,603,visual_slot_1_left,1,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_crop_tight.png,f0f929f3f1a00501c200344116d824e4797996aaf4ba1b74c6d4d300a2a362ff,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H1138_visual_slot_1_left.png,180,452,740,692,false,false,Vats Plate XCIV no.346 tight upper signband crop,candidate_visual_slot_not_accepted_token_box,"The far-left edge is clipped; five slots are approximate visual units, not accepted sign boundaries."
H-1138,+740-603-240-060-692+,603,visual_slot_2,2,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_crop_tight.png,f0f929f3f1a00501c200344116d824e4797996aaf4ba1b74c6d4d300a2a362ff,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H1138_visual_slot_2.png,192,452,603,060,true,false,Vats Plate XCIV no.346 tight upper signband crop,candidate_visual_slot_not_accepted_token_box,"The far-left edge is clipped; five slots are approximate visual units, not accepted sign boundaries."
H-1138,+740-603-240-060-692+,603,visual_slot_3,3,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_crop_tight.png,f0f929f3f1a00501c200344116d824e4797996aaf4ba1b74c6d4d300a2a362ff,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H1138_visual_slot_3.png,208,452,240,240,false,false,Vats Plate XCIV no.346 tight upper signband crop,candidate_visual_slot_not_accepted_token_box,"The far-left edge is clipped; five slots are approximate visual units, not accepted sign boundaries."
H-1138,+740-603-240-060-692+,603,visual_slot_4,4,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_crop_tight.png,f0f929f3f1a00501c200344116d824e4797996aaf4ba1b74c6d4d300a2a362ff,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H1138_visual_slot_4.png,200,452,060,603,false,true,Vats Plate XCIV no.346 tight upper signband crop,candidate_visual_slot_not_accepted_token_box,"The far-left edge is clipped; five slots are approximate visual units, not accepted sign boundaries."
H-1138,+740-603-240-060-692+,603,visual_slot_5_right,5,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_crop_tight.png,f0f929f3f1a00501c200344116d824e4797996aaf4ba1b74c6d4d300a2a362ff,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H1138_visual_slot_5_right.png,240,452,692,740,false,false,Vats Plate XCIV no.346 tight upper signband crop,candidate_visual_slot_not_accepted_token_box,"The far-left edge is clipped; five slots are approximate visual units, not accepted sign boundaries."
H-360,+740-636-240-060-692+,636,visual_slot_1_left,1,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_signband_crop.png,14ab7db930ba5c75d1d177dc07c0e0adbaa7081fef0957f3c6dce4140ee248fe,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H360_visual_slot_1_left.png,296,284,740,692,false,false,Vats Plate XCVIII no.584 signband crop,candidate_visual_slot_not_accepted_token_box,The central 5-sign band is cropped from a wider row; boundaries are approximate visual units.
H-360,+740-636-240-060-692+,636,visual_slot_2,2,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_signband_crop.png,14ab7db930ba5c75d1d177dc07c0e0adbaa7081fef0957f3c6dce4140ee248fe,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H360_visual_slot_2.png,288,284,636,060,true,false,Vats Plate XCVIII no.584 signband crop,candidate_visual_slot_not_accepted_token_box,The central 5-sign band is cropped from a wider row; boundaries are approximate visual units.
H-360,+740-636-240-060-692+,636,visual_slot_3,3,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_signband_crop.png,14ab7db930ba5c75d1d177dc07c0e0adbaa7081fef0957f3c6dce4140ee248fe,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H360_visual_slot_3.png,272,284,240,240,false,false,Vats Plate XCVIII no.584 signband crop,candidate_visual_slot_not_accepted_token_box,The central 5-sign band is cropped from a wider row; boundaries are approximate visual units.
H-360,+740-636-240-060-692+,636,visual_slot_4,4,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_signband_crop.png,14ab7db930ba5c75d1d177dc07c0e0adbaa7081fef0957f3c6dce4140ee248fe,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H360_visual_slot_4.png,264,284,060,636,false,true,Vats Plate XCVIII no.584 signband crop,candidate_visual_slot_not_accepted_token_box,The central 5-sign band is cropped from a wider row; boundaries are approximate visual units.
H-360,+740-636-240-060-692+,636,visual_slot_5_right,5,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_signband_crop.png,14ab7db930ba5c75d1d177dc07c0e0adbaa7081fef0957f3c6dce4140ee248fe,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\H360_visual_slot_5_right.png,300,284,692,740,false,false,Vats Plate XCVIII no.584 signband crop,candidate_visual_slot_not_accepted_token_box,The central 5-sign band is cropped from a wider row; boundaries are approximate visual units.
M-1273,+740-055-002-861-603+,603,post861_clean_603_anchor,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_graphic_identity_packet\M1273_post861_tail_window.png,417a2814e7836958808cf9c7d091703ceb28bb0dbc9e2dd35948858ee8c43b9c,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_h1138_h360_tokenization_gate\M1273_post861_clean_603_anchor_enhanced.png,440,750,603,603,true,true,CISI Pakistan n195 terminal candidate window from prior graphic-identity packet,post861_anchor_from_prior_packet,Cleanest available post-861 terminal 603 anchor.
