checked_date,row_id,object,site,type,shape,material,prev2,prev,sign,next,next2,terminal,in_002_390_frame,in_060_692_suffix,exact_sequence,text
2026-05-31,40.1,B-21,Banawali,SEAL:R,cuboid-convex,Steatite,003,060,692,<END>,<END>,true,false,true,426 003 060 692,+426-003-060-692+
2026-05-31,67.1,C-75,Chanhu-daro,SEAL:S,square,Steatite,531,060,692,<END>,<END>,true,false,true,740 531 060 692,+740-531-060-692+
2026-05-31,3975.1,H-1137,Harappa,TAB:B,rectangular,NA,240,060,692,<END>,<END>,true,false,true,740 603 240 060 692,+740-603-240-060-692+
2026-05-31,199.1,H-423,Harappa,SEAL:S,square,Steatite,798,060,692,<END>,<END>,true,false,true,520 220 240 798 060 692,+520-220-240-798-060-692+
2026-05-31,200.1,H-1400,Harappa,POT:T:g,NA,Clay,034,060,692,<END>,<END>,true,false,true,031 034 060 692,+031-034-060-692[
2026-05-31,1800.1,H-920,Harappa,TAB:I,rectangular,Steatite,<START>,<START>,692,<END>,<END>,true,false,false,692,]692[
2026-05-31,4021.1,M-2032,Mohenjo-daro,TAB:B,oval,NA,000,060,692,<END>,<END>,true,false,true,000 060 692,+000-060-692+
2026-05-31,399.2,H-1901,Harappa,TAB:B,NA,Faience,<START>,060,692,<END>,<END>,true,false,true,060 692,]060-692+
2026-05-31,1263.1,H-237,Harappa,TAB:B,fish,NA,240,060,692,<END>,<END>,true,false,true,740 642 240 060 692,+740-642-240-060-692+
2026-05-31,664.1,H-1975,Harappa,TAB:B,rectangular,Clay,061,060,692,<END>,<END>,true,false,true,740 760 061 060 692,+740-760-061-060-692+
2026-05-31,894.1,H-2135,Harappa,TAB:I,rectangular,Steatite,318,700,692,<END>,<END>,true,false,false,740 920 318 700 692,+740-920-318-700-692+
2026-05-31,939.1,H-1705,Harappa,SEAL:R,rectangular,Steatite,798,060,692,<END>,<END>,true,false,true,740 904 231 240 798 060 692,+740-904-231-240-798-060-692+
2026-05-31,1007.1,H-1726,Harappa,POT:T:s,rectangular,Clay,740,100,692,491,002,false,false,false,740 100 692 491 002 817,+740-100-692-491-002-817+
2026-05-31,1062.1,H-1,Harappa,SEAL:S,square,Steatite,595,575,692,<END>,<END>,true,false,false,820 595 575 692,+820-595-575-692+
2026-05-31,1068.1,H-7,Harappa,SEAL:S,square,Steatite,920,440,692,001,542,false,false,false,920 440 692 001 542 250,+920-440-692-001-542-250+
2026-05-31,1115.1,H-56,Harappa,SEAL:S,square,Steatite,176,060,692,<END>,<END>,true,false,true,740 176 060 692,+740-176-060-692+
2026-05-31,1140.1,H-83,Harappa,SEAL:S,square,Steatite,000,000,692,<END>,<END>,true,false,false,000 000 692,]000-000-692+
2026-05-31,1147.1,H-91,Harappa,SEAL:S,square,Steatite,253,060,692,<END>,<END>,true,false,true,520 070 253 060 692,+520-070-253-060-692+
2026-05-31,1174.1,H-133,Harappa,SEAL:R,cuboid-convex,Steatite,798,060,692,<END>,<END>,true,false,true,740 554 220 415 798 060 692,+740-554-220-415-798-060-692+
2026-05-31,1183.1,H-142,Harappa,SEAL:R,cuboid-convex,Steatite,832,060,692,<END>,<END>,true,false,true,740 267 811 832 060 692,+740-267-811-832-060-692+
2026-05-31,1292.1,H-267,Harappa,SEAL:S,square,Steatite,000,368,692,<END>,<END>,true,false,false,000 368 692,]000-368-692+
2026-05-31,1712.2,H-823,Harappa,TAB:B,rectangular,NA,240,060,692,<END>,<END>,true,false,true,740 636 240 060 692,+740-636-240-060-692+
2026-05-31,1382.3,H-363,Harappa,TAB:I,rectangular,NA,<START>,<START>,692,892,<END>,false,false,false,692 892,+692-892+
2026-05-31,1561.1,H-646,Harappa,SEAL:R,rectangular,NA,033,060,692,<END>,<END>,true,false,true,000 033 033 060 692,+000-033-033-060-692+
2026-05-31,1580.1,H-665,Harappa,SEAL:R,rectangular,NA,004,060,692,<END>,<END>,true,false,true,407 004 060 692,+407-004-060-692+
2026-05-31,1691.1,H-800,Harappa,TAB:B,plano-convex,Faience,740,337,692,490,<END>,false,false,false,740 337 692 490,+740-337-692-490+
2026-05-31,1711.2,H-822,Harappa,TAB:B,fish,NA,240,001,692,<END>,<END>,true,false,false,740 642 240 001 692,+740-642-240-001-692+
2026-05-31,1714.1,H-824,Harappa,TAB:B,oval,NA,240,060,692,<END>,<END>,true,false,true,240 060 692,]240-060-692+
2026-05-31,1761.1,H-878,Harappa,TAB:B,cylindrical,Clay,<START>,705,692,<END>,<END>,true,false,false,705 692,]705-692[
2026-05-31,1798.1,H-918,Harappa,TAB:I,rectangular,Steatite,<START>,<START>,692,687,<END>,false,false,false,692 687,+692-687+
2026-05-31,1987.1,L-5,Lothal,SEAL:S,square,Steatite,002,455,692,416,<END>,false,false,false,740 760 552 000 002 455 692 416,+740-760-552/000-002-455-692-416+
2026-05-31,2050.1,L-96,Lothal,SEAL:R,rectangular,Clay,400,000,692,<END>,<END>,true,false,false,400 000 692,+400-000-692+
2026-05-31,2084.1,L-142,Lothal,TAG:P,square,Clay,001,031,692,<END>,<END>,true,false,false,140 015 001 031 692,+140-015-001-031-692+
2026-05-31,2214.1,M-682,Mohenjo-daro,SEAL:S,square,Steatite,803,060,692,740,690,false,false,true,000 000 000 000 000 000 740 803 060 692 740 690 435 255 060 692,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,2214.1,M-682,Mohenjo-daro,SEAL:S,square,Steatite,255,060,692,<END>,<END>,true,false,true,000 000 000 000 000 000 740 803 060 692 740 690 435 255 060 692,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,2218.1,M-1683,Mohenjo-daro,SEAL:S,square,Steatite,467,001,692,<END>,<END>,true,false,false,155 806 467 001 692,+155-806-467-001-692+
2026-05-31,2385.1,M-1715,Mohenjo-daro,SEAL:S,square,Steatite,705,060,692,<END>,<END>,true,false,true,740 923 033 705 060 692,+740-923-033-705-060-692+
2026-05-31,2402.1,M-1901,Mohenjo-daro,SEAL:S,square,Steatite,002,252,692,<END>,<END>,true,false,false,151 061 156 002 252 692,+151-061/156-002-252-692+
2026-05-31,2428.1,M-1738,Mohenjo-daro,SEAL:S,square,Steatite,235,060,692,<END>,<END>,true,false,true,226 240 235 060 692,+226-240-235-060-692+
2026-05-31,2455.1,M-1747,Mohenjo-daro,SEAL:S,square,Steatite,031,060,692,<END>,<END>,true,false,true,165 741 031 060 692,+165-741-031-060-692+
2026-05-31,2534.1,M-5,Mohenjo-daro,SEAL:S,square,Steatite,235,060,692,<END>,<END>,true,false,true,740 773 240 235 060 692,+740-773-240-235-060-692+
2026-05-31,2549.1,M-21,Mohenjo-daro,SEAL:S,square,Steatite,740,362,692,032,002,false,false,false,350 001 740 362 692 032 002 861,+350-001-740-362-692-032-002-861+
2026-05-31,2551.1,M-23,Mohenjo-daro,SEAL:S,square,Steatite,482,060,692,520,220,false,false,true,842 871 192 368 740 482 060 692 520 220 235 001 920,+842-871-192-368/740-482-060-692-520-220-235-001-920+
2026-05-31,2554.1,M-26,Mohenjo-daro,SEAL:S,square,Steatite,531,060,692,<END>,<END>,true,false,true,090 740 531 060 692,+090-740-531-060-692+
2026-05-31,2583.1,M-55,Mohenjo-daro,SEAL:S,square,Steatite,510,001,692,<END>,<END>,true,false,false,000 760 463 510 001 692,+000-760-463-510-001-692+
2026-05-31,2597.1,M-69,Mohenjo-daro,SEAL:S,square,Steatite,231,060,692,<END>,<END>,true,false,true,740 803 231 060 692,+740-803-231-060-692+
2026-05-31,2598.1,M-70,Mohenjo-daro,SEAL:S,square,Steatite,002,390,692,<END>,<END>,true,true,false,226 032 002 390 692,+226-032-002-390-692+
2026-05-31,2653.1,M-126,Mohenjo-daro,SEAL:S,square,Steatite,552,060,692,<END>,<END>,true,false,true,520 552 060 692,+520-552-060-692+
2026-05-31,2661.1,M-134,Mohenjo-daro,SEAL:S,square,Steatite,872,032,692,<END>,<END>,true,false,false,872 032 692,+872-032-692+
2026-05-31,2673.1,M-146,Mohenjo-daro,SEAL:S,square,Steatite,920,060,692,<END>,<END>,true,false,true,740 255 920 060 692,+740-255-920-060-692+
2026-05-31,2696.1,M-171,Mohenjo-daro,SEAL:S,square,Steatite,806,060,692,<END>,<END>,true,false,true,407 061 740 923 233 806 060 692,+407-061-740-923-233-806-060-692+
2026-05-31,2757.1,M-234,Mohenjo-daro,SEAL:S,square,Steatite,482,060,692,520,220,false,false,true,842 535 099 004 740 482 060 692 520 220 235 001 920,+842-535-099-004/740-482-060-692-520-220-235-001-920+
2026-05-31,2811.1,M-291,Mohenjo-daro,SEAL:S,square,Steatite,740,890,692,<END>,<END>,true,false,false,740 890 692,+740-890-692+
2026-05-31,2835.1,M-317,Mohenjo-daro,SEAL:S,square,Steatite,255,060,692,401,920,false,false,true,255 060 692 401 920,+255-060-692-401-920+
2026-05-31,2916.1,M-422,Mohenjo-daro,POT:T:s,NA,Clay,<START>,<START>,692,904,000,false,false,false,692 904 000 031 000,+692-904-000-031-000+
2026-05-31,2917.1,M-423,Mohenjo-daro,POT:T:s,NA,Clay,000,904,692,000,<END>,false,false,false,000 000 904 692 000,+000-000-904-692-000+
2026-05-31,2977.1,M-500,Mohenjo-daro,SEAL:C,circular,Steatite,003,900,692,003,700,false,false,false,400 592 140 003 900 692 003 700,+400-592-140-003-900-692-003-700+
