checked_date,sign,raw_occurrences,canonical_occurrences,terminal,terminal_share,continuing,prev_060,prev_060_share,prev_060_terminal,prev_060_terminal_share,non060_occurrences,non060_terminal,non060_terminal_share,in_002_390_frame,top_prev,top_prev_count,top_prev_share,top_next,top_next_count,top_next_share,raw_top_exact_sequence_count,raw_top_exact_sequence_share,top_prevs,top_nexts,top_raw_exact_sequences,focus_count_window
2026-05-31,692,77,68,50,0.735294,18,39,0.573529,33,0.846154,29,17,0.586207,1,060,39,0.573529,<END>,50,0.735294,3,0.038961,060:39;<START>:5;001:3;000:2;031:1;032:1;100:1;252:1,<END>:50;740:3;000:2;520:2;001:1;003:1;032:1;401:1,000 060 692:3;692:3;740 603 240 060 692:3;000 000 000 000 000 000 740 803 060 692 740 690 435 255 060 692:2;740 636 240 060 692:2,
2026-05-31,004,99,79,24,0.303797,55,0,0.000000,0,0.000000,79,24,0.303797,0,390,18,0.227848,<END>,24,0.303797,6,0.060606,390:18;407:11;000:8;405:7;<START>:5;220:5;900:4;700:3,<END>:24;002:18;001:6;000:2;013:2;060:2;104:2;408:2,004:6;390 004 002 817:4;400 097 700 004:4;220 700 004:3;390 004:3,48-88
2026-05-31,017,82,65,11,0.169231,54,0,0.000000,0,0.000000,65,11,0.169231,0,585,19,0.292308,<END>,11,0.169231,8,0.097561,585:19;575:14;740:7;390:4;000:2;405:2;590:2;760:2,<END>:11;002:9;503:8;000:4;033:4;060:3;220:3;741:3,407 032 520 095 585 017 231:8;740 388 585 017:4;740 017 503:3;390 017:2;400 740 017 503:2,48-88
2026-05-31,055,62,52,15,0.288462,37,0,0.000000,0,0.000000,52,15,0.288462,0,740,15,0.288462,<END>,15,0.288462,11,0.177419,740:15;255:4;<START>:3;000:2;002:2;090:2;151:2;161:2,<END>:15;000:7;240:6;001:3;002:3;031:2;033:2;220:2,090 740 220 055 001 741 500 705:11;055 099 121 055 831 031 071:2;000 055 033 033:1;000 055 592 140 832 002 060 820:1;000 740 055 000:1,48-88
2026-05-31,061,93,59,11,0.186441,48,0,0.000000,0,0.000000,59,11,0.186441,0,740,14,0.237288,002,16,0.271186,14,0.150538,740:14;142:8;407:7;405:6;000:5;151:3;171:3;702:2,002:16;<END>:11;740:5;031:3;033:3;060:3;845:3;001:2,740 900 850 407 061 845 806:14;407 061 845 240 798:6;740 061:5;740 400 142 061:4;151 061:3,48-88
2026-05-31,125,59,56,15,0.267857,41,0,0.000000,0,0.000000,56,15,0.267857,4,390,9,0.160714,<END>,15,0.267857,3,0.050847,390:9;<START>:4;350:4;000:3;590:3;002:2;090:2;190:2,<END>:15;632:4;032:3;000:2;001:2;002:2;176:2;413:2,700 125:3;125 700 033:2;000 000 125 632 032 240 002 244 632:1;000 125 001 742:1;000 125 204:1,48-88
2026-05-31,142,81,63,18,0.285714,45,0,0.000000,0,0.000000,63,18,0.285714,0,617,17,0.269841,<END>,18,0.285714,8,0.098765,617:17;740:12;400:9;000:5;156:4;<START>:2;151:2;001:1,<END>:18;001:8;061:8;000:5;597:4;002:3;480:2;013:1,617 142:8;617 142 597 032 905:6;740 400 142 061:4;142 033:2;455 590 142 220:2,48-88
2026-05-31,151,94,77,2,0.025974,75,0,0.000000,0,0.000000,77,2,0.025974,0,<START>,64,0.831169,740,11,0.142857,4,0.042553,<START>:64;400:4;000:3;031:2;004:1;033:1;697:1;866:1,740:11;097:7;390:6;000:3;031:3;061:3;<END>:2;033:2,151 000:4;151 097:4;151 033:3;151 061:3;151:2,48-88
2026-05-31,231,95,83,17,0.204819,66,0,0.000000,0,0.000000,83,17,0.204819,0,520,10,0.120482,<END>,17,0.204819,8,0.084211,520:10;705:7;233:6;740:5;798:5;<START>:4;000:4;388:3,<END>:17;002:16;240:8;235:7;060:6;798:5;220:4;806:4,407 032 520 095 585 017 231:8;740 176 798 231:3;565 740 176 231:2;740 100 904 033 705 231 798:2;740 690 435 255 231:2,48-88
2026-05-31,388,59,53,16,0.301887,37,0,0.000000,0,0.000000,53,16,0.301887,0,740,17,0.320755,<END>,16,0.301887,4,0.067797,740:17;000:5;154:3;443:3;527:3;906:3;<START>:2;002:2,<END>:16;233:5;717:4;002:3;031:3;220:3;231:3;032:2,740 388 585 017:4;154 388 717 000:2;740 388:2;740 388 031:2;000 000 388 028 741 060 920:1,48-88
