checked_date,head_after_002,frame_count,terminal_count,terminal_share,next_entropy_bits,top_next_share,top_exact_text_share,top_next,top_sites,top_types,classifier_class,confidence_movement,examples
2026-05-31,861,174,140,0.804598,1.544298,0.804598,0.040230,<END>:140;416:6;603:3;000:2;096:2;533:2;698:2;031:1;032:1;036:1,Mohenjo-daro:95;Harappa:39;Lothal:13;Dholavira:9;Kalibangan:7;Chanhu-daro:5;Allahdino:1;Bakkar Buthi:1;Banawali:1;Rakhigarhi:1,SEAL:S:108;TAB:B:17;SEAL:R:15;TAG:8;POT:T:g:6;TAB:I:6;SEAL:4;TAG:L:4;ROD:3;MISC:2,closure_head,supports closure-head branch of `002-H-X` grammar,Ad-8:+740-440-503-002-861-000+ | -:+405-844-032-840-002-861+ | B-18:]000-002-861+ | C-65:+000-100-240-220-032-002-861+ | C-60:+740-176-032-002-861+ | C-53:+032-031/740-222-235-002-861+ | C-58:+032-031/740-222-235-002-861+ | C-74:+125-002-861+
2026-05-31,817,156,148,0.948718,0.415184,0.948718,0.070513,<END>:148;000:3;032:1;090:1;192:1;690:1;808:1,Mohenjo-daro:83;Harappa:37;Lothal:14;Dholavira:7;Chanhu-daro:6;Banawali:3;Kalibangan:2;Unknown:2;Jhukar:1;Nausharo:1,SEAL:S:103;SEAL:R:16;TAB:B:13;TAG:B:10;TAB:I:3;TAG:P:3;POT:T:s:2;SEAL:2;TAG:2;IMPL:1,closure_head,supports closure-head branch of `002-H-X` grammar,B-5:+002-817+ | B-7:+002-817+ | B-15:+002-817+ | C-66:+390-003-002-817+ | C-78:+740-636-240/002-817+ | C-67:+520-233-803-002-817+ | C-4:+520-235-803-002-817+ | C-10:+740-231-220-032-002-817+
2026-05-31,820,102,94,0.921569,0.592706,0.921569,0.039216,<END>:94;000:2;741:2;001:1;033:1;700:1;906:1,Mohenjo-daro:54;Harappa:25;Kalibangan:6;Lothal:5;Dholavira:4;Nausharo:3;Unknown:2;Bhirrana:1;Chanhu-daro:1;Kanmer:1,SEAL:S:62;SEAL:R:16;TAB:B:12;TAG:7;POT:T:g:1;SEAL:1;SEAL:L:1;TAB:I:1;TAG:P:1,closure_head,supports closure-head branch of `002-H-X` grammar,-:+236-002-820+ | C-85:+000-000-002-820+ | H-1045:+740-900-005-002-820+ | H-1967:+382-760-382-002-820+ | H-1882:+002-820+ | H-1681:]000-032-002-820+ | H-1680:+390-003-002-820+ | H-1146:+526-554-002-820+
2026-05-31,000,58,47,0.810345,1.240385,0.810345,0.034483,<END>:47;000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,Mohenjo-daro:18;Harappa:17;Lothal:10;Dholavira:5;Kalibangan:4;Chanhu-daro:1;Nausharo:1;Rakhigarhi:1;Unknown:1,SEAL:S:26;TAG:10;POT:T:g:5;SEAL:4;TAG:L:3;ROD:2;SEAL:R:2;TAB:B:2;MISC:1;SEAL:C:1,closure_head,background,C-7:+520-033-705-240-798-002-000[ | H-1058:]740-019-002-000[ | H-1865:+740-702-061-002-000+ | H-1723:]000-880-002-000[ | -:+002-000+ | H-100:+520-031-000-002-000+ | H-375:]000-220-002-000[ | H-383:+740-585-017-033-705-002-000+
2026-05-31,405,32,0,0.000000,0.597455,0.906250,0.906250,501:29;125:1;321:1;372:1,Harappa:30;Mohenjo-daro:2,TAB:B:29;SEAL:S:3,formula_locked_nonterminal_head,`405` becomes the adversarial copy/formula control for nonterminal heads,H-22:+740-920-320-233-806-002-405-321+ | H-252:+520-240-002-405-501+ | H-253:+520-240-002-405-501+ | H-254:+520-240-002-405-501+ | H-255:+520-240-002-405-501+ | H-256:+520-240-002-405-501+ | H-257:+520-240-002-405-501+ | H-258:+520-240-002-405-501+
2026-05-31,031,15,0,0.000000,3.373557,0.133333,0.066667,000:2;480:2;575:2;892:2;104:1;165:1;350:1;376:1;500:1;502:1,Mohenjo-daro:8;Dholavira:3;Harappa:2;Chanhu-daro:1;Kalibangan:1,SEAL:S:10;SEAL:R:2;POT:T:g:1;TAB:B:1;TAG:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,C-6:+817-521-521/090-740-221-002-031-500+ | H-44:+520-033-706-235-798-803-002-031-892+ | H-389:+740-405-590-235-002-031-480-625+ | M-1745:+368-821-055-031-002-031-892+ | M-141:+817-255-636/000-000-000-240-002-031-000+ | M-211:+090-740-100-220-002-031-165+ | M-318:+390-003-002-031-575+ | M-678:+740-752-006-503-236-806-002-031-502+
2026-05-31,390,15,0,0.000000,3.106891,0.266667,0.066667,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,Mohenjo-daro:9;Harappa:3;Dholavira:1;Surkotada:1;Unknown:1,SEAL:S:13;TAB:B:2,open_selector_head,"`390` stays a candidate open class head after `002`; not unique, but high-count and non-formula-locked",H-1993:+740-000-220-004-002-390-095+ | H-68:+090-740-220-003-002-390-072+ | H-773:+740-798-803-002-390-530-741+ | M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-70:+226-032-002-390-692+ | M-71:+151-279-142-002-390-095+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-213:+740-384-002-390-346+
2026-05-31,368,12,0,0.000000,3.418296,0.166667,0.083333,260:2;119:1;165:1;202:1;518:1;550:1;590:1;634:1;840:1;861:1,Mohenjo-daro:6;Bala-kot:1;Banawali:1;Harappa:1;Kalibangan:1;Lothal:1;Unknown:1,SEAL:S:11;TAG:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,Blk-2:+390-717-061-002-368-634+ | B-1:+090-740-220-002-368-550-821+ | H-600:+002-368-260+ | K-10:+740-690-435-255-002-368-861-590-032-368+ | L-213:]220-002-368-840-900+ | M-1789:+740-455-002-368-260+ | M-12:+740-390-590-233-002-368-202-892-371+ | M-36:+740-794-630-220-032-002-368-906-329+
2026-05-31,220,11,0,0.000000,1.971747,0.454545,0.090909,455:5;065:3;000:1;627:1;880:1,Mohenjo-daro:6;Harappa:4;Kalibangan:1,SEAL:S:9;TAB:B:1;TAG:O:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,H-1874:+002-220-455-000+ | H-82:+390-017-002-220-455-741+ | H-268:+740-585-017-033-706-803-002-220-455-920+ | H-593:+740-760-235-240-002-220-000[ | K-25:+520-231-002-220-065-132-082+ | M-29:+740-055-240-235-806-002-220-455-503+ | M-46:+740-798-240-235-002-220-065-215+ | M-140:+740-336-002-220-065-440-455+
2026-05-31,824,9,9,1.000000,0.000000,1.000000,0.111111,<END>:9,Mohenjo-daro:6;Harappa:1;Lothal:1;Unknown:1,SEAL:S:7;SEAL:R:2,closure_head,background,H-1670:+740-760-033-033-240-002-824+ | L-91:+416-002-824+ | M-309:+224-740-061-002-824+ | M-701:]000-002-824+ | M-788:+740-482-235-002-824+ | M-872:+390-016-002-824+ | M-1189:]861-892-692/000-220-002-824[ | M-1297:]806-002-824+
2026-05-31,056,8,0,0.000000,0.000000,1.000000,1.000000,091:8,Kalibangan:8,TAG:8,formula_locked_nonterminal_head,do not treat low terminality as grammar by itself,K-69:+892-890-417-002-056-091+ | K-70:+892-890-417-002-056-091+ | K-71:+892-890-417-002-056-091+ | K-72:+892-890-417-002-056-091+ | K-73:+892-890-417-002-056-091+ | K-74:+892-890-417-002-056-091+ | K-75:+892-890-417-002-056-091+ | K-156:+892-890-417-002-056-091+
2026-05-31,595,7,0,0.000000,2.807355,0.142857,0.142857,342:1;390:1;504:1;575:1;632:1;812:1;906:1,Harappa:3;Mohenjo-daro:3;Kalibangan:1,SEAL:R:3;SEAL:S:3;TAG:L:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,H-130:+409-032-845-033-705-231-806-002-595-812-125-717+ | H-131:+740-032-840-233-240-033-706-055-002-595-575-794-000+ | H-385:+000-220-002-595-632-354-850+ | K-89:+001-350-002-595-390-000+ | M-1676:+740-760-070-255-832-240-002-595-504-803+ | M-809:+520-460-495-002-595-906+ | M-1341:+016-002-595-342-632+
2026-05-31,920,6,1,0.166667,1.459148,0.500000,0.333333,317:3;491:2;<END>:1,Harappa:2;Chanhu-daro:1;Lothal:1;Mohenjo-daro:1;Shikarpur:1,SEAL:S:2;TAB:B:2;POT:T:p:1;TAG:1,weak_open_head,background,C-3:+740-016-002-920-317+ | H-2016:+317-740-335-740-176-002-920-491+ | H-811:+317-740-335-740-176-002-920-491+ | L-190:+000-000-000-002-920-317[ | M-44:+740-760-033-705-803-002-920-317+ | -:]002-920+
2026-05-31,297,5,0,0.000000,1.921928,0.400000,0.200000,350:2;000:1;190:1;416:1,Mohenjo-daro:2;Bala-kot:1;Harappa:1;Nausharo:1,SEAL:S:4;SEAL:R:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,Blk-1:+226-003-002-297-350-125-413+ | H-1038:+740-519-002-297-000[ | M-53:+090-740-220-016-002-297-190-920-140+ | M-114:+740-760-440-002-297-416+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,365,5,0,0.000000,1.921928,0.400000,0.200000,460:2;287:1;374:1;550:1,Mohenjo-daro:2;Chanhu-daro:1;Dholavira:1;Harappa:1,SEAL:S:3;TAB:C:2,open_selector_head,candidate open selector head; useful held-out comparator for `390`,C-1:+031-840-140-740-101-002-365-287-034+ | H-31:+740-100-415-240-002-365-374-000+ | M-577:+617-142-597-032-905/407-004-002-365-460-495+ | M-1532:+407-004-002-365-460-495+ | -:+391-002-365-550+
2026-05-31,374,5,0,0.000000,2.321928,0.200000,0.200000,228:1;309:1;310:1;575:1;840:1,Mohenjo-daro:4;Nausharo:1,SEAL:S:5,open_selector_head,candidate open selector head; useful held-out comparator for `390`,M-66:+740-390-590-235-002-374-309-350+ | M-315:+390-034-002-374-228-741+ | M-665:+871-740-643/740-798-463-350-002-374-575+ | M-1089:+151-390-590-002-374-840+ | Ns-9:+740-142-067/002-374-310-350-495-834+
2026-05-31,880,5,5,1.000000,0.000000,1.000000,0.200000,<END>:5,Lothal:2;Mohenjo-daro:2;Nausharo:1,SEAL:R:2;SEAL:S:2;TAG:1,closure_head,background,L-95:+740-000-175-002-880+ | L-139:]390-590-032-002-880[ | M-225:+241-002-880+ | M-1318:+740-460-503-002-880+ | Ns-55:+526-554-002-880+
2026-05-31,900,5,0,0.000000,1.921928,0.400000,0.200000,003:2;285:1;615:1;630:1,Mohenjo-daro:4;Dholavira:1,SEAL:S:3;SEAL:R:1;TAB:B:1,open_selector_head,candidate open selector head; useful held-out comparator for `390`,M-937:+740-460-503-031-002-900-615+ | M-958:+740-772-240-002-900-003-590+ | M-979:+740-773-240/002-900-003-590+ | M-1358:+032-002-900-285+ | -:+740-519-002-900-630+
2026-05-31,575,4,0,0.000000,0.811278,0.750000,0.250000,000:3;031:1,Harappa:3;Lothal:1,POT:T:g:2;SEAL:S:2,low_count_unclassified,background,H-2338:]740-061-002-575-000[ | -:]740-000-000-002-575-000[ | H-78:]000-806-002-575-000+ | L-4:+090-740-100-233-002-575-031+
2026-05-31,003,3,2,0.666667,0.918296,0.666667,0.333333,<END>:2;861:1,Harappa:2;Dholavira:1,POT:T:g:2;SEAL:R:1,low_count_unclassified,background,-:+000-480-003-064-002-003-861+ | -:+002-003+ | -:+740-067-900-002-003+
2026-05-31,130,3,0,0.000000,0.000000,1.000000,0.333333,035:3,Mohenjo-daro:2;Lothal:1,SEAL:S:3,low_count_unclassified,background,L-12:+000-798-000-354-002-130-035[ | M-699:+740-100-415-002-130-035-171+ | M-1112:+740-585-220/002-130-035-171+
2026-05-31,252,3,0,0.000000,1.584963,0.333333,0.333333,575:1;692:1;840:1,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,low_count_unclassified,background,K-24:+740-760-093-002-252-575+ | M-1901:+151-061/156-002-252-692+ | M-143:+740-205-032-002-252-840+
2026-05-31,285,3,2,0.666667,0.918296,0.666667,0.333333,<END>:2;491:1,Gonur Depe:1;Kalibangan:1;Mohenjo-daro:1,SEAL:S:3,low_count_unclassified,background,K-28:+440-411-740-335-002-285-491+ | M-1895:+740-923-000-002-285+ | -:+740-390-590-125-220-235-002-285+
2026-05-31,298,3,0,0.000000,0.918296,0.666667,0.333333,741:2;460:1,Chanhu-daro:1;Mohenjo-daro:1;Unknown:1,SEAL:S:3,low_count_unclassified,background,C-5:+740-140-717-002-298-741+ | M-683:+740-798-231-002-298-460-032+ | -:+136-002-298-741+
2026-05-31,416,3,2,0.666667,0.918296,0.666667,0.333333,<END>:2;000:1,Harappa:2;Mohenjo-daro:1,SEAL:S:3,low_count_unclassified,background,H-457:+740-798-003-002-416+ | H-480:]002-416+ | M-1884:+520-220-016-002-416-000+
2026-05-31,455,3,0,0.000000,1.584963,0.333333,0.333333,420:1;511:1;692:1,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:3,low_count_unclassified,background,H-1671:+740-061-002-455-420-032+ | L-5:+740-760-552/000-002-455-692-416+ | M-1907:+390-005-002-455-511+
2026-05-31,617,3,2,0.666667,0.918296,0.666667,0.333333,<END>:2;070:1,Lothal:2;Mohenjo-daro:1,TAG:2;SEAL:S:1,low_count_unclassified,background,L-134:+520-233-220-240-002-617+ | L-136:]002-617+ | M-81:+527-555-240-002-617-070+
2026-05-31,690,3,1,0.333333,0.918296,0.666667,0.333333,921:2;<END>:1,Harappa:3,SEAL:S:3,low_count_unclassified,background,H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-8:+354-001-740-405-590-033-706-002-690-921+ | H-41:]000-002-690+
2026-05-31,705,3,0,0.000000,1.584963,0.333333,0.333333,127:1;530:1;590:1,Dholavira:1;Mohenjo-daro:1;Tell Umma:1,SEAL:S:2;TAG:L:1,low_count_unclassified,background,M-248:+740-100-415-002-705-590+ | -:+390-004-002-705-127+ | -:+740-390-590-231-002-705-530-904+
2026-05-31,741,3,0,0.000000,0.918296,0.666667,0.333333,060:2;455:1,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,low_count_unclassified,background,K-4:+036-269-140-002-741-060-920+ | M-761:]002-741-455-125+ | M-1114:+740-140-002-741-060-920+
2026-05-31,798,3,0,0.000000,1.584963,0.333333,0.333333,055:1;435:1;590:1,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:3,low_count_unclassified,background,H-464:+000-176-002-798-590-032+ | L-47:+409-190-002-798-055+ | M-1772:+740-400-142-061-002-798-435-255-705+
2026-05-31,840,3,0,0.000000,0.918296,0.666667,0.666667,016:2;032:1,Mohenjo-daro:3,TAB:B:2;SEAL:S:1,low_count_unclassified,background,M-1791:+740-760-268-002-840-032+ | M-490:+850-140-803-002-840-016+ | M-491:+850-140-803-002-840-016+
2026-05-31,850,3,1,0.333333,1.584963,0.333333,0.333333,<END>:1;491:1;493:1,Mohenjo-daro:2;Dholavira:1,SEAL:S:2;TAG:1,low_count_unclassified,background,M-325:+241-803-002-850-493+ | M-325:+241-803-002-850-491+ | -:]706-002-850+
2026-05-31,906,3,0,0.000000,1.584963,0.333333,0.333333,003:1;125:1;140:1,Mohenjo-daro:2;Chanhu-daro:1,SEAL:S:2;SEAL:R:1,low_count_unclassified,background,C-71:+000-000-000/000-861-002-906-003+ | M-24:+090-740-240-235-002-906-140+ | M-354:+740-729-407-845-236-002-906-125+
