cisi,family,text,match_pressure,route_status,source_route,reader_url,direct_image_url,source_image_abs,source_sha256,overlay_abs,visual_status,evidence_note
H-444,220-032-002-861,+241-220-032-002-861+,bare control for M-91 255-416 and M-240 603,source_visible_existing,CISI Pakistan IA leaf n309 / printed p.275? / prior source-function packet page 310,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png,0eb26321958a022b5dcd863b3ad2704ab431e32277b109ac9fcf6cce1339fa24,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\H444_bare_edge_overlay.png,bare_terminal_edge_visible,220-032 bare edge against two tailed 220-032 rows.
M-723,220-032-002-861,+740-460-510-235-220-032-002-861+,bare control for M-91 255-416 and M-240 603,source_visible_this_campaign,CISI Pakistan IA leaf n82 / printed p.48 / Mohenjo-daro 722-725 seals unicorn III,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n82/mode/1up,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n82_w2000.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M723_signband_cisi_pakistan_n082.png,6d2c17ffb1d70927b68c2087ba732f5ef9b4c399becbcb6942a659ea256384f9,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M723_bare_edge_overlay.png,bare_terminal_edge_visible,"Second public 220-032 bare edge, same broad lane as M-91 and M-240."
M-77,803-002-861,+832-390-803-002-861+,bare control for M-714 603,source_visible_existing,CISI India IA leaf n68 / M-77 source gate,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_impression_a_signband_v3_from_cisi_india_n68.png,82b0f20bb923f0fbe1957bcdd20d9fcced8e596fb0443fe5d69903ca17e8bf4d,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M77_bare_edge_overlay.png,bare_terminal_edge_visible,Direct public 803 bare edge against M-714 803-002-861-603.
M-15,176-002-861,+090-740-176-002-861+,bare control for M-376 533-717,source_visible_this_campaign,CISI India IA leaf n46 / printed p.11 / Mohenjo-daro 13-15 seals unicorn II,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n46/mode/1up,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n46_w2000.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_signband_cisi_india_n046.png,4b0f0d36d93cfef2579a950e7e2e1049f347c3c5af70138585af17d8d2f2e17b,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_bare_edge_overlay.png,bare_terminal_edge_visible,Direct public 176 bare edge against M-376 176-002-861-533-717.
M-118,803-002-861,+740-772-033-705-233-803-002-861+,bare control for M-714 603,source_visible_this_campaign,CISI India IA leaf n76 / printed p.41 / Mohenjo-daro 117-122 seals unicorn IV,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n76/mode/1up,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n76_w2000.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_signband_cisi_india_n076.png,82da28dd100bfd3fb231afd7c80e1b3c12670b8c548e1e52e1fbb6228b266db2,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_bare_edge_overlay.png,bare_terminal_edge_visible,"Second public 803 bare edge target, paired with M-77 for M-714."
M-1044,220-032-002-861,+520-220-032-002-861+,bare control for M-91 255-416 and M-240 603,source_visible_this_campaign,CISI Pakistan IA leaf n138 / printed p.104 / Mohenjo-daro 1043-1050 seals broken bovids IV-V,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n138/mode/1up,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n138_w2000.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M1044_signband_cisi_pakistan_n138.png,2387097cb40bb7494d59d7ca6454474a634034aa5d50e49dc06819342c13d830,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M1044_bare_edge_overlay.png,bare_terminal_edge_visible,Short 220-032 bare control against M-91 and M-240.
M-1763,220-032-002-861,+416-001-565-740-220-032-002-861+,bare control for M-91 255-416 and M-240 603,route_pending_panel_or_cisi_3_1,"local CISI Pakistan OCR has data/register pressure, not a usable panel hit",,,,,,,
M-1880,176-002-861,+151-176-002-861+,bare control for M-376 533-717,route_pending_panel_or_cisi_3_1,not found in local public CISI 1/2 panel OCR pass,,,,,,,
M-1755,176-002-861,+740-176-002-861+,bare control for M-376 533-717,route_pending_panel_or_cisi_3_1,"local CISI Pakistan OCR has data/register pressure, not a usable panel hit",,,,,,,
M-2060,176-002-861,+740-176-002-861+,bare control for M-376 533-717,route_pending_panel_or_cisi_3_1,not found in local public CISI 1/2 panel OCR pass,,,,,,,
