unit,context_class,id,cisi,site,type,symbol,material,shape,sides,class,direction,text_length,text,unit_index,prev1,prev2,next1,unit_terminal,source_visible_post_861_focus,source_visible_bare_control_for_lane,companion_rows
416,independent,132.1,-,Dholavira,SEAL:S,Tigr,Steatite,square,1,IT,R/L,4,+740-416-002-861+,1,740,740,002,false,false,false,
603,independent,198.1,H-1138,Harappa,TAB:B,None,Faience,rectangular,2,SP,R/L,5,+740-603-240-060-692+,1,740,740,240,false,false,false,+700-034+
416,independent,310.1,H-911,Harappa,TAB:I,None,Steatite,rectangular,2,SC,R/L,3,+416-590-033+,0,<START>,<START>,590,false,false,false,+033-255+
416,independent,311.1,H-1192,Harappa,TAB:I,None,Steatite,rectangular,2,MT,R/L,5,+400-740-767-220-416+,4,220,767 220,<END>,true,false,false,+700-220-004+
698,independent,365.1,-,Harappa,POT:T:g,None,Clay,-,1,VN,NR,1,+698+,0,<START>,<START>,<END>,true,false,false,
416,post_002_861,476.2,H-2094,Harappa,TAB:I,None,Steatite,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,+700-034+
416,post_002_861,488.2,H-2097,Harappa,TAB:I,None,Steatite,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,+034-700+
416,post_002_861,518.2,H-2095,Harappa,TAB:I,None,-,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,+700-034+
698,independent,595.2,H-1892,Harappa,TAB:B,None,Faience,rectangular,2,SC,R/L,2,+400-698+,1,400,400,<END>,true,false,false,+220-000-700+
416,post_002_861,621.1,-,Harappa,TAB:I,None,Steatite,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,
416,post_002_861,665.2,H-2096,Harappa,TAB:I,None,-,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,+700-034+
603,independent,686.2,H-1846,Harappa,TAB:B,None,Faience,rectangular,2,SP,R/L,5,+740-603-240-060-692+,1,740,740,240,false,false,false,+700-034+
416,independent,786.2,H-2099,Harappa,TAB:I,None,Steatite,rectangular,2,SC,R/L,3,+416-590-033+,0,<START>,<START>,590,false,false,false,+255-033+
416,independent,892.2,H-2119,Harappa,TAB:I,None,Steatite,rectangular,2,SS,R/L,2,+740-416+,1,740,740,<END>,true,false,false,+861-003+
416,independent,952.1,H-1753,Harappa,POT:T:s,None,Clay,-,1,TS,NR,1,+416+,0,<START>,<START>,<END>,true,false,false,
698,independent,954.1,H-1549,Harappa,POT:T:g,None,Clay,-,1,VN,NR,1,+698+,0,<START>,<START>,<END>,true,false,false,
698,independent,966.1,-,Harappa,POT:T:g,None,Clay,-,1,??,-,2,+000-698+,1,000,000,<END>,true,false,false,
698,independent,994.1,H-1547,Harappa,POT:T:g,None,Clay,-,1,NU,-,2,+034-698+,1,034,034,<END>,true,false,false,
416,independent,1001.1,-,Harappa,POT:T:s,None,Clay,rectangular,1,TS,NR,1,+416+,0,<START>,<START>,<END>,true,false,false,
416,independent,1026.1,H-1751,Harappa,POT:T:s,None,Clay,rectangular,1,TS,NR,1,+416+,0,<START>,<START>,<END>,true,false,false,
416,independent,1042.1,H-1752,Harappa,POT:T:s,None,Clay,rectangular,1,TS,NR,1,+416+,0,<START>,<START>,<END>,true,false,false,
416,independent,1148.1,H-92,Harappa,SEAL:S,Elep,Steatite,square,1,LP,R/L,7,+156-176-518-220-416-002-615+,4,220,518 220,002,false,false,false,
698,independent,1241.2,H-210,Harappa,TAB:B,None,Faience,rectangular,2,VN,NR,1,+698+,0,<START>,<START>,<END>,true,false,false,+740-100-176-101+
416,independent,1324.2,H-302,Harappa,TAB:I,None,Steatite,rectangular,2,MT,R/L,5,+400-760-740-220-416+,4,220,740 220,<END>,true,false,false,+220-700-004+
416,independent,1447.1,H-457,Harappa,SEAL:S,Bull1:J,-,square,1,IT,R/L,5,+740-798-003-002-416+,4,002,003 002,<END>,true,false,false,
416,independent,1462.1,H-475,Harappa,SEAL:S,Bull1:W,Steatite,square,1,SS,R/L,2,+740-416+,1,740,740,<END>,true,false,false,
416,independent,1662.1,H-770,Harappa,TAB:B,None,Faience,rectangular,2,SS,R/L,3,+151-840-416+,2,840,151 840,<END>,true,false,false,+700-033+
416,post_002_861,1792.1,H-910,Harappa,TAB:I,None,Steatite,rectangular,2,SS,R/L,3,+002-861-416+,2,861,002 861,<END>,true,false,false,+700-034+
416,independent,1793.1,H-912,Harappa,TAB:I,None,Steatite,rectangular,2,MT,R/L,5,+400-740-760-220-416+,4,220,760 220,<END>,true,false,false,+220-700-004+
416,independent,1971.1,-,Kish,SEAL:S,Bull1:L,-,square,1,LP,R/L,8,+740-390-590-220-003-060-840-416+,7,840,060 840,<END>,true,false,false,
416,independent,2045.1,L-91,Lothal,SEAL:R,-,-,cuboid-convex,1,IM,-,3,+416-002-824+,0,<START>,<START>,002,false,false,false,
416,independent,2180.1,-,Dholavira,SEAL:S,Bull1:V,Steatite,square,1,LP,R/L,7,+740-840-416-240-741-500-091+,2,840,740 840,240,false,false,false,
698,independent,2222.1,M-1824,Mohenjo-daro,SEAL:S,Bull1:L,Steatite,square,1,SC,R/L,2,+401-698+,1,401,401,<END>,true,false,false,
416,independent,2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,Faience,square,1,LP,R/L,8,+416-001-565-740-220-032-002-861+,0,<START>,<START>,001,false,false,false,
096,post_002_861,2318.1,M-2089,Mohenjo-daro,ROD,None,Ivory,-,1,SC,L/R,3,+002-861-096+,2,861,002 861,<END>,true,false,false,
416,independent,2332.1,M-1741,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,square,1,LC,R/L,6,+565-031-416-140-220-001+,2,031,565 031,140,false,false,false,
416,independent,2395.1,M-1663,Mohenjo-daro,SEAL:S,Bull1,Steatite,square,1,??,R/L,7,+740-760-840-416-175-742-000+,3,840,760 840,175,false,false,false,
416,independent,2510.1,M-1884,Mohenjo-daro,SEAL:S,Gaur,Steatite,square,1,??,R/L,6,+520-220-016-002-416-000+,4,002,016 002,000,false,false,false,
416,independent,2524.1,M-1703,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,square,1,MT,R/L,4,+151-097-232-416+,3,232,097 232,<END>,true,false,false,
