unit,context_class,rows,terminal_rows,source_visible_focus_rows,site_counts,type_counts,symbol_counts,shape_counts,material_counts,prev2_counts,next1_counts,companion_patterns,examples
603,post_002_861,3,3,3,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,Gaur:1;Bull1:W:1;None:1,square:2;rectangular:1,Steatite:3,002 861:3,<END>:3,<none>:3,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
603,independent,4,0,0,Harappa:3;Unknown:1,TAB:B:3;SEAL:C:1,None:3;Scene:1,rectangular:3;circular:1,Faience:2;Steatite:1;-:1,740:3;000:1,240:3;091:1,+700-034+:2;<none>:2,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;- +000-603-091-190+;H-1137 +740-603-240-060-692+
533 717,post_002_861,2,2,2,Mohenjo-daro:2,SEAL:R:2,None:2,cuboid-convex:2,Steatite:1;-:1,002 861:2,<END>:2,<none>:2,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
255 416,post_002_861,1,1,1,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,square:1,Steatite:1,002 861:1,<END>:1,<none>:1,M-91 +740-100-798-220-032-002-861-255-416+
096,post_002_861,1,1,0,Mohenjo-daro:1,ROD:1,None:1,-:1,Ivory:1,002 861:1,<END>:1,<none>:1,M-2089 +002-861-096+
096,independent,1,1,0,Mohenjo-daro:1,SEAL:S:1,None:1,square:1,Steatite:1,143:1,<END>:1,<none>:1,M-1193 +143-096+
416,post_002_861,6,6,0,Harappa:6,TAB:I:6,None:6,rectangular:6,Steatite:4;-:2,002 861:6,<END>:6,+700-034+:4;+034-700+:1;<none>:1,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
416,independent,39,22,1,Mohenjo-daro:17;Harappa:15;Dholavira:4;Kish:1;Lothal:1;Susa:1,SEAL:S:23;TAB:I:7;POT:T:s:4;SEAL:R:3;TAB:B:1;SEAL:CY:1,None:14;Bull1:W:5;Bull1:S:4;Bull1:J:2;Bull1:V:2;Bull1:2;Gaur:2;Tigr:1,square:23;rectangular:13;-:1;cuboid-convex:1;cylindrical:1,Steatite:27;-:6;Clay:4;Faience:2,<START>:12;740:7;151:3;760 220:2;740 840:2;760 840:2;767 220:1;518 220:1,<END>:22;002:4;001:3;590:2;741:2;240:1;140:1;175:1,<none>:31;+220-700-004+:3;+033-255+:1;+700-220-004+:1;+255-033+:1;+861-003+:1;+700-033+:1,- +740-416-002-861+;H-911 +416-590-033+;H-1192 +400-740-767-220-416+;H-2099 +416-590-033+;H-2119 +740-416+;H-1753 +416+;- +416+;H-1751 +416+
698,post_002_861,2,2,0,Mohenjo-daro:2,SEAL:S:2,None:2,square:2,Steatite:2,002 861:2,<END>:2,<none>:1;+156-176+:1,M-329 +002-861-698+;M-330 +002-861-698+
698,independent,7,7,0,Harappa:6;Mohenjo-daro:1,POT:T:g:4;TAB:B:2;SEAL:S:1,None:6;Bull1:L:1,-:4;rectangular:2;square:1,Clay:4;Faience:2;Steatite:1,<START>:3;400:1;000:1;034:1;401:1,<END>:7,<none>:5;+220-000-700+:1;+740-100-176-101+:1,- +698+;H-1892 +400-698+;H-1549 +698+;- +000-698+;H-1547 +034-698+;H-210 +698+;M-1824 +401-698+
