checked_date,cisi,row_id,site,type,symbol,cult,prev_before_002,head_after_002,template_4,contains_125_in_template_4,contains_125_anywhere_after_002,phrase_after_002,text
2026-05-31,Ad-8,13.1,Allahdino,MISC,Elep,SAN,503,861,861-000-<END>-<END>,false,false,861-000,+740-440-503-002-861-000+
2026-05-31,-,18.1,Bakkar Buthi,POT:T:g,None,None,840,861,861-<END>-<END>-<END>,false,false,861,+405-844-032-840-002-861+
2026-05-31,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,003,297,297-350-125-413,true,true,297-350-125-413,+226-003-002-297-350-125-413+
2026-05-31,Blk-2,20.1,Bala-kot,SEAL:S,Bull1,R,061,368,368-634-<END>-<END>,false,false,368-634,+390-717-061-002-368-634+
2026-05-31,B-1,27.1,Banawali,SEAL:S,Bull1:O,HAF,220,368,368-550-821-<END>,false,false,368-550-821,+090-740-220-002-368-550-821+
2026-05-31,B-5,30.1,Banawali,SEAL:S,Bull3,None,<START>,817,817-<END>-<END>-<END>,false,false,817,+002-817+
2026-05-31,B-7,31.1,Banawali,SEAL:S,Buff,None,<START>,817,817-<END>-<END>-<END>,false,false,817,+002-817+
2026-05-31,B-15,36.1,Banawali,SEAL:S,Rhin,None,<START>,817,817-<END>-<END>-<END>,false,false,817,+002-817+
2026-05-31,B-17,37.1,Banawali,SEAL:S,Htgr,HBF,236,308,308-072-<END>-<END>,false,false,308-072,+236-002-308-072+
2026-05-31,B-18,38.1,Banawali,SEAL:S,-,-,000,861,861-<END>-<END>-<END>,false,false,861,]000-002-861+
2026-05-31,-,52.1,Bhirrana,SEAL:S,Bull1,RAN,236,820,820-<END>-<END>-<END>,false,false,820,+236-002-820+
2026-05-31,C-66,61.1,Chanhu-daro,SEAL:S,Bull1:W,RAN,003,817,817-<END>-<END>-<END>,false,false,817,+390-003-002-817+
2026-05-31,C-65,62.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,032,861,861-<END>-<END>-<END>,false,false,861,+000-100-240-220-032-002-861+
2026-05-31,C-60,69.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,861,861-<END>-<END>-<END>,false,false,861,+740-176-032-002-861+
2026-05-31,C-53,71.1,Chanhu-daro,SEAL:S,Bull1,-,235,861,861-<END>-<END>-<END>,false,false,861,+032-031/740-222-235-002-861+
2026-05-31,C-58,74.1,Chanhu-daro,SEAL:S,Bull1,-,235,861,861-<END>-<END>-<END>,false,false,861,+032-031/740-222-235-002-861+
2026-05-31,C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,125,861,861-<END>-<END>-<END>,false,false,861,+125-002-861+
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,Bull1,-,861,906,906-003-<END>-<END>,false,false,906-003,+000-000-000/000-861-002-906-003+
2026-05-31,C-78,81.1,Chanhu-daro,SEAL:S,None,None,240,817,817-<END>-<END>-<END>,false,false,817,+740-636-240/002-817+
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,840,296,296-530-000-<END>,false,false,296-530-000,+740-032-840-002-296-530-000+
2026-05-31,C-85,84.1,Chanhu-daro,SEAL:R,-,-,000,820,820-<END>-<END>-<END>,false,false,820,+000-000-002-820+
2026-05-31,C-67,87.1,Chanhu-daro,SEAL:S,Bull1:S,SAN,803,817,817-<END>-<END>-<END>,false,false,817,+520-233-803-002-817+
2026-05-31,C-1,89.1,Chanhu-daro,SEAL:S,Bull1,None,101,365,365-287-034-<END>,false,false,365-287-034,+031-840-140-740-101-002-365-287-034+
2026-05-31,C-3,91.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,016,920,920-317-<END>-<END>,false,false,920-317,+740-016-002-920-317+
2026-05-31,C-4,92.1,Chanhu-daro,SEAL:S,Bull1:L,RAN,803,817,817-<END>-<END>-<END>,false,false,817,+520-235-803-002-817+
2026-05-31,C-5,93.1,Chanhu-daro,SEAL:S,Bull1:I,RBF,717,298,298-741-<END>-<END>,false,false,298-741,+740-140-717-002-298-741+
2026-05-31,C-6,94.1,Chanhu-daro,SEAL:S,Bull1:J,RAN,221,031,031-500-<END>-<END>,false,false,031-500,+817-521-521/090-740-221-002-031-500+
2026-05-31,C-7,95.1,Chanhu-daro,SEAL:S,Bull,-,798,000,000-<END>-<END>-<END>,false,false,000,+520-033-705-240-798-002-000[
2026-05-31,C-10,98.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,817,817-<END>-<END>-<END>,false,false,817,+740-231-220-032-002-817+
2026-05-31,C-18,106.1,Chanhu-daro,SEAL:S,Bull1,-,031,817,817-<END>-<END>-<END>,false,false,817,]000-031-002-817+
2026-05-31,Dlp-3,125.1,Desalpur,TAG,None,None,032,892,892-740-<END>-<END>,false,false,892-740,+394-032-002-892-740+
