checked_date,template_4,count,contains_125_in_template_4,contains_125_anywhere_after_002,distinct_sites,distinct_types,distinct_prev_before_002,top_exact_text_share,top_exact_text,sites,types,prev_before_002,cisi,verdict,examples
2026-05-31,817-<END>-<END>-<END>,148,false,false,10,10,57,0.074324,+740-048-002-817+,Mohenjo-daro:78;Harappa:35;Lothal:14;Dholavira:7;Chanhu-daro:6;Banawali:3;Unknown:2;Jhukar:1,SEAL:S:97;SEAL:R:16;TAB:B:13;TAG:B:10;TAB:I:3;TAG:P:3;POT:T:s:2;SEAL:2,048:12;<START>:9;032:9;235:9;240:9;233:7;004:6;000:5,-:8;M-1385:3;M-1927:2;?-6:1;B-5:1;B-7:1;B-15:1;C-4:1,non125_repeated_template_background,B-5:+002-817+ | B-7:+002-817+ | B-15:+002-817+ | C-66:+390-003-002-817+ | C-78:+740-636-240/002-817+ | C-67:+520-233-803-002-817+ | C-4:+520-235-803-002-817+ | C-10:+740-231-220-032-002-817+ | C-18:]000-031-002-817+ | -:+000-400-350-031-002-817+
2026-05-31,861-<END>-<END>-<END>,140,false,false,10,9,53,0.050000,+740-482-240-002-861+,Mohenjo-daro:77;Harappa:29;Lothal:11;Dholavira:8;Kalibangan:6;Chanhu-daro:5;Bakkar Buthi:1;Banawali:1,SEAL:S:91;TAB:B:17;SEAL:R:10;TAG:7;POT:T:g:6;TAG:L:4;SEAL:3;MISC:1,240:15;235:11;032:9;003:7;031:6;798:6;<START>:5;803:5,-:11;H-597:2;B-18:1;C-53:1;C-58:1;C-60:1;C-65:1;C-74:1,non125_repeated_template_background,-:+405-844-032-840-002-861+ | B-18:]000-002-861+ | C-65:+000-100-240-220-032-002-861+ | C-60:+740-176-032-002-861+ | C-53:+032-031/740-222-235-002-861+ | C-58:+032-031/740-222-235-002-861+ | C-74:+125-002-861+ | -:+244-165/740-879-220-416-803-002-861+ | -:+740-416-002-861+ | -:+390-016-002-861+
2026-05-31,820-<END>-<END>-<END>,94,false,false,10,8,49,0.042553,+390-003-002-820+,Mohenjo-daro:48;Harappa:24;Kalibangan:5;Lothal:5;Dholavira:4;Nausharo:3;Unknown:2;Bhirrana:1,SEAL:S:55;SEAL:R:16;TAB:B:12;TAG:7;POT:T:g:1;SEAL:1;SEAL:L:1;TAG:P:1,000:12;032:9;803:7;003:6;240:5;220:3;798:3;004:2,-:7;?-5:1;C-85:1;H-18:1;H-45:1;H-60:1;H-149:1;H-231:1,non125_repeated_template_background,-:+236-002-820+ | C-85:+000-000-002-820+ | H-1045:+740-900-005-002-820+ | H-1967:+382-760-382-002-820+ | H-1882:+002-820+ | H-1681:]000-032-002-820+ | H-1680:+390-003-002-820+ | H-1146:+526-554-002-820+ | H-18:]000-220-032-002-820+ | H-45:+090-740-101-002-820+
2026-05-31,000-<END>-<END>-<END>,47,false,false,6,10,29,0.042553,]002-000[,Harappa:16;Mohenjo-daro:12;Lothal:10;Dholavira:5;Kalibangan:3;Chanhu-daro:1,SEAL:S:20;TAG:10;POT:T:g:3;SEAL:3;TAG:L:3;ROD:2;SEAL:R:2;TAB:B:2,000:9;<START>:4;032:3;240:3;003:2;220:2;803:2;016:1,-:8;C-7:1;H-100:1;H-167:1;H-375:1;H-383:1;H-417:1;H-445:1,non125_repeated_template_background,C-7:+520-033-705-240-798-002-000[ | H-1058:]740-019-002-000[ | H-1865:+740-702-061-002-000+ | H-1723:]000-880-002-000[ | -:+002-000+ | H-100:+520-031-000-002-000+ | H-375:]000-220-002-000[ | H-383:+740-585-017-033-705-002-000+ | H-417:+740-255-706-002-000[ | H-445:]235-803-002-000+
2026-05-31,405-501-<END>-<END>,29,false,false,1,1,1,1.000000,+520-240-002-405-501+,Harappa:29,TAB:B:29,240:29,H-252:1;H-253:1;H-254:1;H-255:1;H-256:1;H-257:1;H-258:1;H-259:1,copy_template_control,H-252:+520-240-002-405-501+ | H-253:+520-240-002-405-501+ | H-254:+520-240-002-405-501+ | H-255:+520-240-002-405-501+ | H-256:+520-240-002-405-501+ | H-257:+520-240-002-405-501+ | H-258:+520-240-002-405-501+ | H-259:+520-240-002-405-501+ | H-260:+520-240-002-405-501+ | H-261:+520-240-002-405-501+
2026-05-31,824-<END>-<END>-<END>,9,false,false,4,2,9,0.111111,]000-002-824+,Mohenjo-daro:6;Harappa:1;Lothal:1;Unknown:1,SEAL:S:7;SEAL:R:2,000:1;016:1;061:1;104:1;220:1;235:1;240:1;416:1,-:1;H-1670:1;L-91:1;M-309:1;M-701:1;M-788:1;M-872:1;M-1189:1,non125_repeated_template_background,H-1670:+740-760-033-033-240-002-824+ | L-91:+416-002-824+ | M-309:+224-740-061-002-824+ | M-701:]000-002-824+ | M-788:+740-482-235-002-824+ | M-872:+390-016-002-824+ | M-1189:]861-892-692/000-220-002-824[ | M-1297:]806-002-824+ | -:+368-415-104-002-824+
2026-05-31,056-091-<END>-<END>,8,false,false,1,1,1,1.000000,+892-890-417-002-056-091+,Kalibangan:8,TAG:8,417:8,K-69:1;K-70:1;K-71:1;K-72:1;K-73:1;K-74:1;K-75:1;K-156:1,copy_formula_pressure_control,K-69:+892-890-417-002-056-091+ | K-70:+892-890-417-002-056-091+ | K-71:+892-890-417-002-056-091+ | K-72:+892-890-417-002-056-091+ | K-73:+892-890-417-002-056-091+ | K-74:+892-890-417-002-056-091+ | K-75:+892-890-417-002-056-091+ | K-156:+892-890-417-002-056-091+
2026-05-31,861-416-<END>-<END>,6,false,false,1,1,1,1.000000,+002-861-416+,Harappa:6,TAB:I:6,<START>:6,-:1;H-910:1;H-2094:1;H-2095:1;H-2096:1;H-2097:1,copy_formula_pressure_control,H-2094:+002-861-416+ | H-2097:+002-861-416+ | H-2095:+002-861-416+ | -:+002-861-416+ | H-2096:+002-861-416+ | H-910:+002-861-416+
2026-05-31,880-<END>-<END>-<END>,5,false,false,3,3,5,0.200000,]390-590-032-002-880[,Lothal:2;Mohenjo-daro:2;Nausharo:1,SEAL:R:2;SEAL:S:2;TAG:1,032:1;175:1;241:1;503:1;554:1,L-95:1;L-139:1;M-225:1;M-1318:1;Ns-55:1,non125_repeated_template_background,L-95:+740-000-175-002-880+ | L-139:]390-590-032-002-880[ | M-225:+241-002-880+ | M-1318:+740-460-503-002-880+ | Ns-55:+526-554-002-880+
2026-05-31,000-000-<END>-<END>,3,false,false,3,3,3,0.333333,]000-220-832-002-000-000[,Kalibangan:1;Mohenjo-daro:1;Nausharo:1,POT:T:g:1;SEAL:1;SEAL:S:1,000:1;176:1;832:1,K-44:1;M-1995:1;Ns-67:1,non125_repeated_template_background,K-44:+740-337-176-002-000-000[ | M-1995:]000-220-832-002-000-000[ | Ns-67:+000-151-390-000-002-000-000[
2026-05-31,817-000-<END>-<END>,3,false,false,3,2,3,0.333333,]002-817-000+,Harappa:1;Kalibangan:1;Mohenjo-daro:1,SEAL:S:2;TAG:1,<START>:1;004:1;231:1,H-609:1;K-155:1;M-692:1,non125_repeated_template_background,H-609:]798-233-231-002-817-000+ | M-692:+000-004-002-817-000[ | K-155:]002-817-000+
2026-05-31,920-317-<END>-<END>,3,false,false,3,2,3,0.333333,+000-000-000-002-920-317[,Chanhu-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAG:1,000:1;016:1;803:1,C-3:1;L-190:1;M-44:1,non125_repeated_template_background,C-3:+740-016-002-920-317+ | L-190:+000-000-000-002-920-317[ | M-44:+740-760-033-705-803-002-920-317+
2026-05-31,575-000-<END>-<END>,3,false,false,1,2,3,0.333333,]000-806-002-575-000+,Harappa:3,POT:T:g:2;SEAL:S:1,000:1;061:1;806:1,-:1;H-78:1;H-2338:1,non125_repeated_template_background,H-2338:]740-061-002-575-000[ | -:]740-000-000-002-575-000[ | H-78:]000-806-002-575-000+
2026-05-31,861-603-<END>-<END>,3,false,false,1,2,3,0.333333,+520-240-220-032-002-861-603+,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,032:1;055:1;803:1,M-240:1;M-714:1;M-1273:1,non125_repeated_template_background,M-240:+520-240-220-032-002-861-603+ | M-714:+740-585-017-033-705-233-798-803-002-861-603+ | M-1273:+740-055-002-861-603+
2026-05-31,003-<END>-<END>-<END>,2,false,false,2,2,2,0.500000,+002-003+,Dholavira:1;Harappa:1,POT:T:g:1;SEAL:R:1,<START>:1;900:1,-:2,non125_repeated_template_background,-:+002-003+ | -:+740-067-900-002-003+
2026-05-31,031-000-<END>-<END>,2,false,false,2,2,1,0.500000,]240-002-031-000[,Dholavira:1;Mohenjo-daro:1,SEAL:S:1;TAG:1,240:2,-:1;M-141:1,non125_repeated_template_background,M-141:+817-255-636/000-000-000-240-002-031-000+ | -:]240-002-031-000[
2026-05-31,031-575-<END>-<END>,2,false,false,2,2,2,0.500000,]231-226-002-031-575+,Dholavira:1;Mohenjo-daro:1,SEAL:R:1;SEAL:S:1,003:1;226:1,-:1;M-318:1,non125_repeated_template_background,M-318:+390-003-002-031-575+ | -:]231-226-002-031-575+
2026-05-31,031-892-<END>-<END>,2,false,false,2,1,2,0.500000,+368-821-055-031-002-031-892+,Harappa:1;Mohenjo-daro:1,SEAL:S:2,031:1;803:1,H-44:1;M-1745:1,non125_repeated_template_background,H-44:+520-033-706-235-798-803-002-031-892+ | M-1745:+368-821-055-031-002-031-892+
2026-05-31,285-<END>-<END>-<END>,2,false,false,2,1,2,0.500000,+740-390-590-125-220-235-002-285+,Gonur Depe:1;Mohenjo-daro:1,SEAL:S:2,000:1;235:1,-:1;M-1895:1,non125_repeated_template_background,M-1895:+740-923-000-002-285+ | -:+740-390-590-125-220-235-002-285+
2026-05-31,297-350-125-413,2,true,true,2,2,2,0.500000,+226-003-002-297-350-125-413+,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,003:1;798:1,Blk-1:1;Ns-60:1,survives_repetition_control_cross_site_125_template,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,298-741-<END>-<END>,2,false,false,2,1,2,0.500000,+136-002-298-741+,Chanhu-daro:1;Unknown:1,SEAL:S:2,136:1;717:1,-:1;C-5:1,non125_repeated_template_background,C-5:+740-140-717-002-298-741+ | -:+136-002-298-741+
2026-05-31,368-260-<END>-<END>,2,false,false,2,1,2,0.500000,+002-368-260+,Harappa:1;Mohenjo-daro:1,SEAL:S:2,<START>:1;455:1,H-600:1;M-1789:1,non125_repeated_template_background,H-600:+002-368-260+ | M-1789:+740-455-002-368-260+
2026-05-31,390-095-<END>-<END>,2,false,false,2,2,2,0.500000,+151-279-142-002-390-095+,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,004:1;142:1,H-1993:1;M-71:1,non125_repeated_template_background,H-1993:+740-000-220-004-002-390-095+ | M-71:+151-279-142-002-390-095+
2026-05-31,390-705-<END>-<END>,2,false,false,2,1,2,0.500000,+151-032-388-002-390-705+,Dholavira:1;Mohenjo-daro:1,SEAL:S:2,031:1;388:1,-:1;M-1825:1,non125_repeated_template_background,M-1825:+157-031-002-390-705+ | -:+151-032-388-002-390-705+
2026-05-31,610-125-032-<END>,2,true,true,2,1,2,0.500000,+002-610-125-032+,Harappa:1;Mohenjo-daro:1,SEAL:S:2,<START>:1;240:1,H-74:1;M-1665:1,survives_repetition_control_cross_site_125_template,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,741-060-920-<END>,2,false,false,2,1,1,0.500000,+036-269-140-002-741-060-920+,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,140:2,K-4:1;M-1114:1,non125_repeated_template_background,K-4:+036-269-140-002-741-060-920+ | M-1114:+740-140-002-741-060-920+
2026-05-31,808-<END>-<END>-<END>,2,false,false,2,2,2,0.500000,]806-002-808+,Dholavira:1;Mohenjo-daro:1,SEAL:R:1;SEAL:S:1,240:1;806:1,-:1;M-833:1,non125_repeated_template_background,M-833:+527-550-740-240-002-808+ | -:]806-002-808+
2026-05-31,820-000-<END>-<END>,2,false,false,2,2,2,0.500000,+002-820-000[,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:I:1,<START>:1;032:1,H-909:1;M-1045:1,non125_repeated_template_background,H-909:+002-820-000[ | M-1045:+740-100-415-070-032-002-820-000+
2026-05-31,861-000-<END>-<END>,2,false,false,2,2,2,0.500000,+002-861-000[,Allahdino:1;Shikarpur:1,MISC:1;POT:T:p:1,<START>:1;503:1,-:1;Ad-8:1,non125_repeated_template_background,Ad-8:+740-440-503-002-861-000+ | -:+002-861-000[
2026-05-31,112-<END>-<END>-<END>,2,false,false,1,1,2,0.500000,+740-032-923-382-233-002-112+,Mohenjo-daro:2,SEAL:S:2,233:1;235:1,M-33:1;M-239:1,non125_repeated_template_background,M-33:+740-032-923-382-233-002-112+ | M-239:+740-760-921-235-002-112+
2026-05-31,130-035-171-<END>,2,false,false,1,1,2,0.500000,+740-100-415-002-130-035-171+,Mohenjo-daro:2,SEAL:S:2,220:1;415:1,M-699:1;M-1112:1,non125_repeated_template_background,M-699:+740-100-415-002-130-035-171+ | M-1112:+740-585-220/002-130-035-171+
2026-05-31,326-<END>-<END>-<END>,2,false,false,1,1,1,1.000000,+405-240-740-176-002-326+,Mohenjo-daro:2,TAB:C:2,176:2,M-509:1;M-510:1,copy_formula_pressure_control,M-509:+405-240-740-176-002-326+ | M-510:+405-240-740-176-002-326+
2026-05-31,365-460-495-<END>,2,false,false,1,1,1,0.500000,+407-004-002-365-460-495+,Mohenjo-daro:2,TAB:C:2,004:2,M-577:1;M-1532:1,local_register_formula_control,M-577:+617-142-597-032-905/407-004-002-365-460-495+ | M-1532:+407-004-002-365-460-495+
2026-05-31,370-<END>-<END>-<END>,2,false,false,1,1,1,1.000000,+527-550-002-370+,Mohenjo-daro:2,POT:T:s:2,550:2,M-1371:1;M-1381:1,copy_formula_pressure_control,M-1371:+527-550-002-370+ | M-1381:+527-550-002-370+
