checked_date,cisi,row_id,site,type,shape,left,left_final,left_tags,head,branch,tail,terminal_after_branch,has_125_in_branch_or_tail,target_390_read,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,740 000 220 004,004,final004;contains004,390,095,<END>,true,false,neutral_qualifier_split,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,square,090 740 220 003,003,other_left,390,072,<END>,true,false,untyped_left_context,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,740 798 803,803,other_left,390,530,741,false,false,untyped_left_context,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,740 690 435 255 220 032 240 235,235,final235,390,125,632 032,false,true,rank_title_trigger,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,226 032,032,final032_no235;contains032_no235,390,692,<END>,true,false,boundary_formula_or_result,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,151 279 142,142,other_left,390,095,<END>,true,false,untyped_left_context,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,151 337 484,484,other_left,390,125,632 032 900 563,false,true,untyped_left_context,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,square,740 384,384,other_left,390,346,<END>,true,false,untyped_left_context,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,236,236,other_left,390,707,<END>,true,false,untyped_left_context,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,square,740 061,061,other_left,390,140,<END>,true,false,untyped_left_context,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,740 760 235,235,final235,390,125,195,false,true,rank_title_trigger,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,740 205 032,032,final032_no235;contains032_no235,390,590,032,false,false,boundary_formula_or_result,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,390 004,004,final004;contains004,390,125,820,false,true,neutral_qualifier_split,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,157 031,031,other_left,390,705,<END>,true,false,untyped_left_context,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,151 032 388,388,contains032_no235,390,705,<END>,true,false,embedded_boundary_to_formula_reuse,+151-032-388-002-390-705+
