focus_cisi,focus_tail,focus_text,match_level,match_key,match_cisi,match_id,match_class,site,type,symbol,prefix_last1,prefix_last2,tail_len,tail_full,terminal_861,text
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,-,2388.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,240,637 240,0,<END>,true,+740-637-240-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-1833,2509.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,015,390 015,0,<END>,true,+390-015-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-100,2627.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,705,255 705,0,<END>,true,+090-740-255-705-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-199,2724.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,240,415 240,0,<END>,true,+090-740-100-415-240-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-781,3195.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,706,033 706,0,<END>,true,+520-033-706-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-783,3197.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,061,151 061,0,<END>,true,+151-061-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-785,3199.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,705,255 705,0,<END>,true,+740-255-705-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-794,3208.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,231,804 231,0,<END>,true,+804-231-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,M-813,3226.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:S,590,390 590,0,<END>,true,+161-390-590-002-861+
