feature,value,rows,non_bare_rows,family_cells,tail_types,tail_distribution,source_ready_rows,source_ready_tail_distribution,source_ready_non_bare_rows,focus_tails_present,source_live_split,register_distribution,site_distribution,examples
broad_register_key,Mohenjo-daro|SEAL:R|None,7,4,7,4,<END>:3;533 717:2;360 520 919 140:1;603:1,5,533 717:2;360 520 919 140:1;<END>:1;603:1,4,360 520 919 140;533 717;603,True,Mohenjo-daro|SEAL:R|None|rectangular:4;Mohenjo-daro|SEAL:R|None|cuboid-convex:3,Mohenjo-daro:7,M-1954 +740-407-590-031-752-033-705-220-415-798-002-861+;M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+;M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+;M-1267 +416-001-740-720-175-002-861+;M-1273 +740-055-002-861-603+;M-1973 +740-575-017-233-550-002-861+
prefix_last1,032,10,2,10,3,<END>:8;255 416:1;603:1,5,<END>:3;255 416:1;603:1,2,255 416;603,True,Chanhu-daro|SEAL:S|Bull1:W|square:2;Mohenjo-daro|SEAL:S|Bull1:W|square:2;Harappa|SEAL:S|Bull1:W|square:1;Harappa|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull|square:1,Mohenjo-daro:6;Chanhu-daro:2;Harappa:2,C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;H-444 +241-220-032-002-861+;H-597 +740-390-590-070-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-21 +350-001-740-362-692-032-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-240 +520-240-220-032-002-861-603+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+
prefix_last2,220 032,7,2,7,3,<END>:5;255 416:1;603:1,5,<END>:3;255 416:1;603:1,2,255 416;603,True,Chanhu-daro|SEAL:S|Bull1:W|square:1;Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull|square:1,Mohenjo-daro:5;Chanhu-daro:1;Harappa:1,C-65 +000-100-240-220-032-002-861+;H-444 +241-220-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-240 +520-240-220-032-002-861-603+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+
register_key,Mohenjo-daro|SEAL:S|Bull1:W|square,23,6,22,7,<END>:17;032 520 919 140:1;832:1;036 460 513:1;031:1;603:1;803:1,4,<END>:3;603:1,1,603,True,Mohenjo-daro|SEAL:S|Bull1:W|square:23,Mohenjo-daro:23,M-1697 +390-003-002-861+;M-1704 +740-760-605-002-861+;M-1726 +740-615-495-240-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-1661 +520-070-219-002-861-032-520-919-140+;M-1681 +520-072-233-740-798-002-861-832+;M-1750 +390-004-002-861+;M-7 +407-845-140-740-101-923-240-002-861+;M-15 +090-740-176-002-861+;M-20 +390-005-002-861-036-460-513+;M-21 +350-001-740-362-692-032-002-861+;M-28 +892-374-740-760-840-416-002-861+
broad_register_key,Mohenjo-daro|SEAL:S|Bull1:W,23,6,22,7,<END>:17;032 520 919 140:1;832:1;036 460 513:1;031:1;603:1;803:1,4,<END>:3;603:1,1,603,True,Mohenjo-daro|SEAL:S|Bull1:W|square:23,Mohenjo-daro:23,M-1697 +390-003-002-861+;M-1704 +740-760-605-002-861+;M-1726 +740-615-495-240-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-1661 +520-070-219-002-861-032-520-919-140+;M-1681 +520-072-233-740-798-002-861-832+;M-1750 +390-004-002-861+;M-7 +407-845-140-740-101-923-240-002-861+;M-15 +090-740-176-002-861+;M-20 +390-005-002-861-036-460-513+;M-21 +350-001-740-362-692-032-002-861+;M-28 +892-374-740-760-840-416-002-861+
prefix_last1,803,3,1,3,2,<END>:2;603:1,3,<END>:2;603:1,1,603,True,Mohenjo-daro|SEAL:S|Bull1:W|square:3,Mohenjo-daro:3,M-77 +832-390-803-002-861+;M-118 +740-772-033-705-233-803-002-861+;M-714 +740-585-017-033-705-233-798-803-002-861-603+
register_key,Mohenjo-daro|SEAL:R|None|cuboid-convex,3,3,3,2,533 717:2;360 520 919 140:1,3,533 717:2;360 520 919 140:1,3,360 520 919 140;533 717,True,Mohenjo-daro|SEAL:R|None|cuboid-convex:3,Mohenjo-daro:3,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+;M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
prefix_last1,176,6,2,6,3,<END>:4;392:1;533 717:1,2,<END>:1;533 717:1,1,533 717,True,Lothal|SEAL:S|Gaur|square:1;Mohenjo-daro|POT:T:g|None|-:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1,Mohenjo-daro:5;Lothal:1,L-46 +527-388-233-740-176-002-861-392+;M-2060 +740-176-002-861+;M-1880 +151-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+;M-376 +740-100-176-002-861-533-717+
register_key,Mohenjo-daro|SEAL:R|None|rectangular,4,1,4,2,<END>:3;603:1,2,<END>:1;603:1,1,603,True,Mohenjo-daro|SEAL:R|None|rectangular:4,Mohenjo-daro:4,M-1954 +740-407-590-031-752-033-705-220-415-798-002-861+;M-1267 +416-001-740-720-175-002-861+;M-1273 +740-055-002-861-603+;M-1973 +740-575-017-233-550-002-861+
register_key,Mohenjo-daro|SEAL:S|Bull1:S|square,12,1,12,2,<END>:11;255 416:1,1,255 416:1,1,255 416,False,Mohenjo-daro|SEAL:S|Bull1:S|square:12,Mohenjo-daro:12,- +740-637-240-002-861+;M-1833 +390-015-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-100 +090-740-255-705-002-861+;M-199 +090-740-100-415-240-002-861+;M-781 +520-033-706-002-861+;M-783 +151-061-002-861+;M-785 +740-255-705-002-861+;M-794 +804-231-002-861+;M-813 +161-390-590-002-861+;M-869 +740-100-415-002-861+;M-941 +000-642-240-031-002-861+
broad_register_key,Mohenjo-daro|SEAL:S|Bull1:S,12,1,12,2,<END>:11;255 416:1,1,255 416:1,1,255 416,False,Mohenjo-daro|SEAL:S|Bull1:S|square:12,Mohenjo-daro:12,- +740-637-240-002-861+;M-1833 +390-015-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-100 +090-740-255-705-002-861+;M-199 +090-740-100-415-240-002-861+;M-781 +520-033-706-002-861+;M-783 +151-061-002-861+;M-785 +740-255-705-002-861+;M-794 +804-231-002-861+;M-813 +161-390-590-002-861+;M-869 +740-100-415-002-861+;M-941 +000-642-240-031-002-861+
prefix_last1,235,8,1,8,2,<END>:7;360 520 919 140:1,1,360 520 919 140:1,1,360 520 919 140,False,Mohenjo-daro|SEAL:S|Bull1:W|square:2;Lothal|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:S|Elep|square:1;Mohenjo-daro|SEAL|None|-:1,Mohenjo-daro:7;Lothal:1,L-89 +527-555-235-002-861+;M-1842 +520-000-235-002-861+;M-47 +740-760-235-002-861+;M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+;M-653 +679-740-235-002-861+;M-934 +526-555-235-002-861+;M-1152 +740-032-840-235-002-861+;M-1343 +740-390-590-235-002-861+
prefix_last2,740 176,4,1,4,2,<END>:3;392:1,1,<END>:1,0,,False,Lothal|SEAL:S|Gaur|square:1;Mohenjo-daro|POT:T:g|None|-:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:3;Lothal:1,L-46 +527-388-233-740-176-002-861-392+;M-2060 +740-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+
register_key,Mohenjo-daro|SEAL:S|Gaur|square,3,1,3,2,<END>:2;603:1,1,603:1,1,603,False,Mohenjo-daro|SEAL:S|Gaur|square:3,Mohenjo-daro:3,M-1880 +151-176-002-861+;M-240 +520-240-220-032-002-861-603+;M-1206 +740-690-435-255-002-861+
broad_register_key,Mohenjo-daro|SEAL:S|Gaur,3,1,3,2,<END>:2;603:1,1,603:1,1,603,False,Mohenjo-daro|SEAL:S|Gaur|square:3,Mohenjo-daro:3,M-1880 +151-176-002-861+;M-240 +520-240-220-032-002-861-603+;M-1206 +740-690-435-255-002-861+
prefix_last3,240 220 032,2,1,2,2,<END>:1;603:1,1,603:1,1,603,False,Chanhu-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1,Chanhu-daro:1;Mohenjo-daro:1,C-65 +000-100-240-220-032-002-861+;M-240 +520-240-220-032-002-861-603+
prefix_last1,798,8,2,8,3,<END>:6;216:1;832:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:W|square:4;Harappa|SEAL:S|Bull1:I|square:1;Harappa|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1;Mohenjo-daro|TAB:B|None|prism:1,Mohenjo-daro:6;Harappa:2,H-1051 +400-740-575-017-920-320-798-002-861+;H-446 +740-585-798-002-861-216+;M-1681 +520-072-233-740-798-002-861-832+;M-1954 +740-407-590-031-752-033-705-220-415-798-002-861+;M-629 +679-740-176-240-798-002-861+;M-793 +740-388-235-240-798-002-861+;M-815 +520-070-233-798-002-861+;M-1426 +740-760-036-220-415-798-002-861+
prefix_last1,031,7,2,7,3,<END>:5;244 165:1;791 440 717:1,0,,0,,False,Mohenjo-daro|SEAL:S|Elep|square:2;Dholavira|SEAL:S|Bull1:J|square:1;Harappa|TAB:B|None|rectangular:1;Harappa|SEAL:R|None|cuboid-convex:1;Kalibangan|SEAL:S|Elep|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,Mohenjo-daro:3;Harappa:2;Dholavira:1;Kalibangan:1,Dlv-1 +151-382-031-002-861+;H-1851 +740-803-892-031-002-861+;H-129 +409-061-740-235-220-031-002-861-244-165+;K-40 +760-031-002-861-791-440-717+;M-941 +000-642-240-031-002-861+;M-1160 +000-136-031-002-861+;M-1161 +520-233-031-002-861+
prefix,<EMPTY>,9,9,3,3,416:6;698:2;096:1,0,,0,,False,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
prefix_last3,<START>,9,9,3,3,416:6;698:2;096:1,0,,0,,False,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
prefix_last2,<START>,9,9,3,3,416:6;698:2;096:1,0,,0,,False,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
prefix_last1,<START>,9,9,3,3,416:6;698:2;096:1,0,,0,,False,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
prefix_last1,240,15,1,13,2,<END>:14;031:1,0,,0,,False,Harappa|TAB:B|None|twisted rectangular-rounded:3;Mohenjo-daro|SEAL:S|Bull1:W|square:3;Mohenjo-daro|SEAL:S|Bull1:S|square:2;Harappa|TAB:B|Bull1|oval:1;Harappa|TAB:B|Bull1|elliptical:1;Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Elep|square:1,Harappa:8;Mohenjo-daro:7,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-51 +740-643-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;M-1753 +740-760-519-240-002-861+;M-1726 +740-615-495-240-002-861+;- +740-637-240-002-861+;M-7 +407-845-140-740-101-923-240-002-861+;M-199 +090-740-100-415-240-002-861+;M-285 +504-350-240-002-861+
register_key,Mohenjo-daro|SEAL:S|Bull1:J|square,8,1,8,2,<END>:7;683:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:J|square:8,Mohenjo-daro:8,M-1674 +090-740-222-231-002-861-683+;M-47 +740-760-235-002-861+;M-142 +136-140-002-861+;M-152 +740-772-002-861+;M-327 +740-519-002-861+;M-717 +740-142-061-002-861+;M-724 +390-721-790-002-861+;M-834 +151-390-590-900-002-861+
broad_register_key,Mohenjo-daro|SEAL:S|Bull1:J,8,1,8,2,<END>:7;683:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:J|square:8,Mohenjo-daro:8,M-1674 +090-740-222-231-002-861-683+;M-47 +740-760-235-002-861+;M-142 +136-140-002-861+;M-152 +740-772-002-861+;M-327 +740-519-002-861+;M-717 +740-142-061-002-861+;M-724 +390-721-790-002-861+;M-834 +151-390-590-900-002-861+
prefix_last1,004,5,1,5,2,<END>:4;125:1,0,,0,,False,Harappa|TAB:B|Phyt|rectangular-rounded:1;Harappa|SEAL:S|Bull1:X|square:1;Harappa|TAB:B|Phyt|rectangular:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|-|square:1,Harappa:3;Mohenjo-daro:2,H-1785 +407-004-002-861+;H-55 +390-004-002-861-125+;H-719 +405-004-002-861+;M-1750 +390-004-002-861+;M-1063 +407-004-002-861+
prefix_last1,705,4,1,4,2,<END>:3;803:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:S|square:2;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Dholavira|TAG|Bull1|square:1,Mohenjo-daro:3;Dholavira:1,M-100 +090-740-255-705-002-861+;M-785 +740-255-705-002-861+;M-1698 +740-482-033-705-002-861-803+;- +000-705-002-861+
register_key,Mohenjo-daro|SEAL:S|Bull1:L|square,4,1,4,2,<END>:3;901:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:L|square:4,Mohenjo-daro:4,M-1753 +740-760-519-240-002-861+;M-1755 +740-176-002-861+;M-677 +740-923-070-032-033-706-231-242-002-861-901+;M-850 +740-100-415-002-861+
broad_register_key,Mohenjo-daro|SEAL:S|Bull1:L,4,1,4,2,<END>:3;901:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:L|square:4,Mohenjo-daro:4,M-1753 +740-760-519-240-002-861+;M-1755 +740-176-002-861+;M-677 +740-923-070-032-033-706-231-242-002-861-901+;M-850 +740-100-415-002-861+
prefix_last1,233,3,1,3,2,<END>:2;831 165:1,0,,0,,False,Harappa|SEAL|None|-:1;Mohenjo-daro|SEAL:S|Zebu|square:1;Mohenjo-daro|SEAL:S|Bull1:II|square:1,Mohenjo-daro:2;Harappa:1,H-688 +520-233-002-861-831-165+;M-1115 +740-335-233-002-861+;M-1670 +740-760-001-233-002-861+
register_key,Harappa|SEAL:R|None|cuboid-convex,3,1,3,2,<END>:2;244 165:1,0,,0,,False,Harappa|SEAL:R|None|cuboid-convex:3,Harappa:3,H-129 +409-061-740-235-220-031-002-861-244-165+;H-134 +740-405-590-220-003-002-861+;H-135 +740-773-231-806-002-861+
broad_register_key,Harappa|SEAL:R|None,3,1,3,2,<END>:2;244 165:1,0,,0,,False,Harappa|SEAL:R|None|cuboid-convex:3,Harappa:3,H-129 +409-061-740-235-220-031-002-861-244-165+;H-134 +740-405-590-220-003-002-861+;H-135 +740-773-231-806-002-861+
register_key,Mohenjo-daro|SEAL:S|None|square,3,2,2,2,698:2;<END>:1,0,,0,,False,Mohenjo-daro|SEAL:S|None|square:3,Mohenjo-daro:3,M-316 +367-390-710-002-861+;M-329 +002-861-698+;M-330 +002-861-698+
broad_register_key,Mohenjo-daro|SEAL:S|None,3,2,2,2,698:2;<END>:1,0,,0,,False,Mohenjo-daro|SEAL:S|None|square:3,Mohenjo-daro:3,M-316 +367-390-710-002-861+;M-329 +002-861-698+;M-330 +002-861-698+
prefix,390 004,2,1,2,2,125:1;<END>:1,0,,0,,False,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
prefix_last3,390 004,2,1,2,2,125:1;<END>:1,0,,0,,False,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
prefix_last2,390 004,2,1,2,2,125:1;<END>:1,0,,0,,False,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
prefix_last1,231,2,1,2,2,683:1;<END>:1,0,,0,,False,Mohenjo-daro|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,Mohenjo-daro:2,M-1674 +090-740-222-231-002-861-683+;M-794 +804-231-002-861+
register_key,Harappa|SEAL:S|Bull1:J|square,2,1,2,2,216:1;<END>:1,0,,0,,False,Harappa|SEAL:S|Bull1:J|square:2,Harappa:2,H-446 +740-585-798-002-861-216+;H-597 +740-390-590-070-032-002-861+
register_key,Mohenjo-daro|ROD|None|-,2,1,2,2,096:1;<END>:1,0,,0,,False,Mohenjo-daro|ROD|None|-:2,Mohenjo-daro:2,M-2089 +002-861-096+;M-2087 +820-000-032-740-904-002-861+
broad_register_key,Harappa|SEAL:S|Bull1:J,2,1,2,2,216:1;<END>:1,0,,0,,False,Harappa|SEAL:S|Bull1:J|square:2,Harappa:2,H-446 +740-585-798-002-861-216+;H-597 +740-390-590-070-032-002-861+
broad_register_key,Mohenjo-daro|ROD|None,2,1,2,2,096:1;<END>:1,0,,0,,False,Mohenjo-daro|ROD|None|-:2,Mohenjo-daro:2,M-2089 +002-861-096+;M-2087 +820-000-032-740-904-002-861+
