contrast_feature,contrast_value,rows,tail_distribution,source_visible_rows,examples,research_use
prefix_last2,220 032,7,"<END>:5,255 416:1,603:1",5,C-65 <END> +000-100-240-220-032-002-861+; H-444 <END> +241-220-032-002-861+; M-1763 <END> +416-001-565-740-220-032-002-861+; M-91 255 416 +740-100-798-220-032-002-861-255-416+; M-240 603 +520-240-220-032-002-861-603+; M-723 <END> +740-460-510-235-220-032-002-861+; M-1044 <END> +520-220-032-002-861+,"live minimal contrast: same last-2 preframe reaches bare, 603, and 255-416; tail choice is not decided by prefix_last2 alone"
prefix_last1,032,10,"<END>:8,255 416:1,603:1",5,C-65 <END> +000-100-240-220-032-002-861+; C-60 <END> +740-176-032-002-861+; H-444 <END> +241-220-032-002-861+; H-597 <END> +740-390-590-070-032-002-861+; M-1763 <END> +416-001-565-740-220-032-002-861+; M-21 <END> +350-001-740-362-692-032-002-861+; M-91 255 416 +740-100-798-220-032-002-861-255-416+; M-240 603 +520-240-220-032-002-861-603+; M-723 <END> +740-460-510-235-220-032-002-861+; M-1044 <END> +520-220-032-002-861+,secondary contrast
broad_register_key,Mohenjo-daro|SEAL:R|None,7,"<END>:3,533 717:2,360 520 919 140:1,603:1",5,M-1954 <END> +740-407-590-031-752-033-705-220-415-798-002-861+; M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+; M-376 533 717 +740-100-176-002-861-533-717+; M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+; M-1267 <END> +416-001-740-720-175-002-861+; M-1273 603 +740-055-002-861-603+; M-1973 <END> +740-575-017-233-550-002-861+,tests register/template explanation against focus-tail recurrence
register_key,Mohenjo-daro|SEAL:S|Bull1:W|square,23,"<END>:17,032 520 919 140:1,832:1,036 460 513:1,031:1,603:1,803:1",4,M-1697 <END> +390-003-002-861+; M-1704 <END> +740-760-605-002-861+; M-1726 <END> +740-615-495-240-002-861+; M-1763 <END> +416-001-565-740-220-032-002-861+; M-1661 032 520 919 140 +520-070-219-002-861-032-520-919-140+; M-1681 832 +520-072-233-740-798-002-861-832+; M-1750 <END> +390-004-002-861+; M-7 <END> +407-845-140-740-101-923-240-002-861+; M-15 <END> +090-740-176-002-861+; M-20 036 460 513 +390-005-002-861-036-460-513+; M-21 <END> +350-001-740-362-692-032-002-861+; M-28 <END> +892-374-740-760-840-416-002-861+,tests register/template explanation against focus-tail recurrence
broad_register_key,Mohenjo-daro|SEAL:S|Bull1:W,23,"<END>:17,032 520 919 140:1,832:1,036 460 513:1,031:1,603:1,803:1",4,M-1697 <END> +390-003-002-861+; M-1704 <END> +740-760-605-002-861+; M-1726 <END> +740-615-495-240-002-861+; M-1763 <END> +416-001-565-740-220-032-002-861+; M-1661 032 520 919 140 +520-070-219-002-861-032-520-919-140+; M-1681 832 +520-072-233-740-798-002-861-832+; M-1750 <END> +390-004-002-861+; M-7 <END> +407-845-140-740-101-923-240-002-861+; M-15 <END> +090-740-176-002-861+; M-20 036 460 513 +390-005-002-861-036-460-513+; M-21 <END> +350-001-740-362-692-032-002-861+; M-28 <END> +892-374-740-760-840-416-002-861+,tests register/template explanation against focus-tail recurrence
prefix_last1,803,3,"<END>:2,603:1",3,M-77 <END> +832-390-803-002-861+; M-118 <END> +740-772-033-705-233-803-002-861+; M-714 603 +740-585-017-033-705-233-798-803-002-861-603+,last-1 preframe has bare controls plus a focus tail; use for source-visible closure vs addendum tests
register_key,Mohenjo-daro|SEAL:R|None|cuboid-convex,3,"533 717:2,360 520 919 140:1",3,M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+; M-376 533 717 +740-100-176-002-861-533-717+; M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+,tests register/template explanation against focus-tail recurrence
prefix_last1,176,6,"<END>:4,392:1,533 717:1",2,L-46 392 +527-388-233-740-176-002-861-392+; M-2060 <END> +740-176-002-861+; M-1880 <END> +151-176-002-861+; M-1755 <END> +740-176-002-861+; M-15 <END> +090-740-176-002-861+; M-376 533 717 +740-100-176-002-861-533-717+,last-1 preframe has bare controls plus a focus tail; use for source-visible closure vs addendum tests
register_key,Mohenjo-daro|SEAL:R|None|rectangular,4,"<END>:3,603:1",2,M-1954 <END> +740-407-590-031-752-033-705-220-415-798-002-861+; M-1267 <END> +416-001-740-720-175-002-861+; M-1273 603 +740-055-002-861-603+; M-1973 <END> +740-575-017-233-550-002-861+,tests register/template explanation against focus-tail recurrence
register_key,Mohenjo-daro|SEAL:S|Bull1:S|square,12,"<END>:11,255 416:1",1,- <END> +740-637-240-002-861+; M-1833 <END> +390-015-002-861+; M-91 255 416 +740-100-798-220-032-002-861-255-416+; M-100 <END> +090-740-255-705-002-861+; M-199 <END> +090-740-100-415-240-002-861+; M-781 <END> +520-033-706-002-861+; M-783 <END> +151-061-002-861+; M-785 <END> +740-255-705-002-861+; M-794 <END> +804-231-002-861+; M-813 <END> +161-390-590-002-861+; M-869 <END> +740-100-415-002-861+; M-941 <END> +000-642-240-031-002-861+,tests register/template explanation against focus-tail recurrence
