cisi,object_id,witness,tail_family,text,box_role,x1,y1,x2,y2
M-376,2872.1,a,533-717,+740-100-176-002-861-533-717+,line_window,75,35,805,270
M-376,2872.1,a,533-717,+740-100-176-002-861-533-717+,pre_tail_window,330,45,540,260
M-376,2872.1,a,533-717,+740-100-176-002-861-533-717+,tail_window,540,45,805,260
M-391,2887.1,a,533-717,+405-845-686-740-793-003-233-805-002-861-533-717+,line_window,25,80,825,245
M-391,2887.1,a,533-717,+405-845-686-740-793-003-233-805-002-861-533-717+,pre_tail_window,350,85,560,240
M-391,2887.1,a,533-717,+405-845-686-740-793-003-233-805-002-861-533-717+,tail_window,560,85,825,240
M-91,2618.1,a,255-416,+740-100-798-220-032-002-861-255-416+,line_window,105,5,555,280
M-91,2618.1,a,255-416,+740-100-798-220-032-002-861-255-416+,pre_tail_window,300,20,555,270
M-91,2618.1,a,255-416,+740-100-798-220-032-002-861-255-416+,tail_window,105,20,300,270
M-240,2763.1,a,603,+520-240-220-032-002-861-603+,line_window,335,5,755,255
M-240,2763.1,a,603,+520-240-220-032-002-861-603+,pre_tail_window,360,20,635,250
M-240,2763.1,a,603,+520-240-220-032-002-861-603+,tail_window,635,20,755,250
M-714,3139.1,a,603,+740-585-017-033-705-233-798-803-002-861-603+,line_window,40,0,1310,245
M-714,3139.1,a,603,+740-585-017-033-705-233-798-803-002-861-603+,pre_tail_window,860,5,1110,235
M-714,3139.1,a,603,+740-585-017-033-705-233-798-803-002-861-603+,tail_window,1110,5,1335,235
M-1273,3580.1,a,603,+740-055-002-861-603+,line_window,40,45,1230,445
M-1273,3580.1,a,603,+740-055-002-861-603+,pre_tail_window,760,55,1010,430
M-1273,3580.1,a,603,+740-055-002-861-603+,tail_window,1010,55,1230,430
