unit,unit_class,id,cisi,site,type,symbol,direction,text,unit_index,prev1,prev2,next1,unit_terminal,after_861,after_002_861
603,861_strict_repeated_tail,198.1,H-1138,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false
603,861_strict_repeated_tail,686.2,H-1846,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false
603,861_strict_repeated_tail,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,R/L,+520-240-220-032-002-861-603+,6,861,002 861,<END>,true,true,true
603,861_strict_repeated_tail,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+740-585-017-033-705-233-798-803-002-861-603+,10,861,002 861,<END>,true,true,true
603,861_strict_repeated_tail,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,R/L,+740-055-002-861-603+,4,861,002 861,<END>,true,true,true
603,861_strict_repeated_tail,3887.1,-,Unknown,SEAL:C,Scene,R/L,+000-603-091-190+,1,000,000,091,false,false,false
603,861_strict_repeated_tail,3975.1,H-1137,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false
533-717,861_strict_repeated_tail,2872.1,M-376,Mohenjo-daro,SEAL:R,None,R/L,+740-100-176-002-861-533-717+,5,861,002 861,<END>,true,true,true
533-717,861_strict_repeated_tail,2887.1,M-391,Mohenjo-daro,SEAL:R,None,R/L,+405-845-686-740-793-003-233-805-002-861-533-717+,10,861,002 861,<END>,true,true,true
255-416,861_adjacent_singleton_tail,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+740-100-798-220-032-002-861-255-416+,7,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,132.1,-,Dholavira,SEAL:S,Tigr,R/L,+740-416-002-861+,1,740,740,002,false,false,false
416,861_raw_duplicate_family_tail,310.1,H-911,Harappa,TAB:I,None,R/L,+416-590-033+,0,<START>,<START>,590,false,false,false
416,861_raw_duplicate_family_tail,311.1,H-1192,Harappa,TAB:I,None,R/L,+400-740-767-220-416+,4,220,767 220,<END>,true,false,false
416,861_raw_duplicate_family_tail,476.2,H-2094,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,488.2,H-2097,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,518.2,H-2095,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,621.1,-,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,665.2,H-2096,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true
416,861_raw_duplicate_family_tail,786.2,H-2099,Harappa,TAB:I,None,R/L,+416-590-033+,0,<START>,<START>,590,false,false,false
416,861_raw_duplicate_family_tail,892.2,H-2119,Harappa,TAB:I,None,R/L,+740-416+,1,740,740,<END>,true,false,false
