id,cisi,site,type,symbol,shape,material,condition,direction,text_length,text,prefix_before_002_861,prefix_before_002_861_last1,prefix_before_002_861_last2,tail_after_002_861,tail_len,terminal_after_tail,source_status,is_mohenjo_no_icon_seal_r,family_key
13.1,Ad-8,Allahdino,MISC,Elep,square,Clay,Fair,R/L,6,+740-440-503-002-861-000+,740 440 503,503,440 503,000,1,true,source_pending_or_not_checked,false,Allahdino|MISC|Elep|square|000|440 503
18.1,-,Bakkar Buthi,POT:T:g,None,-,Clay,Poor,R/L,6,+405-844-032-840-002-861+,405 844 032 840,840,032 840,<END>,0,true,source_pending_or_not_checked,false,Bakkar Buthi|POT:T:g|None|-|<END>|032 840
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,Good,R/L,7,+000-100-240-220-032-002-861+,000 100 240 220 032,032,220 032,<END>,0,true,source_pending_or_not_checked,false,Chanhu-daro|SEAL:S|Bull1:W|square|<END>|220 032
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,Good,R/L,5,+740-176-032-002-861+,740 176 032,032,176 032,<END>,0,true,source_pending_or_not_checked,false,Chanhu-daro|SEAL:S|Bull1:W|square|<END>|176 032
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,square,Steatite,Fair,R/L,3,+125-002-861+,125,125,125,<END>,0,true,source_pending_or_not_checked,false,Chanhu-daro|SEAL:S|Gaur|square|<END>|125
132.1,-,Dholavira,SEAL:S,Tigr,square,Steatite,Fair,R/L,4,+740-416-002-861+,740 416,416,740 416,<END>,0,true,source_pending_or_not_checked,false,Dholavira|SEAL:S|Tigr|square|<END>|740 416
136.1,-,Dholavira,SEAL:R,None,rectangular,Steatite,Good,R/L,4,+390-016-002-861+,390 016,016,390 016,<END>,0,true,source_pending_or_not_checked,false,Dholavira|SEAL:R|None|rectangular|<END>|390 016
145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,square,-,Poor,R/L,5,+151-382-031-002-861+,151 382 031,031,382 031,<END>,0,true,source_pending_or_not_checked,false,Dholavira|SEAL:S|Bull1:J|square|<END>|382 031
259.1,H-1051,Harappa,SEAL:S,Bull1:I,square,Steatite,Poor,R/L,9,+400-740-575-017-920-320-798-002-861+,400 740 575 017 920 320 798,798,320 798,<END>,0,true,source_pending_or_not_checked,false,Harappa|SEAL:S|Bull1:I|square|<END>|320 798
284.1,H-1030,Harappa,SEAL:S,Bull1:W,square,-,Good,R/L,5,+090-740-103-002-861+,090 740 103,103,740 103,<END>,0,true,source_pending_or_not_checked,false,Harappa|SEAL:S|Bull1:W|square|<END>|740 103
