tail_after_002_861,rows,source_visible_rows,family_key_count,mohenjo_no_icon_seal_r_rows,perfect_small_register_cell,site_counts,type_counts,symbol_counts,shape_counts,length_counts,prefix_last2_counts,source_status_counts,examples
<END>,113,1,108,3,false,Mohenjo-daro:69;Harappa:25;Dholavira:6;Kalibangan:4;Lothal:4;Chanhu-daro:3;Bakkar Buthi:1;Unknown:1,SEAL:S:76;TAB:B:17;SEAL:R:8;TAG:L:3;TAG:3;POT:T:g:2;SEAL:2;MISC:1;ROD:1,None:24;Bull1:W:23;Bull1:S:11;Bull1:10;Bull1:J:9;Elep:6;Gaur:4;Bull1:L:4;Phyt:3;-:3,square:77;-:10;rectangular:10;prism:4;cuboid-convex:4;twisted rectangular-rounded:3;oval:1;rectangular-rounded:1;elliptical:1;rectangular-round:1,5:43;4:27;6:16;7:12;3:6;8:6;9:2;12:1,482 240:7;220 032:5;390 590:3;390 003:3;740 176:3;220 003:2;407 004:2;555 235:2;236:2;415 798:2,source_pending_or_not_checked:110;source_pending_target:2;source_visible:1,- +405-844-032-840-002-861+;C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;C-74 +125-002-861+;- +740-416-002-861+;- +390-016-002-861+;Dlv-1 +151-382-031-002-861+;H-1051 +400-740-575-017-920-320-798-002-861+;H-1030 +090-740-103-002-861+;H-1043 +151-760-220-003-002-861+
416,6,0,1,0,false,Harappa:6,TAB:I:6,None:6,rectangular:6,3:6,<START>:6,source_pending_or_not_checked:6,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
603,3,1,3,1,false,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,Gaur:1;Bull1:W:1;None:1,square:2;rectangular:1,7:1;11:1;5:1,220 032:1;798 803:1;740 055:1,source_pending_or_not_checked:2;source_visible:1,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
533 717,2,2,2,2,true,Mohenjo-daro:2,SEAL:R:2,None:2,cuboid-convex:2,7:1;12:1,100 176:1;233 805:1,source_visible:2,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
698,2,0,1,0,true,Mohenjo-daro:2,SEAL:S:2,None:2,square:2,3:2,<START>:2,source_pending_or_not_checked:2,M-329 +002-861-698+;M-330 +002-861-698+
000,1,0,1,0,true,Allahdino:1,MISC:1,Elep:1,square:1,6:1,440 503:1,source_pending_or_not_checked:1,Ad-8 +740-440-503-002-861-000+
031,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,6:1,773 240:1,source_pending_or_not_checked:1,M-706 +740-773-240-002-861-031+
032 520 919 140,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,9:1,070 219:1,source_pending_or_not_checked:1,M-1661 +520-070-219-002-861-032-520-919-140+
036 460 513,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,7:1,390 005:1,source_pending_or_not_checked:1,M-20 +390-005-002-861-036-460-513+
096,1,0,1,0,true,Mohenjo-daro:1,ROD:1,None:1,-:1,3:1,<START>:1,source_pending_or_not_checked:1,M-2089 +002-861-096+
125,1,0,1,0,true,Harappa:1,SEAL:S:1,Bull1:X:1,square:1,5:1,390 004:1,source_pending_or_not_checked:1,H-55 +390-004-002-861-125+
216,1,0,1,0,true,Harappa:1,SEAL:S:1,Bull1:J:1,square:1,6:1,585 798:1,source_pending_or_not_checked:1,H-446 +740-585-798-002-861-216+
244 165,1,0,1,0,true,Harappa:1,SEAL:R:1,None:1,cuboid-convex:1,10:1,220 031:1,source_pending_or_not_checked:1,H-129 +409-061-740-235-220-031-002-861-244-165+
255 416,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,square:1,9:1,220 032:1,source_pending_or_not_checked:1,M-91 +740-100-798-220-032-002-861-255-416+
360 520 919 140,1,1,1,1,true,Mohenjo-daro:1,SEAL:R:1,None:1,cuboid-convex:1,13:1,231 235:1,source_visible:1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
392,1,0,1,0,true,Lothal:1,SEAL:S:1,Gaur:1,square:1,8:1,740 176:1,source_pending_or_not_checked:1,L-46 +527-388-233-740-176-002-861-392+
626,1,0,1,0,true,Lothal:1,SEAL:S:1,Bull1:1,square:1,5:1,520 315:1,source_pending_or_not_checked:1,L-39 +520-315-002-861-626+
683,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,square:1,7:1,222 231:1,source_pending_or_not_checked:1,M-1674 +090-740-222-231-002-861-683+
791 440 717,1,0,1,0,true,Kalibangan:1,SEAL:S:1,Elep:1,square:1,7:1,760 031:1,source_pending_or_not_checked:1,K-40 +760-031-002-861-791-440-717+
803,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,7:1,033 705:1,source_pending_or_not_checked:1,M-1698 +740-482-033-705-002-861-803+
831 165,1,0,1,0,true,Harappa:1,SEAL:1,None:1,-:1,6:1,520 233:1,source_pending_or_not_checked:1,H-688 +520-233-002-861-831-165+
832,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,8:1,740 798:1,source_pending_or_not_checked:1,M-1681 +520-072-233-740-798-002-861-832+
901,1,0,1,0,true,Mohenjo-daro:1,SEAL:S:1,Bull1:L:1,square:1,11:1,231 242:1,source_pending_or_not_checked:1,M-677 +740-923-070-032-033-706-231-242-002-861-901+
