sign,any_occurrences,x240_rows,x240_register_cells,x240_source_cells,x240_formula_families,x240_frame_counts,exact_740_x_240_060_692_rows,post_002_861_tail_initial_rows,post_002_861_tail_register_cells,post_002_861_tail_families,bridge_candidate,x240_examples,post_861_examples,x240_register_counts,post_861_register_counts
000,810,2,2,2,2,000_X_240:1;740_X_240:1,0,1,1,1,true,M-477 +840-000-000-240+;M-1231 +740-000-240+,Ad-8 +740-440-503-002-861-000+,Mohenjo-daro|TAB:B|Mult|twisted rectangular:1;Mohenjo-daro|SEAL:S|None|square:1,Allahdino|MISC|Elep|square:1
031,205,0,0,0,0,,0,1,1,1,false,,M-706 +740-773-240-002-861-031+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1
032,442,0,0,0,0,,0,1,1,1,false,,M-1661 +520-070-219-002-861-032-520-919-140+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1
036,6,0,0,0,0,,0,1,1,1,false,,M-20 +390-005-002-861-036-460-513+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1
055,50,3,3,3,3,740_X_240:3,0,0,0,0,false,H-386 +527-555-740-055-240-415-798-060-201+;M-29 +740-055-240-235-806-002-220-455-503+;M-1265 +740-055-240-220-032-806+,,Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1,
096,2,0,0,0,0,,0,1,1,1,false,,M-2089 +002-861-096+,,Mohenjo-daro|ROD|None|-:1
100,108,8,7,7,7,740_X_240:7;000_X_240:1,0,0,0,0,false,C-65 +000-100-240-220-032-002-861+;C-51 +151-740-100-240+;H-1895 +400-740-100-240+;H-76 +740-100-240-235-741-175-132+;H-251 +400-740-100-240+;H-323 +740-100-240+;H-450 +740-100-240-741-702-900-003+;M-1982 +740-100-240-031+,,Chanhu-daro|SEAL:S|Bull1:W|square:2;Harappa|TAB:B|None|oval:1;Harappa|SEAL:S|Gaur|square:1;Harappa|TAB:B|Gaur|prism:1;Harappa|TAB:I|None|rectangular-round:1;Harappa|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1,
125,50,0,0,0,0,,0,1,1,1,false,,H-55 +390-004-002-861-125+,,Harappa|SEAL:S|Bull1:X|square:1
152,1,1,1,1,1,740_X_240:1,0,0,0,0,false,H-2189 +400-740-152-240+,,Harappa|TAB:B|None|heart:1,
176,179,5,4,4,4,740_X_240:5,0,0,0,0,false,H-2200 +400-740-176-240+;H-2201 +400-740-176-240+;H-408 +740-176-240-002-702-503+;M-289 +740-176-240-002-817+;M-629 +679-740-176-240-798-002-861+,,Harappa|TAB:I|Fish|prism:2;Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Tigr|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,
216,4,0,0,0,0,,0,1,1,1,false,,H-446 +740-585-798-002-861-216+,,Harappa|SEAL:S|Bull1:J|square:1
233,165,4,4,4,4,740_X_240:3;000_X_240:1,0,0,0,0,false,H-246 +400-804-000-233-240+;H-659 +407-845-140-740-233-240-798-365-263+;H-779 +000-000-740-233-240+;M-1720 +679-740-233-240+,,Harappa|TAB:B|None|circular:1;Harappa|SEAL:R|None|cuboid-convex:1;Harappa|TAB:B|None|rectangular:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,
235,204,1,1,1,1,740_X_240:1,0,0,0,0,false,H-954 +090-740-235-240+,,Harappa|TAB:I|None|rectangular:1,
244,3,0,0,0,0,,0,1,1,1,false,,H-129 +409-061-740-235-220-031-002-861-244-165+,,Harappa|SEAL:R|None|cuboid-convex:1
255,110,0,0,0,0,,0,1,1,1,false,,M-91 +740-100-798-220-032-002-861-255-416+,,Mohenjo-daro|SEAL:S|Bull1:S|square:1
360,9,0,0,0,0,,0,1,1,1,false,,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+,,Mohenjo-daro|SEAL:R|None|cuboid-convex:1
392,6,0,0,0,0,,0,1,1,1,false,,L-46 +527-388-233-740-176-002-861-392+,,Lothal|SEAL:S|Gaur|square:1
416,45,0,0,0,0,,0,6,1,1,false,,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+,,Harappa|TAB:I|None|rectangular:6
