iteration,sign603_has_one_family_cell,sign603_family_cell_in_060_692,any_nonbackground_bridge_single_family_cell,any_nonbackground_bridge_multi_cell_locked,bridge_single_cell_signs,bridge_multi_cell_locked_signs
0,True,False,True,False,603,
1,True,False,True,False,603,
2,True,False,True,False,603,
3,True,False,True,False,603,
4,True,False,True,False,603,
5,True,True,True,False,603,
6,True,False,True,False,603,
7,True,True,True,False,603,
8,True,False,True,False,603,
9,True,False,True,False,603,
10,True,False,True,False,603,
11,True,False,True,False,603,
12,True,False,True,False,603,
13,True,False,True,False,603,
14,True,False,True,False,603,
15,True,False,True,False,603,
16,True,False,True,False,603,
17,True,False,True,False,603,
18,True,False,True,False,603,
19,True,False,True,False,603,
20,True,False,True,False,603,
21,True,False,True,False,603,
22,True,False,True,False,603,
23,True,False,True,False,603,
24,True,False,True,False,603,
25,True,False,True,False,603,
26,True,False,True,False,603,
27,True,False,True,False,603,
28,True,False,True,False,603,
29,True,False,True,False,603,
30,True,False,True,False,603,
31,True,False,True,False,603,
32,True,False,True,False,603,
33,True,False,True,False,603,
34,True,False,True,False,603,
35,True,False,True,False,603,
36,True,False,True,False,603,
37,True,False,True,False,603,
38,True,True,True,False,603,
39,True,False,True,False,603,
40,True,False,True,False,603,
41,True,False,True,False,603,
42,True,False,True,False,603,
43,True,False,True,False,603,
44,True,False,True,False,603,
45,True,False,True,False,603,
46,True,False,True,False,603,
47,True,False,True,False,603,
48,True,False,True,False,603,
49,True,False,True,False,603,
50,True,False,True,False,603,
51,True,False,True,False,603,
52,True,False,True,False,603,
53,True,False,True,False,603,
54,True,False,True,False,603,
55,True,True,True,False,603,
56,True,False,True,False,603,
57,True,False,True,False,603,
58,True,False,True,False,603,
59,True,False,True,False,603,
60,True,False,True,False,603,
61,True,False,True,False,603,
62,True,False,True,False,603,
63,True,False,True,False,603,
64,True,False,True,False,603,
65,True,False,True,False,603,
66,True,False,True,False,603,
67,True,False,True,False,603,
68,True,False,True,False,603,
69,True,False,True,False,603,
70,True,False,True,False,603,
71,True,False,True,False,603,
72,True,False,True,False,603,
73,True,False,True,False,603,
74,True,False,True,False,603,
75,True,False,True,False,603,
76,True,False,True,False,603,
77,True,False,True,False,603,
78,True,False,True,False,603,
79,True,False,True,False,603,
80,True,False,True,False,603,
81,True,False,True,False,603,
82,True,False,True,False,603,
83,True,False,True,False,603,
84,True,False,True,False,603,
85,True,False,True,False,603,
86,True,False,True,False,603,
87,True,False,True,False,603,
88,True,False,True,False,603,
89,True,False,True,False,603,
90,True,False,True,False,603,
91,True,False,True,False,603,
92,True,False,True,False,603,
93,True,False,True,False,603,
94,True,True,True,False,603,
95,True,False,True,False,603,
96,True,True,True,False,603,
97,True,False,True,False,603,
98,True,False,True,False,603,
99,True,False,True,False,603,
100,True,False,True,False,603,
101,True,False,True,False,603,
102,True,False,True,False,603,
103,True,False,True,False,603,
104,True,False,True,False,603,
105,True,False,True,False,603,
106,True,False,True,False,603,
107,True,False,True,False,603,
108,True,True,True,False,603,
109,True,False,True,False,603,
110,True,False,True,False,603,
111,True,False,True,False,603,
112,True,False,True,False,603,
113,True,False,True,False,603,
114,True,False,True,False,603,
115,True,False,True,False,603,
116,True,False,True,False,603,
117,True,False,True,False,603,
118,True,False,True,False,603,
119,True,False,True,False,603,
120,True,False,True,False,603,
121,True,False,True,False,603,
122,True,False,True,False,603,
123,True,False,True,False,603,
124,True,False,True,False,603,
125,True,False,True,False,603,
126,True,False,True,False,603,
127,True,False,True,False,603,
128,True,False,True,False,603,
129,True,False,True,False,603,
130,True,False,True,False,603,
131,True,False,True,False,603,
