x_sign,family_cells,raw_rows,distinct_after240_subframes,locked_at_family_cell_level,dominant_after240_subframe,after240_cell_counts,post_002_861_tail_initial_rows,post_002_861_tail_families,is_nonbackground_bridge,examples
636,12,15,5,False,<END>,<END>:6;031 032 171:2;060 692:2;066 556:1;233 235 002:1,0,0,False,H-301 +400-740-636-240-031-032-171+;H-905 +400-740-636-240-031-032-171+;H-988 +400-740-636-240-031-032-171+;H-360 +740-636-240-060-692+;H-823 +740-636-240-060-692+;M-1879 +740-636-240-066-556+;M-41 +740-636-240-233-235-002-405-125-820+
100,8,8,5,False,<END>,<END>:4;031:1;220 032 002:1;235 741 175:1;741 702 900:1,0,0,False,M-1982 +740-100-240-031+;C-65 +000-100-240-220-032-002-861+;H-76 +740-100-240-235-741-175-132+;H-450 +740-100-240-741-702-900-003+;C-51 +151-740-100-240+;H-1895 +400-740-100-240+
482,6,8,2,False,002 861,002 861:5;002 944 920:1,0,0,False,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;H-1130 +740-482-240-002-861+;H-1131 +740-482-240-002-861+;M-280 +740-482-240-002-944-920-140+
642,6,7,5,False,060 692,060 692:2;001 692:1;031 002 861:1;204 705 621:1;<END>:1,0,0,False,H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+;M-941 +000-642-240-031-002-861+;H-1845 +740-642-240-060-692+;H-237 +740-642-240-060-692+;H-206 +740-642-240-204-705-621+;H-350 +740-690-642-240+
176,4,5,4,False,002 702 503,002 702 503:1;002 817:1;798 002 861:1;<END>:1,0,0,False,H-408 +740-176-240-002-702-503+;M-289 +740-176-240-002-817+;M-629 +679-740-176-240-798-002-861+;H-2200 +400-740-176-240+;H-2201 +400-740-176-240+
233,4,4,2,False,<END>,<END>:3;798 365 263:1,0,0,False,H-659 +407-845-140-740-233-240-798-365-263+;H-779 +000-000-740-233-240+;H-246 +400-804-000-233-240+;M-1720 +679-740-233-240+
772,4,4,4,False,002 900 003,002 900 003:1;060 415 056:1;803:1;<END>:1,0,0,False,M-958 +740-772-240-002-900-003-590+;H-14 +740-772-240-060-415-056+;M-705 +740-772-240-803+;M-1988 +740-772-240+
904,4,7,3,False,<END>,<END>:2;002 817:1;235:1,0,0,False,- +740-904-240-002-817+;H-697 +740-904-240-002-817+;H-1100 +740-904-240-002-817+;L-111 +740-904-240-235+;H-1897 +400-740-904-240+;- +740-904-240+;H-781 +740-904-240+
055,3,3,3,False,220 032 806,220 032 806:1;235 806 002:1;415 798 060:1,0,0,False,M-1265 +740-055-240-220-032-806+;M-29 +740-055-240-235-806-002-220-455-503+;H-386 +527-555-740-055-240-415-798-060-201+
630,3,3,3,False,031 032 171,031 032 171:1;741 861:1;<END>:1,0,0,False,H-2192 +740-630-240-031-032-171+;H-102 +740-630-240-741-861+;H-321 +740-690-630-240+
643,3,3,2,False,<END>,<END>:2;002 861:1,0,0,False,H-51 +740-643-240-002-861+;- +000-643-240+;M-1719 +740-643-240+
923,3,3,3,False,002 817,002 817:1;235 060 820:1;235 806:1,0,0,False,M-1166 +740-923-240-002-817+;M-1760 +740-923-240-235-060-820+;M-405 +740-923-240-235-806+
000,2,2,1,True,<END>,<END>:2,1,1,False,M-1231 +740-000-240+;M-477 +840-000-000-240+
455,2,2,2,False,235,235:1;235 060 820:1,0,0,False,M-1096 +740-455-240-235+;M-808 +740-455-240-235-060-820+
637,2,2,2,False,002 861,002 861:1;<END>:1,0,0,False,- +740-637-240-002-861+;H-983 +400-740-637-240+
773,2,2,2,False,002 861 031,002 861 031:1;235 060 692:1,0,0,False,M-706 +740-773-240-002-861-031+;M-5 +740-773-240-235-060-692+
798,2,2,2,False,060 111 166,060 111 166:1;235 002 220:1,0,0,False,L-26 +740-798-240-060-111-166+;M-46 +740-798-240-235-002-220-065-215+
152,1,1,1,True,<END>,<END>:1,0,0,False,H-2189 +400-740-152-240+
235,1,1,1,True,<END>,<END>:1,0,0,False,H-954 +090-740-235-240+
440,1,1,1,True,001 820,001 820:1,0,0,False,H-411 +740-440-240-001-820+
585,1,1,1,True,220 032 002,220 032 002:1,0,0,False,M-722 +740-585-240-220-032-002-817+
603,1,3,1,True,060 692,060 692:1,3,1,True,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;H-1137 +740-603-240-060-692+
639,1,1,1,True,002 435 255,002 435 255:1,0,0,False,H-598 +740-639-240-002-435-255-777+
760,1,3,1,True,<END>,<END>:1,0,0,False,H-2076 +740-760-240+;H-2077 +740-760-240+;H-903 +740-760-240+
765,1,1,1,True,001 368 920,001 368 920:1,0,0,False,M-84 +740-765-240-001-368-920+
806,1,1,1,True,002 820,002 820:1,0,0,False,L-83 +740-806-240-002-820+
835,1,1,1,True,235 031 900,235 031 900:1,0,0,False,C-40 +740-000-835-240-235-031-900-066+
927,1,1,1,True,031,031:1,0,0,False,M-951 +740-927-240-031+
