after_240_first3,rows,x_signs,prefixes,register_cells,formula_families,examples
<END>,33,636:8;100:4;904:3;760:3;233:3;176:2;643:2;000:2;152:1;630:1,740:25;690:5;000:3,18,23,C-51 +151-740-100-240+;- +740-904-240+;H-1895 +400-740-100-240+;H-1897 +400-740-904-240+;H-2076 +740-760-240+;H-2077 +740-760-240+;H-2200 +400-740-176-240+;H-2201 +400-740-176-240+
002 861,9,482:7;643:1;637:1,740:9,7,3,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-51 +740-643-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;- +740-637-240-002-861+;H-1130 +740-482-240-002-861+
060 692,7,603:3;642:2;636:2,740:7,3,3,H-1138 +740-603-240-060-692+;H-1845 +740-642-240-060-692+;H-1846 +740-603-240-060-692+;H-237 +740-642-240-060-692+;H-360 +740-636-240-060-692+;H-823 +740-636-240-060-692+;H-1137 +740-603-240-060-692+
002 817,5,904:3;176:1;923:1,740:5,2,3,- +740-904-240-002-817+;H-697 +740-904-240-002-817+;M-289 +740-176-240-002-817+;M-1166 +740-923-240-002-817+;H-1100 +740-904-240-002-817+
031 032 171,4,636:3;630:1,740:4,3,2,H-2192 +740-630-240-031-032-171+;H-301 +400-740-636-240-031-032-171+;H-905 +400-740-636-240-031-032-171+;H-988 +400-740-636-240-031-032-171+
001 692,2,642:2,740:2,1,1,H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+
031,2,100:1;927:1,740:2,2,2,M-1982 +740-100-240-031+;M-951 +740-927-240-031+
220 032 002,2,100:1;585:1,000:1;740:1,2,2,C-65 +000-100-240-220-032-002-861+;M-722 +740-585-240-220-032-002-817+
235,2,904:1;455:1,740:2,2,2,L-111 +740-904-240-235+;M-1096 +740-455-240-235+
235 060 820,2,923:1;455:1,740:2,2,2,M-1760 +740-923-240-235-060-820+;M-808 +740-455-240-235-060-820+
001 368 920,1,765:1,740:1,1,1,M-84 +740-765-240-001-368-920+
001 820,1,440:1,740:1,1,1,H-411 +740-440-240-001-820+
002 435 255,1,639:1,740:1,1,1,H-598 +740-639-240-002-435-255-777+
002 702 503,1,176:1,740:1,1,1,H-408 +740-176-240-002-702-503+
002 820,1,806:1,740:1,1,1,L-83 +740-806-240-002-820+
002 861 031,1,773:1,740:1,1,1,M-706 +740-773-240-002-861-031+
002 900 003,1,772:1,740:1,1,1,M-958 +740-772-240-002-900-003-590+
002 944 920,1,482:1,740:1,1,1,M-280 +740-482-240-002-944-920-140+
031 002 861,1,642:1,000:1,1,1,M-941 +000-642-240-031-002-861+
060 111 166,1,798:1,740:1,1,1,L-26 +740-798-240-060-111-166+
060 415 056,1,772:1,740:1,1,1,H-14 +740-772-240-060-415-056+
066 556,1,636:1,740:1,1,1,M-1879 +740-636-240-066-556+
204 705 621,1,642:1,740:1,1,1,H-206 +740-642-240-204-705-621+
220 032 806,1,055:1,740:1,1,1,M-1265 +740-055-240-220-032-806+
233 235 002,1,636:1,740:1,1,1,M-41 +740-636-240-233-235-002-405-125-820+
235 002 220,1,798:1,740:1,1,1,M-46 +740-798-240-235-002-220-065-215+
235 031 900,1,835:1,000:1,1,1,C-40 +740-000-835-240-235-031-900-066+
235 060 692,1,773:1,740:1,1,1,M-5 +740-773-240-235-060-692+
235 741 175,1,100:1,740:1,1,1,H-76 +740-100-240-235-741-175-132+
235 806,1,923:1,740:1,1,1,M-405 +740-923-240-235-806+
235 806 002,1,055:1,740:1,1,1,M-29 +740-055-240-235-806-002-220-455-503+
415 798 060,1,055:1,740:1,1,1,H-386 +527-555-740-055-240-415-798-060-201+
741 702 900,1,100:1,740:1,1,1,H-450 +740-100-240-741-702-900-003+
741 861,1,630:1,740:1,1,1,H-102 +740-630-240-741-861+
798 002 861,1,176:1,740:1,1,1,M-629 +679-740-176-240-798-002-861+
798 365 263,1,233:1,740:1,1,1,H-659 +407-845-140-740-233-240-798-365-263+
803,1,772:1,740:1,1,1,M-705 +740-772-240-803+
