iteration,max_score,top_sign,any_shape_pass
0,9,636,False
1,21,636,False
2,18,176,False
3,12,233,False
4,10,233,False
5,10,798,False
6,15,630,False
7,21,100,False
8,10,773,False
9,10,233,False
10,10,637,False
11,15,055,False
12,19,100,False
13,21,100,False
14,15,923,False
15,10,637,False
16,9,100,False
17,19,636,False
18,19,100,False
19,10,773,False
20,18,772,False
21,12,643,False
22,60,482,True
23,19,636,False
24,15,923,False
25,60,482,True
26,9,100,False
27,15,904,False
28,18,176,False
29,62,482,True
30,15,055,False
31,10,643,False
32,16,772,False
33,9,100,False
34,15,923,False
35,18,176,False
36,13,923,False
37,9,100,False
38,10,233,False
39,21,642,False
40,12,233,False
41,62,482,True
42,10,773,False
43,10,773,False
44,15,904,False
45,16,176,False
46,16,176,False
47,19,642,False
48,15,630,False
49,19,100,False
50,9,100,False
51,9,100,False
52,9,100,False
53,12,233,False
54,13,904,False
55,18,772,False
56,62,482,True
57,62,482,True
58,15,630,False
59,21,100,False
60,15,055,False
61,10,455,False
62,18,772,False
63,9,100,False
64,10,455,False
65,15,923,False
66,16,176,False
67,9,100,False
68,10,455,False
69,13,055,False
70,10,455,False
71,10,773,False
72,13,923,False
73,10,773,False
74,60,482,True
75,21,636,False
76,15,630,False
77,18,176,False
78,10,637,False
79,18,176,False
80,19,100,False
81,15,904,False
82,62,482,True
83,9,100,False
84,18,772,False
85,19,100,False
86,19,100,False
87,19,100,False
88,62,482,True
89,16,176,False
90,21,642,False
91,10,637,False
92,12,233,False
93,9,100,False
94,9,100,False
95,15,630,False
96,9,100,False
97,19,636,False
98,19,636,False
99,21,642,False
100,13,923,False
101,15,055,False
102,12,643,False
103,13,904,False
104,10,773,False
105,16,176,False
106,18,772,False
107,62,482,True
108,18,176,False
109,10,455,False
110,62,482,True
111,10,798,False
112,12,643,False
113,15,904,False
114,10,643,False
115,10,773,False
116,18,772,False
117,21,636,False
118,9,636,False
119,13,630,False
120,9,100,False
121,9,100,False
122,13,904,False
123,13,630,False
124,9,100,False
125,13,904,False
126,15,630,False
127,16,772,False
128,16,772,False
129,16,772,False
130,9,636,False
131,10,798,False
132,15,923,False
133,19,642,False
134,10,798,False
135,21,642,False
136,19,100,False
137,9,100,False
138,19,636,False
139,18,772,False
140,9,100,False
141,10,643,False
142,18,176,False
143,10,643,False
144,16,772,False
145,10,798,False
146,18,772,False
147,16,772,False
148,16,772,False
149,19,642,False
150,21,642,False
151,10,773,False
152,18,176,False
153,9,100,False
154,9,636,False
155,16,176,False
156,18,772,False
157,10,773,False
158,21,100,False
159,62,482,True
160,10,773,False
161,15,904,False
162,10,773,False
163,9,100,False
164,13,055,False
165,18,772,False
166,15,923,False
167,62,482,True
168,9,100,False
169,10,233,False
170,18,772,False
171,9,100,False
172,21,100,False
173,9,100,False
174,15,630,False
175,13,055,False
176,62,482,True
177,10,773,False
178,9,100,False
179,15,630,False
180,10,455,False
181,15,923,False
182,18,176,False
183,13,055,False
184,13,904,False
185,12,233,False
186,13,904,False
187,9,100,False
188,13,630,False
189,10,455,False
190,15,904,False
191,9,100,False
192,9,100,False
193,10,773,False
194,21,100,False
195,15,904,False
196,10,798,False
197,10,643,False
198,60,482,True
199,21,642,False
200,18,176,False
201,10,455,False
202,16,772,False
203,9,636,False
204,13,923,False
205,10,637,False
206,62,482,True
207,16,176,False
208,10,233,False
209,19,100,False
210,18,176,False
211,10,798,False
212,21,636,False
213,12,643,False
214,15,055,False
215,19,100,False
216,13,923,False
217,13,630,False
218,10,773,False
219,60,482,True
220,16,176,False
221,21,636,False
222,19,636,False
223,19,642,False
224,19,100,False
225,16,772,False
226,21,642,False
227,16,772,False
228,10,798,False
229,21,636,False
230,21,642,False
231,15,923,False
232,13,904,False
233,62,482,True
234,62,482,True
235,18,772,False
236,10,637,False
237,18,772,False
238,10,637,False
239,10,637,False
240,12,233,False
241,16,772,False
242,15,630,False
243,16,176,False
244,21,100,False
245,13,923,False
246,15,904,False
247,9,100,False
248,10,455,False
249,60,482,True
