checked_date,branch,predicted_class,all_002_h_x_rows,target_390_rows,non390_rows,non390_hits,non390_hit_share,non390_heads,non390_terminal,non390_continuing,decision,examples
2026-05-31,125,open_continue,11,4,7,5,0.714286,610:2;190:1;405:1;407:1;861:1;906:1,2,5,mixed_cross_head_evidence,H-55:+390-004-002-861-125+ | H-74:+002-610-125-032+ | M-1692:+390-600-617-002-190-125-632-032+ | M-1665:+520-033-705-233-240-002-610-125-032+ | M-41:+740-636-240-233-235-002-405-125-820+ | M-354:+740-729-407-845-236-002-906-125+ | M-2055:+002-407-125-590-831+
2026-05-31,530,open_continue,4,1,3,3,1.000000,296:1;299:1;705:1,0,3,supports_portable_slot_polarity,C-57:+740-032-840-002-296-530-000+ | M-623:+740-760-175-176-220-415-798-002-299-530-820+ | -:4182.1:+740-390-590-231-002-705-530-904+
2026-05-31,590,open_continue,7,1,6,3,0.500000,125:1;368:1;392:1;540:1;705:1;798:1,3,3,damages_portable_slot_polarity,H-464:+000-176-002-798-590-032+ | H-611:+527-550-002-125-590+ | Lh-1:+740-760-615-104-717-235-002-392-590-125+ | L-112:+740-760-605-002-540-590+ | M-248:+740-100-415-002-705-590+ | ?-3:+002-368-590-900+
2026-05-31,072,close_terminal,2,1,1,1,1.000000,308:1,1,0,weak_support_singleton_or_pair,B-17:+236-002-308-072+
2026-05-31,095,close_terminal,3,2,1,1,1.000000,812:1,1,0,weak_support_singleton_or_pair,L-1:+527-550-233-002-812-095+
2026-05-31,140,close_terminal,3,1,2,2,1.000000,287:1;906:1,2,0,weak_support_singleton_or_pair,M-24:+090-740-240-235-002-906-140+ | M-109:+740-879-220-415-002-287-140+
2026-05-31,346,close_terminal,2,1,1,1,1.000000,904:1,1,0,weak_support_singleton_or_pair,M-1319:]798-806-002-904-346+
2026-05-31,692,close_terminal,3,1,2,1,0.500000,252:1;455:1,1,1,mixed_cross_head_evidence,L-5:+740-760-552/000-002-455-692-416+ | M-1901:+151-061/156-002-252-692+
2026-05-31,705,close_terminal,5,2,3,2,0.666667,033:1;320:1;940:1,2,1,mixed_cross_head_evidence,H-468:+740-900-003-002-940-705+ | M-1668:+740-773-233-803-002-320-705-125+ | M-1155:+740-760-335-002-033-705+
2026-05-31,707,close_terminal,1,1,0,0,0.000000,,0,0,no_cross_head_evidence,
