checked_date,branch,branch_class,frame_rows,frame_terminal,frame_continuing,global_nonframe_occurrences,global_nonframe_terminal,global_nonframe_terminal_share,top_nonframe_next1_share,frame_exact_tail_rows_reused,frame_first_tail_rows_reused,tail_ecology_result,top_nonframe_next1,top_nonframe_next2,all_sites,frame_objects
2026-05-31,072,close_terminal,1,1,0,13,4,0.307692,0.307692,1,1,exact_tail_reused_elsewhere,<END>:4;921:3;002:2;170:1;219:1;233:1;255:1,<END>:4;002 270:1;002 817:1;170 740:1;219:1;233 740:1;255:1;921:1,Mohenjo-daro:8;Harappa:4;Allahdino:1;Banawali:1,H-68:<END>
2026-05-31,095,close_terminal,2,2,0,20,6,0.300000,0.300000,2,2,exact_tail_reused_elsewhere,<END>:6;000:3;585:3;033:2;031:1;550:1;717:1;741:1,<END>:6;000:3;585 017:3;031 740:1;033 705:1;033 706:1;550 003:1;717 747:1,Mohenjo-daro:11;Harappa:4;Dholavira:2;Chanhu-daro:1;Kot-Diji:1;Lothal:1;Sibri:1;Tepe Yahya:1,H-1993:<END>;M-71:<END>
2026-05-31,125,open_continue,4,0,4,52,15,0.288462,0.288462,2,3,partial_global_tail_match,<END>:15;032:3;000:2;001:2;002:2;176:2;413:2;575:2,<END>:15;000:2;002 861:2;032:2;176:2;413:2;575:2;632 032:2,Mohenjo-daro:28;Harappa:13;Dholavira:4;Allahdino:1;Bala-kot:1;Chanhu-daro:1;Ganweriwala:1;Gola Dhoro (Bagasra):1,M-38:632 032;M-119:632 032 900 563;M-735:195;Sktd-1:820
2026-05-31,140,close_terminal,1,1,0,101,41,0.405941,0.405941,1,1,exact_tail_reused_elsewhere,<END>:41;002:9;000:7;003:5;740:4;220:3;015:2;032:2,<END>:41;000:6;002:3;002 741:2;003:2;003 002:2;032:2;545:2,Mohenjo-daro:63;Harappa:22;Lothal:6;Chanhu-daro:4;Kalibangan:4;Dholavira:1;Gola Dhoro (Bagasra):1;Unknown:1,M-708:<END>
2026-05-31,346,close_terminal,1,1,0,5,3,0.600000,0.600000,1,1,exact_tail_reused_elsewhere,<END>:3;510:1;706:1,<END>:3;510:1;706:1,Mohenjo-daro:4;Khirsara:1;Lothal:1,M-213:<END>
2026-05-31,530,open_continue,1,0,1,17,5,0.294118,0.294118,1,1,exact_tail_reused_elsewhere,<END>:5;000:4;820:2;323:1;740:1;741:1;742:1;786:1,<END>:5;000:2;820:2;000 000:1;000 003:1;323 316:1;740 741:1;741:1,Harappa:8;Mohenjo-daro:6;Chanhu-daro:2;Dholavira:1;Kalibangan:1,H-773:741
2026-05-31,590,open_continue,1,0,1,168,40,0.238095,0.238095,1,1,exact_tail_reused_elsewhere,<END>:40;032:16;220:10;002:9;235:8;741:8;000:7;033:5,<END>:40;000:5;220 003:5;002 817:3;002 861:3;032:3;032 002:3;235:3,Mohenjo-daro:72;Harappa:60;Dholavira:12;Lothal:10;Kalibangan:3;Chanhu-daro:2;Unknown:2;Desalpur:1,-:3335.1:032
2026-05-31,692,close_terminal,1,1,0,67,49,0.731343,0.731343,1,1,exact_tail_reused_elsewhere,<END>:49;740:3;000:2;520:2;001:1;003:1;032:1;401:1,<END>:49;520 220:2;740 690:2;000:1;000 220:1;001 542:1;003 700:1;032 002:1,Mohenjo-daro:35;Harappa:27;Lothal:3;Banawali:1;Chanhu-daro:1;Nausharo:1,M-70:<END>
2026-05-31,705,close_terminal,2,2,0,163,36,0.220859,0.220859,2,2,exact_tail_reused_elsewhere,<END>:36;233:18;000:13;002:11;235:11;240:9;220:7;231:7,<END>:36;000:8;233 235:7;002 861:4;235:4;240:4;220 415:3;233:3,Mohenjo-daro:91;Harappa:44;Dholavira:12;Lothal:6;Chanhu-daro:4;Chandigarh:2;Allahdino:1;Juna Khatiya:1,M-1825:<END>;-:4237.1:<END>
2026-05-31,707,close_terminal,1,1,0,0,0,NA,NA,0,0,no_global_successor_pool,,,Mohenjo-daro:1,M-232:<END>
