scope,prev1_before_032,y_after_002,rows,frame_kinds,sites,example_cisi
strict_complete_closed,220,861,6,non240_a_220_032;target_240_220_032,Harappa;Mohenjo-daro,H-444;M-1763;M-91;M-240;M-723;M-1044
strict_complete_closed,220,820,5,non240_a_220_032;target_240_220_032,Kalibangan;Mohenjo-daro,M-1728;M-174;M-221;M-375;K-145
strict_complete_closed,070,861,2,outside_032,Harappa,H-597;H-597
strict_complete_closed,220,817,2,non240_a_220_032;target_240_220_032,Chanhu-daro;Mohenjo-daro,C-10;M-722
strict_complete_closed,760,817,2,outside_032,Mohenjo-daro,M-1385;M-1385
strict_complete_closed,176,861,1,outside_032,Chanhu-daro,C-60
strict_complete_closed,205,252,1,outside_032,Mohenjo-daro,M-143
strict_complete_closed,205,390,1,outside_032,Unknown,-
strict_complete_closed,220,142,1,non240_a_220_032,Mohenjo-daro,M-1686
strict_complete_closed,220,144,1,non240_a_220_032,Mohenjo-daro,M-130
strict_complete_closed,220,168,1,non240_a_220_032,Mohenjo-daro,M-1159
strict_complete_closed,220,300,1,target_240_220_032,Mohenjo-daro,M-49
strict_complete_closed,220,368,1,non240_a_220_032,Mohenjo-daro,M-36
strict_complete_closed,220,690,1,non240_a_220_032,Harappa,H-1657
strict_complete_closed,220,717,1,non240_a_220_032,Mohenjo-daro,M-1667
strict_complete_closed,226,390,1,outside_032,Mohenjo-daro,M-70
strict_complete_closed,382,820,1,outside_032,Mohenjo-daro,M-1677
strict_complete_closed,384,817,1,outside_032,Harappa,H-140
strict_complete_closed,394,892,1,outside_032,Desalpur,Dlp-3
strict_complete_closed,692,861,1,outside_032,Mohenjo-daro,M-21
strict_complete_closed,921,820,1,outside_032,Mohenjo-daro,M-1737
strict_complete_closed,<START>,900,1,outside_032,Mohenjo-daro,M-1358
strict_complete_closed_dedup_text_site_type,220,861,6,non240_a_220_032;target_240_220_032,Harappa;Mohenjo-daro,H-444;M-1763;M-91;M-240;M-723;M-1044
strict_complete_closed_dedup_text_site_type,220,820,5,non240_a_220_032;target_240_220_032,Kalibangan;Mohenjo-daro,M-1728;M-174;M-221;M-375;K-145
strict_complete_closed_dedup_text_site_type,220,817,2,non240_a_220_032;target_240_220_032,Chanhu-daro;Mohenjo-daro,C-10;M-722
strict_complete_closed_dedup_text_site_type,070,861,1,outside_032,Harappa,H-597
strict_complete_closed_dedup_text_site_type,176,861,1,outside_032,Chanhu-daro,C-60
strict_complete_closed_dedup_text_site_type,205,252,1,outside_032,Mohenjo-daro,M-143
strict_complete_closed_dedup_text_site_type,205,390,1,outside_032,Unknown,-
strict_complete_closed_dedup_text_site_type,220,142,1,non240_a_220_032,Mohenjo-daro,M-1686
strict_complete_closed_dedup_text_site_type,220,144,1,non240_a_220_032,Mohenjo-daro,M-130
strict_complete_closed_dedup_text_site_type,220,168,1,non240_a_220_032,Mohenjo-daro,M-1159
strict_complete_closed_dedup_text_site_type,220,300,1,target_240_220_032,Mohenjo-daro,M-49
strict_complete_closed_dedup_text_site_type,220,368,1,non240_a_220_032,Mohenjo-daro,M-36
strict_complete_closed_dedup_text_site_type,220,690,1,non240_a_220_032,Harappa,H-1657
strict_complete_closed_dedup_text_site_type,220,717,1,non240_a_220_032,Mohenjo-daro,M-1667
strict_complete_closed_dedup_text_site_type,226,390,1,outside_032,Mohenjo-daro,M-70
strict_complete_closed_dedup_text_site_type,382,820,1,outside_032,Mohenjo-daro,M-1677
strict_complete_closed_dedup_text_site_type,384,817,1,outside_032,Harappa,H-140
strict_complete_closed_dedup_text_site_type,394,892,1,outside_032,Desalpur,Dlp-3
strict_complete_closed_dedup_text_site_type,692,861,1,outside_032,Mohenjo-daro,M-21
strict_complete_closed_dedup_text_site_type,760,817,1,outside_032,Mohenjo-daro,M-1385
strict_complete_closed_dedup_text_site_type,921,820,1,outside_032,Mohenjo-daro,M-1737
strict_complete_closed_dedup_text_site_type,<START>,900,1,outside_032,Mohenjo-daro,M-1358
