scope,frame_kind,y_after_002,rows,terminal_rows,continuing_rows,sites,types,example_cisi
all_adjacent_032_002,non240_a_220_032,000,1,0,1,Mohenjo-daro,SEAL:S,M-636
all_adjacent_032_002,non240_a_220_032,142,1,1,0,Mohenjo-daro,SEAL:S,M-1686
all_adjacent_032_002,non240_a_220_032,144,1,1,0,Mohenjo-daro,SEAL:S,M-130
all_adjacent_032_002,non240_a_220_032,168,1,0,1,Mohenjo-daro,SEAL:S,M-1159
all_adjacent_032_002,non240_a_220_032,368,1,0,1,Mohenjo-daro,SEAL:S,M-36
all_adjacent_032_002,non240_a_220_032,690,1,0,1,Harappa,SEAL:S,H-1657
all_adjacent_032_002,non240_a_220_032,717,1,0,1,Mohenjo-daro,SEAL:S,M-1667
all_adjacent_032_002,non240_a_220_032,817,4,4,0,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:R;SEAL:S,C-10;H-640;M-720;M-1788
all_adjacent_032_002,non240_a_220_032,820,5,5,0,Harappa;Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,H-18;M-174;M-221;M-375;K-145
all_adjacent_032_002,non240_a_220_032,861,5,4,1,Harappa;Mohenjo-daro,SEAL:S,H-444;M-1763;M-91;M-723;M-1044
all_adjacent_032_002,outside_032,000,3,3,0,Harappa;Lothal,SEAL:S;TAG,L-196;L-198;H-1037
all_adjacent_032_002,outside_032,252,1,0,1,Mohenjo-daro,SEAL:S,M-143
all_adjacent_032_002,outside_032,390,2,0,2,Mohenjo-daro;Unknown,SEAL:S,M-70;-
all_adjacent_032_002,outside_032,415,1,1,0,Lothal,SEAL:S,L-15
all_adjacent_032_002,outside_032,454,1,1,0,Mohenjo-daro,SEAL:R,M-367
all_adjacent_032_002,outside_032,817,4,4,0,Harappa;Mohenjo-daro,SEAL:R;TAG:P,H-140;M-1385;M-1385;M-1385
all_adjacent_032_002,outside_032,820,5,3,2,Harappa;Mohenjo-daro,SEAL:S,H-1681;H-507;M-1737;M-1677;M-1045
all_adjacent_032_002,outside_032,861,4,4,0,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,C-60;H-597;H-597;M-21
all_adjacent_032_002,outside_032,880,1,1,0,Lothal,TAG,L-139
all_adjacent_032_002,outside_032,892,1,0,1,Desalpur,TAG,Dlp-3
all_adjacent_032_002,outside_032,900,1,0,1,Mohenjo-daro,SEAL:R,M-1358
all_adjacent_032_002,target_240_220_032,300,1,0,1,Mohenjo-daro,SEAL:S,M-49
all_adjacent_032_002,target_240_220_032,817,1,1,0,Mohenjo-daro,SEAL:S,M-722
all_adjacent_032_002,target_240_220_032,820,1,1,0,Mohenjo-daro,SEAL:S,M-1728
all_adjacent_032_002,target_240_220_032,861,2,1,1,Chanhu-daro;Mohenjo-daro,SEAL:S,C-65;M-240
strict_complete_closed,non240_a_220_032,142,1,1,0,Mohenjo-daro,SEAL:S,M-1686
strict_complete_closed,non240_a_220_032,144,1,1,0,Mohenjo-daro,SEAL:S,M-130
strict_complete_closed,non240_a_220_032,168,1,0,1,Mohenjo-daro,SEAL:S,M-1159
strict_complete_closed,non240_a_220_032,368,1,0,1,Mohenjo-daro,SEAL:S,M-36
strict_complete_closed,non240_a_220_032,690,1,0,1,Harappa,SEAL:S,H-1657
strict_complete_closed,non240_a_220_032,717,1,0,1,Mohenjo-daro,SEAL:S,M-1667
strict_complete_closed,non240_a_220_032,817,1,1,0,Chanhu-daro,SEAL:S,C-10
strict_complete_closed,non240_a_220_032,820,4,4,0,Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,M-174;M-221;M-375;K-145
strict_complete_closed,non240_a_220_032,861,5,4,1,Harappa;Mohenjo-daro,SEAL:S,H-444;M-1763;M-91;M-723;M-1044
strict_complete_closed,outside_032,252,1,0,1,Mohenjo-daro,SEAL:S,M-143
strict_complete_closed,outside_032,390,2,0,2,Mohenjo-daro;Unknown,SEAL:S,M-70;-
strict_complete_closed,outside_032,817,3,3,0,Harappa;Mohenjo-daro,SEAL:R;TAG:P,H-140;M-1385;M-1385
strict_complete_closed,outside_032,820,2,1,1,Mohenjo-daro,SEAL:S,M-1737;M-1677
strict_complete_closed,outside_032,861,4,4,0,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,C-60;H-597;H-597;M-21
strict_complete_closed,outside_032,892,1,0,1,Desalpur,TAG,Dlp-3
strict_complete_closed,outside_032,900,1,0,1,Mohenjo-daro,SEAL:R,M-1358
strict_complete_closed,target_240_220_032,300,1,0,1,Mohenjo-daro,SEAL:S,M-49
strict_complete_closed,target_240_220_032,817,1,1,0,Mohenjo-daro,SEAL:S,M-722
strict_complete_closed,target_240_220_032,820,1,1,0,Mohenjo-daro,SEAL:S,M-1728
strict_complete_closed,target_240_220_032,861,1,0,1,Mohenjo-daro,SEAL:S,M-240
strict_complete_closed_dedup_text_site_type,non240_a_220_032,142,1,1,0,Mohenjo-daro,SEAL:S,M-1686
strict_complete_closed_dedup_text_site_type,non240_a_220_032,144,1,1,0,Mohenjo-daro,SEAL:S,M-130
strict_complete_closed_dedup_text_site_type,non240_a_220_032,168,1,0,1,Mohenjo-daro,SEAL:S,M-1159
strict_complete_closed_dedup_text_site_type,non240_a_220_032,368,1,0,1,Mohenjo-daro,SEAL:S,M-36
strict_complete_closed_dedup_text_site_type,non240_a_220_032,690,1,0,1,Harappa,SEAL:S,H-1657
strict_complete_closed_dedup_text_site_type,non240_a_220_032,717,1,0,1,Mohenjo-daro,SEAL:S,M-1667
strict_complete_closed_dedup_text_site_type,non240_a_220_032,817,1,1,0,Chanhu-daro,SEAL:S,C-10
strict_complete_closed_dedup_text_site_type,non240_a_220_032,820,4,4,0,Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,M-174;M-221;M-375;K-145
strict_complete_closed_dedup_text_site_type,non240_a_220_032,861,5,4,1,Harappa;Mohenjo-daro,SEAL:S,H-444;M-1763;M-91;M-723;M-1044
strict_complete_closed_dedup_text_site_type,outside_032,252,1,0,1,Mohenjo-daro,SEAL:S,M-143
strict_complete_closed_dedup_text_site_type,outside_032,390,2,0,2,Mohenjo-daro;Unknown,SEAL:S,M-70;-
strict_complete_closed_dedup_text_site_type,outside_032,817,2,2,0,Harappa;Mohenjo-daro,SEAL:R;TAG:P,H-140;M-1385
strict_complete_closed_dedup_text_site_type,outside_032,820,2,1,1,Mohenjo-daro,SEAL:S,M-1737;M-1677
strict_complete_closed_dedup_text_site_type,outside_032,861,3,3,0,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,C-60;H-597;M-21
strict_complete_closed_dedup_text_site_type,outside_032,892,1,0,1,Desalpur,TAG,Dlp-3
strict_complete_closed_dedup_text_site_type,outside_032,900,1,0,1,Mohenjo-daro,SEAL:R,M-1358
strict_complete_closed_dedup_text_site_type,target_240_220_032,300,1,0,1,Mohenjo-daro,SEAL:S,M-49
strict_complete_closed_dedup_text_site_type,target_240_220_032,817,1,1,0,Mohenjo-daro,SEAL:S,M-722
strict_complete_closed_dedup_text_site_type,target_240_220_032,820,1,1,0,Mohenjo-daro,SEAL:S,M-1728
strict_complete_closed_dedup_text_site_type,target_240_220_032,861,1,0,1,Mohenjo-daro,SEAL:S,M-240
