id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,text_dedup_key,strict_complete_closed,idx_002,prev1_before_002,prev2_before_002,y_after_002,next1_after_y,next2_after_y,post_y_len,y_terminal,continuation_class,context_scope
13.1,Ad-8,Allahdino,Lower Indus,MISC,Clay,square,Elep,SAN,Fair,N,R/L,??,+740-440-503-002-861-000+,740 440 503 002 861 000,false,3,503,440,861,000,<END>,1,false,one_token_continuation,other_after_002
18.1,-,Bakkar Buthi,Lower Indus,POT:T:g,Clay,-,None,None,Poor,Y,R/L,IM,+405-844-032-840-002-861+,405 844 032 840 002 861,true,4,840,032,861,<END>,<END>,0,true,terminal,other_after_002
19.1,Blk-1,Bala-kot,Lower Indus,SEAL:S,-,square,Bull1,-,Poor,Y,R/L,LC,+226-003-002-297-350-125-413+,226 003 002 297 350 125 413,true,2,003,226,297,350,125,3,false,multi_token_continuation,other_after_002
20.1,Blk-2,Bala-kot,Lower Indus,SEAL:S,-,square,Bull1,R,Poor,Y,R/L,LC,+390-717-061-002-368-634+,390 717 061 002 368 634,true,3,061,717,368,634,<END>,1,false,one_token_continuation,other_after_002
27.1,B-1,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Bull1:O,HAF,Fair,Y,R/L,LP,+090-740-220-002-368-550-821+,090 740 220 002 368 550 821,true,3,220,740,368,550,821,2,false,multi_token_continuation,other_after_002
30.1,B-5,Banawali,Eastern Headwaters,SEAL:S,-,square,Bull3,None,Fair,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
31.1,B-7,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Buff,None,Fair,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
36.1,B-15,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Rhin,None,Good,Y,R/L,SS,+002-817+,002 817,true,0,<START>,<START>,817,<END>,<END>,0,true,terminal,other_after_002
37.1,B-17,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Htgr,HBF,Fair,Y,R/L,SC,+236-002-308-072+,236 002 308 072,true,1,236,<START>,308,072,<END>,1,false,one_token_continuation,other_after_002
38.1,B-18,Banawali,Eastern Headwaters,SEAL:S,-,square,-,-,Poor,N,R/L,??,]000-002-861+,000 002 861,false,1,000,<START>,861,<END>,<END>,0,true,terminal,other_after_002
