scope,y_after_002,y_class,tail_next1,rows
all_002_strict_dedup,861,leaky_closure,603,3
all_002_strict_dedup,861,leaky_closure,533,2
all_002_strict_dedup,861,leaky_closure,416,1
all_002_strict_dedup,861,leaky_closure,125,1
all_002_strict_dedup,861,leaky_closure,244,1
all_002_strict_dedup,861,leaky_closure,216,1
all_002_strict_dedup,861,leaky_closure,831,1
all_002_strict_dedup,861,leaky_closure,791,1
all_002_strict_dedup,861,leaky_closure,626,1
all_002_strict_dedup,861,leaky_closure,392,1
all_002_strict_dedup,861,leaky_closure,683,1
all_002_strict_dedup,861,leaky_closure,096,1
all_002_strict_dedup,861,leaky_closure,032,1
all_002_strict_dedup,861,leaky_closure,832,1
all_002_strict_dedup,861,leaky_closure,036,1
all_002_strict_dedup,861,leaky_closure,255,1
all_002_strict_dedup,861,leaky_closure,698,1
all_002_strict_dedup,861,leaky_closure,360,1
all_002_strict_dedup,861,leaky_closure,901,1
all_002_strict_dedup,861,leaky_closure,031,1
all_002_strict_dedup,861,leaky_closure,803,1
all_002_strict_dedup,390,branch_head,125,4
all_002_strict_dedup,390,branch_head,705,2
all_002_strict_dedup,390,branch_head,072,1
all_002_strict_dedup,390,branch_head,530,1
all_002_strict_dedup,390,branch_head,692,1
all_002_strict_dedup,390,branch_head,095,1
all_002_strict_dedup,390,branch_head,346,1
all_002_strict_dedup,390,branch_head,707,1
all_002_strict_dedup,390,branch_head,140,1
all_002_strict_dedup,390,branch_head,590,1
all_002_strict_dedup,368,branch_head,260,2
all_002_strict_dedup,368,branch_head,634,1
all_002_strict_dedup,368,branch_head,550,1
all_002_strict_dedup,368,branch_head,861,1
all_002_strict_dedup,368,branch_head,202,1
all_002_strict_dedup,368,branch_head,906,1
all_002_strict_dedup,368,branch_head,119,1
all_002_strict_dedup,368,branch_head,518,1
all_002_strict_dedup,368,branch_head,165,1
all_002_strict_dedup,368,branch_head,590,1
all_002_strict_dedup,031,branch_head,892,2
all_002_strict_dedup,031,branch_head,480,1
all_002_strict_dedup,031,branch_head,165,1
all_002_strict_dedup,031,branch_head,575,1
all_002_strict_dedup,031,branch_head,502,1
all_002_strict_dedup,031,branch_head,350,1
all_002_strict_dedup,031,branch_head,376,1
all_002_strict_dedup,031,branch_head,104,1
all_002_strict_dedup,220,branch_head,455,4
all_002_strict_dedup,220,branch_head,065,3
all_002_strict_dedup,220,branch_head,880,1
all_002_strict_dedup,220,branch_head,627,1
all_002_strict_dedup,820,leaky_closure,741,2
all_002_strict_dedup,820,leaky_closure,033,1
all_002_strict_dedup,820,leaky_closure,001,1
all_002_strict_dedup,820,leaky_closure,700,1
all_002_strict_dedup,297,other,350,2
all_002_strict_dedup,297,other,190,1
all_002_strict_dedup,297,other,416,1
all_002_strict_dedup,405,other,321,1
all_002_strict_dedup,405,other,501,1
all_002_strict_dedup,405,other,372,1
all_002_strict_dedup,405,other,125,1
all_002_strict_dedup,595,other,812,1
all_002_strict_dedup,595,other,504,1
all_002_strict_dedup,595,other,906,1
all_002_strict_dedup,595,other,342,1
all_002_strict_dedup,900,branch_head,615,1
all_002_strict_dedup,900,branch_head,003,1
all_002_strict_dedup,900,branch_head,285,1
all_002_strict_dedup,900,branch_head,630,1
all_002_strict_dedup,298,other,741,2
all_002_strict_dedup,298,other,460,1
all_002_strict_dedup,365,other,287,1
all_002_strict_dedup,365,other,460,1
all_002_strict_dedup,365,other,550,1
all_002_strict_dedup,374,other,309,1
all_002_strict_dedup,374,other,228,1
all_002_strict_dedup,374,other,840,1
all_002_strict_dedup,705,other,590,1
all_002_strict_dedup,705,other,127,1
all_002_strict_dedup,705,other,530,1
all_002_strict_dedup,817,hard_closure,808,1
all_002_strict_dedup,817,hard_closure,090,1
all_002_strict_dedup,817,hard_closure,690,1
all_002_strict_dedup,920,other,317,2
all_002_strict_dedup,920,other,491,1
all_002_strict_dedup,055,other,373,1
all_002_strict_dedup,055,other,031,1
all_002_strict_dedup,125,other,590,1
all_002_strict_dedup,125,other,350,1
all_002_strict_dedup,190,other,125,1
all_002_strict_dedup,190,other,751,1
all_002_strict_dedup,252,other,575,1
all_002_strict_dedup,252,other,840,1
all_002_strict_dedup,301,other,190,1
all_002_strict_dedup,301,other,350,1
all_002_strict_dedup,388,other,385,1
all_002_strict_dedup,388,other,031,1
all_002_strict_dedup,455,other,420,1
all_002_strict_dedup,455,other,511,1
all_002_strict_dedup,502,other,031,2
all_002_strict_dedup,610,other,125,2
all_002_strict_dedup,690,other,921,2
all_002_strict_dedup,741,other,060,2
all_002_strict_dedup,798,other,055,1
all_002_strict_dedup,798,other,435,1
all_002_strict_dedup,812,other,095,1
all_002_strict_dedup,812,other,031,1
all_002_strict_dedup,814,other,560,1
all_002_strict_dedup,814,other,084,1
all_002_strict_dedup,840,other,032,1
all_002_strict_dedup,840,other,016,1
all_002_strict_dedup,850,other,493,1
all_002_strict_dedup,850,other,491,1
all_002_strict_dedup,906,other,140,1
all_002_strict_dedup,906,other,125,1
all_002_strict_dedup,940,other,705,1
all_002_strict_dedup,940,other,260,1
all_002_strict_dedup,001,other,250,1
all_002_strict_dedup,004,other,328,1
all_002_strict_dedup,033,other,705,1
all_002_strict_dedup,056,other,091,1
all_002_strict_dedup,093,other,033,1
all_002_strict_dedup,111,other,165,1
all_002_strict_dedup,130,other,035,1
all_002_strict_dedup,156,other,920,1
all_002_strict_dedup,168,other,032,1
all_002_strict_dedup,172,other,032,1
