packet_role,scope,id,cisi,site,type,symbol,frame_kind,text,idx_002,y_after_002,y_class,tail_next1,tail_full,tail_len,tail_has_032,source_status,admissibility,token_box_status,source_page,source_crop,token_box_overlay,excavation_idno,route_next_action,route_required_checks,token_box_note
all_002_tail_family,all_002_strict_dedup,1899.1,K-25,Kalibangan,SEAL:S,Bull1,,+520-231-002-220-065-132-082+,2,220,branch_head,065,065 132 082,3,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2667.1,M-140,Mohenjo-daro,SEAL:S,Bull1:S,,+740-336-002-220-065-440-455+,2,220,branch_head,065,065 440 455,3,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2574.1,M-46,Mohenjo-daro,SEAL:S,Bull1:W,,+740-798-240-235-002-220-065-215+,4,220,branch_head,065,065 215,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,1293.1,H-268,Harappa,SEAL:S,Bull1:W,,+740-585-017-033-706-803-002-220-455-920+,6,220,branch_head,455,455 920,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,1139.1,H-82,Harappa,SEAL:S,Gaur,,+390-017-002-220-455-741+,2,220,branch_head,455,455 741,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2674.1,M-147,Mohenjo-daro,SEAL:S,Bull1:J,,+226-803-002-220-455-520+,2,220,branch_head,455,455 520,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2557.1,M-29,Mohenjo-daro,SEAL:S,Bull1:W,,+740-055-240-235-806-002-220-455-503+,5,220,branch_head,455,455 503,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,,+151-337-484-002-390-125-632-032-900-563+,3,390,branch_head,125,125 632 032 900 563,5,true,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,,+740-690-435-255-220-032-240-235-002-390-125-632-032+,8,390,branch_head,125,125 632 032,3,true,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,,+740-760-235-002-390-125-195+,3,390,branch_head,125,125 195,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,,+390-004-002-390-125-820+,2,390,branch_head,125,125 820,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,4237.1,-,Dholavira,SEAL:S,Bull1:I,,+151-032-388-002-390-705+,3,390,branch_head,705,705,1,false,no_object_id,blocked_until_object_id_resolved,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,3992.1,M-1825,Mohenjo-daro,SEAL:S,Bull1,,+157-031-002-390-705+,2,390,branch_head,705,705,1,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2872.1,M-376,Mohenjo-daro,SEAL:R,None,,+740-100-176-002-861-533-717+,3,861,leaky_closure,533,533 717,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2887.1,M-391,Mohenjo-daro,SEAL:R,None,,+405-845-686-740-793-003-233-805-002-861-533-717+,8,861,leaky_closure,533,533 717,2,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,,+740-055-002-861-603+,2,861,leaky_closure,603,603,1,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
all_002_tail_family,all_002_strict_dedup,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,,+520-240-220-032-002-861-603+,4,861,leaky_closure,603,603,1,false,local_source_reference_route,source_route_known_needs_image,none,,,,HR 4098324,resolve local excavation/source reference to plate or archive image,,
all_002_tail_family,all_002_strict_dedup,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,,+740-585-017-033-705-233-798-803-002-861-603+,8,861,leaky_closure,603,603,1,false,not_routed_in_current_packet,needs_source_route,none,,,,,,,
