"priority","dataset","category","y_after_002","y_terminal","post_y_string","tail_class","text","tail_string","id","ids","cisi","cisis","site","sites","type","types"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+000-220-032-002-817+","002-817",,"3989.1",,"M-1788",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+000-740-923-220-032-002-817+","002-817",,"3144.1",,"M-720",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+740-231-220-032-002-817+","002-817",,"98.1",,"C-10",,"Chanhu-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-100-233-220-032-002-820+","002-820",,"2871.1",,"M-375",,"Mohenjo-daro",,"SEAL:R"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-585-231-220-032-002-820+","002-820",,"5273.1",,"K-145",,"Kalibangan",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-760-335-220-032-002-820+","002-820",,"2745.1",,"M-221",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-923-220-032-002-820+","002-820",,"2699.1",,"M-174",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+241-220-032-002-861+","002-861",,"1434.1",,"H-444",,"Harappa",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+416-001-565-740-220-032-002-861+","002-861",,"2313.1",,"M-1763",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+520-220-032-002-861+","002-861",,"3421.1",,"M-1044",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","861","False","255-416","a_220_032_002_core_tail","+740-100-798-220-032-002-861-255-416+","002-861-255-416",,"2618.1",,"M-91",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","frame_text_dedup_unit","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+740-460-510-235-220-032-002-861+","002-861",,"3147.1",,"M-723",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+000-220-032-002-817+","002-817","3989.1",,"M-1788",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+000-740-923-220-032-002-817+","002-817","3144.1",,"M-720",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","817","True","<END>","a_220_032_002_core_tail","+740-231-220-032-002-817+","002-817","98.1",,"C-10",,"Chanhu-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-100-233-220-032-002-820+","002-820","2871.1",,"M-375",,"Mohenjo-daro",,"SEAL:R",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-585-231-220-032-002-820+","002-820","5273.1",,"K-145",,"Kalibangan",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-760-335-220-032-002-820+","002-820","2745.1",,"M-221",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","820","True","<END>","a_220_032_002_core_tail","+740-923-220-032-002-820+","002-820","2699.1",,"M-174",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+241-220-032-002-861+","002-861","1434.1",,"H-444",,"Harappa",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+416-001-565-740-220-032-002-861+","002-861","2313.1",,"M-1763",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+520-220-032-002-861+","002-861","3421.1",,"M-1044",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","861","False","255-416","a_220_032_002_core_tail","+740-100-798-220-032-002-861-255-416+","002-861-255-416","2618.1",,"M-91",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_core_tail","strict_occurrence","non240_a_220_032","861","True","<END>","a_220_032_002_core_tail","+740-460-510-235-220-032-002-861+","002-861","3147.1",,"M-723",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","000","False","216","a_220_032_002_other_tail","+527-555-235-220-032-002-000-216+","002-000-216",,"3085.1",,"M-636",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","142","True","<END>","a_220_032_002_other_tail","+740-904-220-032-002-142+","002-142",,"2381.1",,"M-1686",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","144","True","<END>","a_220_032_002_other_tail","+740-094-220-032-002-144+","002-144",,"2657.1",,"M-130",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","168","False","032","a_220_032_002_other_tail","+232-220-032-002-168-032+","002-168-032",,"3519.1",,"M-1159",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","368","False","906-329","a_220_032_002_other_tail","+740-794-630-220-032-002-368-906-329+","002-368-906-329",,"2564.1",,"M-36",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","690","False","921","a_220_032_002_other_tail","+740-405-590-032-900-003-806-235-220-032-002-690-921+","002-690-921",,"1020.1",,"H-1657",,"Harappa",,"SEAL:S"
"a_220_control_other_002_tail","frame_text_dedup_unit","non240_a_220_032","717","False","820","a_220_032_002_other_tail","+740-690-435-255-220-032-002-717-820+","002-717-820",,"2490.1",,"M-1667",,"Mohenjo-daro",,"SEAL:S"
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","000","False","216","a_220_032_002_other_tail","+527-555-235-220-032-002-000-216+","002-000-216","3085.1",,"M-636",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","142","True","<END>","a_220_032_002_other_tail","+740-904-220-032-002-142+","002-142","2381.1",,"M-1686",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","144","True","<END>","a_220_032_002_other_tail","+740-094-220-032-002-144+","002-144","2657.1",,"M-130",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","168","False","032","a_220_032_002_other_tail","+232-220-032-002-168-032+","002-168-032","3519.1",,"M-1159",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","368","False","906-329","a_220_032_002_other_tail","+740-794-630-220-032-002-368-906-329+","002-368-906-329","2564.1",,"M-36",,"Mohenjo-daro",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","690","False","921","a_220_032_002_other_tail","+740-405-590-032-900-003-806-235-220-032-002-690-921+","002-690-921","1020.1",,"H-1657",,"Harappa",,"SEAL:S",
"a_220_control_other_002_tail","strict_occurrence","non240_a_220_032","717","False","820","a_220_032_002_other_tail","+740-690-435-255-220-032-002-717-820+","002-717-820","2490.1",,"M-1667",,"Mohenjo-daro",,"SEAL:S",
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","817","True","<END>","outside_032_002_core_tail","+740-384-032-002-817+","002-817",,"1181.1",,"H-140",,"Harappa",,"SEAL:R"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","817","True","<END>","outside_032_002_core_tail","+740-760-032-002-817+","002-817",,"3681.1;3681.3",,"M-1385",,"Mohenjo-daro",,"TAG:P"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","820","False","001-440-012","outside_032_002_core_tail","+520-382-032-002-820-001-440-012+","002-820-001-440-012",,"2236.1",,"M-1677",,"Mohenjo-daro",,"SEAL:S"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","820","False","000","outside_032_002_core_tail","+740-100-415-070-032-002-820-000+","002-820-000",,"3422.1",,"M-1045",,"Mohenjo-daro",,"SEAL:S"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","820","True","<END>","outside_032_002_core_tail","+740-760-072-921-032-002-820+","002-820",,"2229.1",,"M-1737",,"Mohenjo-daro",,"SEAL:S"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+350-001-740-362-692-032-002-861+","002-861",,"2549.1",,"M-21",,"Mohenjo-daro",,"SEAL:S"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+740-176-032-002-861+","002-861",,"69.1",,"C-60",,"Chanhu-daro",,"SEAL:S"
"outside_core_tail_control","frame_text_dedup_unit","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+740-390-590-070-032-002-861+","002-861",,"1540.1;1540.2",,"H-597",,"Harappa",,"SEAL:S"
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","817","True","<END>","outside_032_002_core_tail","+740-384-032-002-817+","002-817","1181.1",,"H-140",,"Harappa",,"SEAL:R",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","817","True","<END>","outside_032_002_core_tail","+740-760-032-002-817+","002-817","3681.3",,"M-1385",,"Mohenjo-daro",,"TAG:P",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","820","False","001-440-012","outside_032_002_core_tail","+520-382-032-002-820-001-440-012+","002-820-001-440-012","2236.1",,"M-1677",,"Mohenjo-daro",,"SEAL:S",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","820","False","000","outside_032_002_core_tail","+740-100-415-070-032-002-820-000+","002-820-000","3422.1",,"M-1045",,"Mohenjo-daro",,"SEAL:S",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","820","True","<END>","outside_032_002_core_tail","+740-760-072-921-032-002-820+","002-820","2229.1",,"M-1737",,"Mohenjo-daro",,"SEAL:S",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+350-001-740-362-692-032-002-861+","002-861","2549.1",,"M-21",,"Mohenjo-daro",,"SEAL:S",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+740-176-032-002-861+","002-861","69.1",,"C-60",,"Chanhu-daro",,"SEAL:S",
"outside_core_tail_control","strict_occurrence","outside_a_220_x_032","861","True","<END>","outside_032_002_core_tail","+740-390-590-070-032-002-861+","002-861","1540.2",,"H-597",,"Harappa",,"SEAL:S",
"target_read_first","frame_text_dedup_unit","target_240_220_032","300","False","350-032-190","a_220_032_002_other_tail","+527-550-240-220-032-002-300-350-032-190+","002-300-350-032-190",,"2577.1",,"M-49",,"Mohenjo-daro",,"SEAL:S"
"target_read_first","frame_text_dedup_unit","target_240_220_032","817","True","<END>","a_220_032_002_core_tail","+740-585-240-220-032-002-817+","002-817",,"3146.1",,"M-722",,"Mohenjo-daro",,"SEAL:S"
"target_read_first","frame_text_dedup_unit","target_240_220_032","820","True","<END>","a_220_032_002_core_tail","+161-055-240-220-032-002-820+","002-820",,"2417.1",,"M-1728",,"Mohenjo-daro",,"SEAL:S"
"target_read_first","frame_text_dedup_unit","target_240_220_032","861","True","<END>","a_220_032_002_core_tail","+000-100-240-220-032-002-861+","002-861",,"62.1",,"C-65",,"Chanhu-daro",,"SEAL:S"
"target_read_first","frame_text_dedup_unit","target_240_220_032","861","False","603","a_220_032_002_core_tail","+520-240-220-032-002-861-603+","002-861-603",,"2763.1",,"M-240",,"Mohenjo-daro",,"SEAL:S"
"target_read_first","strict_occurrence","target_240_220_032","300","False","350-032-190","a_220_032_002_other_tail","+527-550-240-220-032-002-300-350-032-190+","002-300-350-032-190","2577.1",,"M-49",,"Mohenjo-daro",,"SEAL:S",
"target_read_first","strict_occurrence","target_240_220_032","817","True","<END>","a_220_032_002_core_tail","+740-585-240-220-032-002-817+","002-817","3146.1",,"M-722",,"Mohenjo-daro",,"SEAL:S",
"target_read_first","strict_occurrence","target_240_220_032","820","True","<END>","a_220_032_002_core_tail","+161-055-240-220-032-002-820+","002-820","2417.1",,"M-1728",,"Mohenjo-daro",,"SEAL:S",
"target_read_first","strict_occurrence","target_240_220_032","861","True","<END>","a_220_032_002_core_tail","+000-100-240-220-032-002-861+","002-861","62.1",,"C-65",,"Chanhu-daro",,"SEAL:S",
"target_read_first","strict_occurrence","target_240_220_032","861","False","603","a_220_032_002_core_tail","+520-240-220-032-002-861-603+","002-861-603","2763.1",,"M-240",,"Mohenjo-daro",,"SEAL:S",
