"site","type","total","a220_total","a220_next002","a220_core","a220_core_terminal","outside_total","outside_next002","outside_core","outside_core_terminal"
"Harappa","TAB:B","101","0","0","0","0","101","0","0","0"
"Mohenjo-daro","SEAL:S","99","29","18","11","9","70","6","4","2"
"Harappa","TAB:I","88","1","0","0","0","87","0","0","0"
"Harappa","POT:T:g","46","0","0","0","0","46","0","0","0"
"Harappa","SEAL:S","28","7","2","1","1","21","3","2","2"
"Mohenjo-daro","TAB:C","25","3","0","0","0","22","0","0","0"
"Mohenjo-daro","SEAL:R","20","6","1","1","1","14","2","0","0"
"Chanhu-daro","SEAL:S","18","2","2","2","2","16","1","1","1"
"Mohenjo-daro","TAB:B","8","0","0","0","0","8","0","0","0"
"Dholavira","TAG","7","0","0","0","0","7","0","0","0"
"Harappa","SEAL:R","7","1","0","0","0","6","1","1","1"
"Dholavira","SEAL:S","5","0","0","0","0","5","0","0","0"
"Lothal","SEAL:S","5","1","0","0","0","4","1","0","0"
"Kalibangan","POT:T:g","4","0","0","0","0","4","0","0","0"
"Lothal","SEAL:R","4","2","0","0","0","2","0","0","0"
"Kalibangan","SEAL:S","3","1","1","1","1","2","0","0","0"
"Mohenjo-daro","BNGL","3","0","0","0","0","3","0","0","0"
"Mohenjo-daro","POT:T:g","3","0","0","0","0","3","0","0","0"
"Mohenjo-daro","ROD","3","0","0","0","0","3","0","0","0"
"Chanhu-daro","TAB:B","2","0","0","0","0","2","0","0","0"
"Mohenjo-daro","TAG:P","2","0","0","0","0","2","2","2","2"
"Nausharo","POT:T:g","2","0","0","0","0","2","0","0","0"
"Rakhigarhi","TAG:W","2","0","0","0","0","2","0","0","0"
"Unknown","SEAL:S","2","0","0","0","0","2","1","0","0"
"Bakkar Buthi","POT:T:g","1","0","0","0","0","1","0","0","0"
"Desalpur","TAG","1","0","0","0","0","1","1","0","0"
"Dholavira","SEAL:R","1","0","0","0","0","1","0","0","0"
"Dholavira","TAB:I","1","1","0","0","0","0","0","0","0"
"Farmana","SEAL:S","1","1","0","0","0","0","0","0","0"
"Gola Dhoro (Bagasra)","SEAL:S","1","0","0","0","0","1","0","0","0"
"Harappa","MISC","1","0","0","0","0","1","0","0","0"
"Harappa","POT:T:s","1","1","0","0","0","0","0","0","0"
"Harappa","TAG:P","1","0","0","0","0","1","0","0","0"
"Kalibangan","ROD","1","0","0","0","0","1","0","0","0"
"Kalibangan","TAB:B","1","0","0","0","0","1","0","0","0"
"Kalibangan","TAG:L","1","0","0","0","0","1","0","0","0"
"Karzakan","SEAL:C","1","0","0","0","0","1","0","0","0"
"Lakhanjo-daro","SEAL:S","1","0","0","0","0","1","0","0","0"
"Lothal","MISC","1","0","0","0","0","1","0","0","0"
"Lothal","POT:T:g","1","0","0","0","0","1","0","0","0"
"Lothal","TAG","1","0","0","0","0","1","0","0","0"
"Mohenjo-daro","MISC","1","0","0","0","0","1","0","0","0"
"Mohenjo-daro","POT:T:s","1","0","0","0","0","1","0","0","0"
"Mohenjo-daro","TAG:O","1","0","0","0","0","1","0","0","0"
"Nausharo","SEAL:S","1","0","0","0","0","1","0","0","0"
"Rupar","TAG:L","1","0","0","0","0","1","0","0","0"
"Tarkhanewala-dera","TAG","1","1","0","0","0","0","0","0","0"
"Tigrana","TAG","1","0","0","0","0","1","0","0","0"
"Unknown","SEAL:C","1","0","0","0","0","1","0","0","0"
"Unknown","SEAL:CY","1","0","0","0","0","1","0","0","0"
"Unknown","TAB:B","1","0","0","0","0","1","0","0","0"
