"priority","category","cisi","object_ids","text","y_after_002","y_terminal","site","type","condition","complete","material","shape","symbol","cult","direction","excavation_idno","area_section","block_house","room_grid","period","phase","depth","source_ocr_hit_count","mahadevan_hit_count","local_image_hit_count","local_image_hits","route_status","next_action"
"a_220_control_core_tail","non240_a_220_032","C-10","98.1","+740-231-220-032-002-817+","817","True","Chanhu-daro","SEAL:S","Poor","Y","Steatite","square","Bull1:W","SAN","R/L","CH 2297Pl. LI:29","--","--","loc. 174sq. 9/D","-","-","+10 ft","0","0","0","","chanhu_daro_plate_route","acquire/check Chanhu-daro plate reference and crop exact panel"
"a_220_control_core_tail","non240_a_220_032","H-444","1434.1","+241-220-032-002-861+","861","True","Harappa","SEAL:S","Good","Y","-","square","Bull1:W","SAF","R/L","13340","--","--","--","-","-","- -","2","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"a_220_control_core_tail","non240_a_220_032","K-145","5273.1","+740-585-231-220-032-002-820+","820","True","Kalibangan","SEAL:S","Good","Y","-","square","Bull1:J","SAF","R/L","-","--","--","--","2","-","- -","0","0","0","","source_route_needed","direct CISI/HARP/archive request"
"a_220_control_core_tail","non240_a_220_032","M-375","2871.1","+740-100-233-220-032-002-820+","820","True","Mohenjo-daro","SEAL:R","Good","Y","Steatite","cuboid-convex","None","None","R/L","HR 4285468","HR-","--","--","-","-","-4.0 ft","8","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"a_220_control_core_tail","non240_a_220_032","M-1044","3421.1","+520-220-032-002-861+","861","True","Mohenjo-daro","SEAL:S","Poor","Y","Steatite","square","Bull","-","R/L","HR 4399551","HRB","5XXIX","37-","-","-","-3.0 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"a_220_control_core_tail","non240_a_220_032","M-174","2699.1","+740-923-220-032-002-820+","820","True","Mohenjo-daro","SEAL:S","Poor","Y","Steatite","square","Bull1:T","SAN","R/L","HR 4965114","HRB","2XII","106-","-","-","-6.0 ft","8","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"a_220_control_core_tail","non240_a_220_032","M-1763","2313.1","+416-001-565-740-220-032-002-861+","861","True","Mohenjo-daro","SEAL:S","Fair","Y","Faience","square","Bull1:W","SAN","R/L","DK5636552","DKG. (S)","1I","74-","Intermediate","III","-16.5 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"a_220_control_core_tail","non240_a_220_032","M-1788","3989.1","+000-220-032-002-817+","817","True","Mohenjo-daro","SEAL:S","Fair","N","-","square","Bull1:I","RAN","R/L","DK6600714","DK-","--","--","-","-","- -","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"a_220_control_core_tail","non240_a_220_032","M-221","2745.1","+740-760-335-220-032-002-820+","820","True","Mohenjo-daro","SEAL:S","Poor","Y","-","square","Bull1:I","SAN","R/L","-","--","--","--","-","-","- -","4","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"a_220_control_core_tail","non240_a_220_032","M-720","3144.1","+000-740-923-220-032-002-817+","817","True","Mohenjo-daro","SEAL:S","Poor","N","Steatite","square","Bull1","-","R/L","HR 2371082","HR-","--","-36 X/17","-","-","-3.25 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
