"priority","role","category","before_pair","after_pair","tail_string","text","ids","cisis","sites","types","reason"
"P0","P0_internal_240_220_non032_control","internal_240_220_non032_control","240-220","861","861","+740-760-440-240-220-002-861+","2277.1","M-1990","Mohenjo-daro","SEAL","internal failure/control for 240 selector"
"P0","P0_internal_240_220_non032_control","internal_240_220_non032_control","240-220","812-906","812-906-388","+527-550-240-220-255-812-906-388+","2660.1","M-133","Mohenjo-daro","SEAL:S","internal failure/control for 240 selector"
"P0","P0_internal_240_220_non032_control","internal_240_220_non032_control","240-220","806-742","806-742-060-920","+740-690-435-255-240-220-415-806-742-060-920+","2865.1","M-369","Mohenjo-daro","SEAL:R","internal failure/control for 240 selector"
"P0","P0_target_240_220_032","target_240_220_032","240-220","002-861","002-861","+000-100-240-220-032-002-861+","62.1","C-65","Chanhu-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","<END>","<END>","+520-233-240-220-032+","920.1","H-1678","Harappa","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","002-820","002-820","+161-055-240-220-032-002-820+","2417.1","M-1728","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","002-300","002-300-350-032-190","+527-550-240-220-032-002-300-350-032-190+","2577.1","M-49","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","002-861","002-861-603","+520-240-220-032-002-861-603+","2763.1","M-240","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","<END>","<END>","+740-812-033-240-220-032+","2837.1","M-319","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","368-263","368-263","+520-033-706-240-220-032-368-263+","3081.1","M-631","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","002-817","002-817","+740-585-240-220-032-002-817+","3146.1","M-722","Mohenjo-daro","SEAL:S","primary selector target"
"P0","P0_target_240_220_032","target_240_220_032","240-220","806-<END>","806","+740-055-240-220-032-806+","3572.1","M-1265","Mohenjo-daro","SEAL:R","primary selector target"
