"companion_formula_class","third_slot","count","examples"
"033_700","016","1","H-942:+033-700+"
"034_700","415","1","H-938:+034-700+"
"700_032","415","1","H-2146:+700-032+"
"700_033","240","1","H-231:+700-033+"
"700_034","415","3","H-1284:+700-034+;H-319:+700-034+;H-939:+700-034+"
"700_x_pair","415","1","H-346:+700-090+"
"longer_other","034","1","M-1206:+740-690-435-255-002-861+"
"longer_other","415","4","H-1953:+700-032-220+;H-2149:+590-032-645-003+;H-786:+824-892-413+;H-941:+590-032-645-003+"
"no_companion_side","001","1","M-1843:"
"no_companion_side","002","3","B-23:;M-1148:;M-308:"
"no_companion_side","003","2","M-1672:;M-1912:"
"no_companion_side","004","1","M-75:"
"no_companion_side","006","1","K-150:"
"no_companion_side","016","2","M-1884:;M-715:"
"no_companion_side","031","1","M-65:"
"no_companion_side","032","1","M-1044:"
"no_companion_side","235","1","M-1090:"
"no_companion_side","240","4","H-423:;M-1716:;M-888:;M-962:"
"no_companion_side","368","1","M-1687:"
"no_companion_side","415","12","H-1326:;H-1669:;H-364:;L-98:;M-1031:;M-163:;M-1814:;M-279:;M-323:;M-37:"
"no_companion_side","621","1","M-154:"
"no_companion_side","742","1","Ns-59:"
"no_companion_side","803","1","M-1776:"
"one_sign_110","415","2","H-2148:+110+;H-940:+110+"
"starts_520_220","415","2","H-1992:+520-220-415+"
"two_sign_other","415","2","H-1722:]000-220[;H-2240:+869-575+"
