scope,id,cisi,site,type,material,shape,text,third_slot,x_position_behavior,closure_binary,tail_token_count,tail_tokens,companion_formula_classes,duplicate_weight,source_ids
raw_clean_behavior,4069.1,H-1284,Harappa,TAB:I,NA,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_034,1,4069.1
raw_clean_behavior,221.1,H-1326,Harappa,TAB:I,Steatite,rectangular-round,+520-220-415+,415,terminal_closed,terminal_closed,0,,,1,221.1
raw_clean_behavior,479.1,H-1669,Harappa,SEAL:S,Steatite,square,+520-220-415-060-920+,415,medial_with_closed_tail,continues_after_x,2,060-920,,1,479.1
raw_clean_behavior,485.2,H-1953,Harappa,TAB:B,Clay,rectangular,+520-220-415-240-803+,415,medial_with_closed_tail,continues_after_x,2,240-803,longer_other,1,485.2
raw_clean_behavior,913.1,H-1992,Harappa,TAB:B,Faience,cylindrical,+520-220-415+,415,terminal_closed,terminal_closed,0,,starts_520_220,1,913.1
raw_clean_behavior,913.2,H-1992,Harappa,TAB:B,Faience,cylindrical,+520-220-415+,415,terminal_closed,terminal_closed,0,,starts_520_220,1,913.2
raw_clean_behavior,841.1,H-2146,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_032,1,841.1
raw_clean_behavior,481.1,H-2148,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,one_sign_110,1,481.1
raw_clean_behavior,848.1,H-2149,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,longer_other,1,848.1
raw_clean_behavior,816.1,H-2240,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,two_sign_other,1,816.1
raw_clean_behavior,1258.1,H-231,Harappa,TAB:B,Faience,elliptical,+520-220-240-002-820+,240,medial_with_closed_tail,continues_after_x,2,002-820,700_033,1,1258.1
raw_clean_behavior,1341.1,H-319,Harappa,TAB:I,Steatite,oval,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_034,1,1341.1
raw_clean_behavior,1366.1,H-346,Harappa,TAB:I,Steatite,circular,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_x_pair,1,1366.1
raw_clean_behavior,1383.1,H-364,Harappa,TAB:I,Steatite,cuboid,+520-220-415+,415,terminal_closed,terminal_closed,0,,,1,1383.1
raw_clean_behavior,199.1,H-423,Harappa,SEAL:S,Steatite,square,+520-220-240-798-060-692+,240,medial_with_closed_tail,continues_after_x,3,798-060-692,,1,199.1
raw_clean_behavior,1677.2,H-786,Harappa,TAB:B,NA,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,longer_other,1,1677.2
raw_clean_behavior,1818.1,H-938,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,034_700,1,1818.1
raw_clean_behavior,1819.2,H-939,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_034,1,1819.2
raw_clean_behavior,1820.1,H-940,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,one_sign_110,1,1820.1
raw_clean_behavior,1821.2,H-941,Harappa,TAB:I,Steatite,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,longer_other,1,1821.2
raw_clean_behavior,1822.1,H-942,Harappa,TAB:I,Steatite,rectangular,+520-220-016+,016,terminal_closed,terminal_closed,0,,033_700,1,1822.1
raw_clean_behavior,5277.1,K-150,Kalibangan,SEAL:S,Steatite,square,+520-220-006+,006,terminal_closed,terminal_closed,0,,,1,5277.1
raw_clean_behavior,2052.1,L-98,Lothal,SEAL:R,Steatite,rectangular,+520-220-415-519+,415,medial_with_closed_tail,continues_after_x,1,519,,1,2052.1
raw_clean_behavior,3421.1,M-1044,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-032-002-861+,032,medial_with_closed_tail,continues_after_x,2,002-861,,1,3421.1
