"cisi","lipi_id","mayig_side_id","lipi_dir","lipi_length","position_0based","position_1based","position_class","lipi_sign","mayig_sign","lipi_left","lipi_right","mayig_left","mayig_right","evidence_status"
"M-1","2531.1","M-1A","R/L","5","0","1","initial","001","P121","<s>","368","<s>","P202","provisional_position_alignment_only"
"M-157","2683.1","M-157A","R/L","7","5","6","medial","001","P121","798","820","P075","P378","provisional_position_alignment_only"
"M-172","2697.1","M-172A","R/L","6","2","3","medial","001","P121","018","220","P128","P050","provisional_position_alignment_only"
"M-21","2549.1","M-21A","R/L","8","1","2","medial","001","P121","350","740","P091","P324","provisional_position_alignment_only"
"M-65","2593.1","M-65A","R/L","6","3","4","medial","001","P121","031","706","P144","P316","provisional_position_alignment_only"
"M-84","2611.1","M-84A","R/L","6","3","4","medial","001","P121","240","368","P062","P202","provisional_position_alignment_only"
"M-100","2627.1","M-100A","R/L","6","4","5","medial","002","P122","705","861","P316","P385","provisional_position_alignment_only"
"M-101","2628.1","M-101A","R/L","6","4","5","medial","002","P122","168","817","P003","P385","provisional_position_alignment_only"
"M-103","2630.1","M-103A","R/L","4","2","3","medial","002","P122","004","820","P124","P378","provisional_position_alignment_only"
"M-107","2634.1","M-107A","R/L","6","3","4","medial","002","P122","233","940","P058","P054","provisional_position_alignment_only"
"M-109","2636.1","M-109A","R/L","7","4","5","medial","002","P122","415","287","P092","P084","provisional_position_alignment_only"
"M-114","2641.1","M-114A","R/L","6","3","4","medial","002","P122","440","297","P283","P205","provisional_position_alignment_only"
"M-115","2642.1","M-115A","R/L","8","5","6","medial","002","P122","803","301","P364","P205","provisional_position_alignment_only"
"M-116","2643.1","M-116A","R/L","7","5","6","medial","002","P122","013","817","P139","P385","provisional_position_alignment_only"
"M-117","2644.1","M-117A","R/L","8","6","7","medial","002","P122","055","820","P142","P378","provisional_position_alignment_only"
"M-118","2645.1","M-118A","R/L","8","6","7","medial","002","P122","803","861","P364","P385","provisional_position_alignment_only"
"M-119","2646.1","M-119A","R/L","10","3","4","medial","002","P122","484","390","P195","P086","provisional_position_alignment_only"
"M-12","2540.1","M-12A","R/L","9","4","5","medial","002","P122","233","368","P058","P202","provisional_position_alignment_only"
"M-130","2657.1","M-130A","R/L","6","4","5","medial","002","P122","032","144","P145","P032","provisional_position_alignment_only"
"M-14","2542.1","M-14A","R/L","5","3","4","medial","002","P122","503","817","P210","P385","provisional_position_alignment_only"
"M-142","2669.1","M-142A","R/L","4","2","3","medial","002","P122","140","861","P011","P385","provisional_position_alignment_only"
"M-144","2671.1","M-144A","R/L","6","4","5","medial","002","P122","240","817","P062","P385","provisional_position_alignment_only"
"M-147","2674.1","M-147A","R/L","6","2","3","medial","002","P122","803","220","P364","P050","provisional_position_alignment_only"
"M-15","2543.1","M-15A","R/L","5","3","4","medial","002","P122","176","861","P194","P385","provisional_position_alignment_only"
"M-152","2679.1","M-152A","R/L","4","2","3","medial","002","P122","772","861","P096","P385","provisional_position_alignment_only"
"M-160","2686.1","M-160A","R/L","6","3","4","medial","002","P122","031","820","P144","P378","provisional_position_alignment_only"
"M-164","2690.1","M-164A","R/L","5","3","4","medial","002","P122","061","817","P204","P385","provisional_position_alignment_only"
"M-166","2691.1","M-166A","R/L","6","4","5","medial","002","P122","806","861","P364","P385","provisional_position_alignment_only"
"M-17","2545.1","M-17A","R/L","5","2","3","medial","002","P122","016","814","P126","P369","provisional_position_alignment_only"
"M-174","2699.1","M-174A","R/L","6","4","5","medial","002","P122","032","820","P145","P378","provisional_position_alignment_only"
"M-177","2702.1","M-177A","R/L","4","2","3","medial","002","P122","003","803","P123","P385","provisional_position_alignment_only"
"M-181","2707.1","M-181A","R/L","5","2","3","medial","002","P122","175","295","P193","P205","provisional_position_alignment_only"
"M-21","2549.1","M-21A","R/L","8","6","7","medial","002","P122","032","861","P145","P385","provisional_position_alignment_only"
"M-24","2552.1","M-24A","R/L","7","4","5","medial","002","P122","235","906","P060","P174","provisional_position_alignment_only"
"M-29","2557.1","M-29A","R/L","9","5","6","medial","002","P122","806","220","P364","P050","provisional_position_alignment_only"
"M-32","2560.1","M-32A","R/L","4","2","3","medial","002","P122","003","817","P123","P385","provisional_position_alignment_only"
"M-33","2561.1","M-33A","R/L","7","5","6","medial","002","P122","233","112","P058","P041","provisional_position_alignment_only"
"M-34","2562.1","M-34A","R/L","7","3","4","medial","002","P122","176","405","P194","P086","provisional_position_alignment_only"
"M-35","2563.1","M-35A","R/L","7","5","6","medial","002","P122","231","107","P056","P007","provisional_position_alignment_only"
"M-36","2564.1","M-36A","R/L","9","5","6","medial","002","P122","032","368","P145","P202","provisional_position_alignment_only"
"M-38","2566.1","M-38A","R/L","13","8","9","medial","002","P122","235","390","P060","P086","provisional_position_alignment_only"
"M-40","2568.1","M-40A","R/L","5","1","2","medial","002","P122","391","527","P089","P301","provisional_position_alignment_only"
"M-42","2570.1","M-42A","R/L","5","3","4","medial","002","P122","240","817","P062","P385","provisional_position_alignment_only"
"M-43","2571.1","M-43A","R/L","6","3","4","medial","002","P122","231","055","P056","P142","provisional_position_alignment_only"
"M-44","2572.1","M-44A","R/L","8","5","6","medial","002","P122","803","920","P364","P154","provisional_position_alignment_only"
"M-46","2574.1","M-46A","R/L","8","4","5","medial","002","P122","235","220","P060","P050","provisional_position_alignment_only"
"M-47","2575.1","M-47A","R/L","5","3","4","medial","002","P122","235","861","P060","P385","provisional_position_alignment_only"
"M-52","2580.1","M-52A","R/L","10","7","8","medial","002","P122","803","504","P364","P211","provisional_position_alignment_only"
"M-53","2581.1","M-53A","R/L","9","4","5","medial","002","P122","016","297","P126","P205","provisional_position_alignment_only"
"M-54","2582.1","M-54A","R/L","7","5","6","medial","002","P122","798","820","P230","P378","provisional_position_alignment_only"
"M-57","2585.1","M-57A","R/L","6","4","5","medial","002","P122","798","693","P230","P258","provisional_position_alignment_only"
