"site","third_slot","count","exact_three_count","types","examples"
"Banawali","002","1","0","TAG","41.1"
"Harappa","415","19","16","SEAL:S;TAB:B;TAB:I;TAG","4069.1;221.1;479.1;517.1;485.2;913.1;913.2;841.1"
"Harappa","240","2","0","SEAL:S;TAB:B","1258.1;199.1"
"Harappa","016","1","1","TAB:I","1822.1"
"Kalibangan","006","1","1","SEAL:S","5277.1"
"Lothal","415","1","0","SEAL:R","2052.1"
"Mohenjo-daro","415","8","1","SEAL:R;SEAL:S","3413.1;2689.1;2420.1;2800.1;2841.1;2565.1;2891.1;3094.1"
"Mohenjo-daro","240","3","0","SEAL:S","2506.1;2265.1;3357.1"
"Mohenjo-daro","002","2","0","SEAL:S","3509.1;2827.1"
"Mohenjo-daro","003","2","1","SEAL:S","2516.1;2441.1"
"Mohenjo-daro","016","2","0","SEAL:S","2510.1;3140.1"
"Mohenjo-daro","001","1","0","SEAL:S","3995.1"
"Mohenjo-daro","004","1","0","SEAL:S","2603.1"
"Mohenjo-daro","031","1","0","SEAL:S","2593.1"
"Mohenjo-daro","032","1","0","SEAL:S","3421.1"
"Mohenjo-daro","034","1","1","SEAL:S","3556.1"
"Mohenjo-daro","235","1","0","SEAL:S","3464.1"
"Mohenjo-daro","368","1","0","SEAL:S","2485.1"
"Mohenjo-daro","621","1","0","SEAL:S","2681.1"
"Mohenjo-daro","803","1","0","SEAL:S","2513.1"
"Nausharo","742","1","0","SEAL:S","5360.1"
