"third_slot","x_position_behavior","tail_pattern_class","count","examples"
"001","medial_with_closed_tail","tail_3plus_closed","1","M-1843:+520-220-001-820-220-063-315+"
"002","medial_with_closed_tail","tail_1_closed","1","M-1148:+520-220-002-861+"
"002","medial_with_closed_tail","tail_2_closed","1","M-308:+520-220-002-727-317+"
"002","terminal_damaged_or_open","no_tail_damaged_or_open","1","B-23:+520-220-002["
"003","medial_with_closed_tail","tail_3plus_closed","1","M-1672:+520-220-003-741-060-920+"
"003","terminal_closed","no_tail_closed_exact_three","1","M-1912:+520-220-003+"
"004","medial_with_closed_tail","tail_2_closed","1","M-75:+520-220-004-002-817+"
"006","terminal_closed","no_tail_closed_exact_three","1","K-150:+520-220-006+"
"016","medial_with_closed_tail","tail_3plus_closed","1","M-1884:+520-220-016-002-416-000+"
"016","medial_with_damaged_or_open_tail","tail_3plus_damaged_or_open","1","M-715:+520-220-016-741-556-000["
"016","terminal_closed","no_tail_closed_exact_three","1","H-942:+520-220-016+"
"031","medial_with_closed_tail","tail_3plus_closed","1","M-65:+520-220-031-001-706-575+"
"032","medial_with_closed_tail","tail_2_closed","1","M-1044:+520-220-032-002-861+"
"034","terminal_closed","no_tail_closed_exact_three","1","M-1206:+520-220-034+"
"235","medial_with_closed_tail","tail_3plus_closed","1","M-1090:+520-220-235-000-130-741+"
"240","medial_with_closed_tail","tail_1_closed","1","M-962:+520-220-240-235+"
"240","medial_with_closed_tail","tail_2_closed","2","H-231:+520-220-240-002-820+;M-888:+520-220-240-741-440+"
"240","medial_with_closed_tail","tail_3plus_closed","2","H-423:+520-220-240-798-060-692+;M-1716:+520-220-240-803-002-820+"
"368","medial_with_closed_tail","tail_1_closed","1","M-1687:+520-220-368-817+"
"415","medial_with_closed_tail","tail_1_closed","4","L-98:+520-220-415-519+;M-1814:+520-220-415-240+;M-323:+520-220-415-235+;M-395:+520-220-415-798+"
"415","medial_with_closed_tail","tail_2_closed","3","H-1669:+520-220-415-060-920+;H-1953:+520-220-415-240-803+;M-163:+520-220-415-060-820+"
"415","medial_with_closed_tail","tail_3plus_closed","2","M-279:+520-220-415-002-700-000+;M-650:+520-220-415-519-002-817+"
"415","medial_with_damaged_or_open_tail","tail_1_damaged_or_open","2","H-1722:+520-220-415-000[;M-1031:+520-220-415-817["
"415","terminal_closed","no_tail_closed_exact_three","17","H-1284:+520-220-415+;H-1326:+520-220-415+;H-1992:+520-220-415+;H-2146:+520-220-415+;H-2148:+520-220-415+;H-2149:+520-220-415+;H-2240:+520-220-415+"
"621","medial_with_closed_tail","tail_3plus_closed","1","M-154:+520-220-621-415-002-257-898+"
"742","medial_with_closed_tail","tail_2_closed","1","Ns-59:+520-220-742-060-920+"
"803","medial_with_closed_tail","tail_2_closed","1","M-1776:+520-220-803-741-262+"
