"third_slot","count","exact_three_count","sites","materials","types","companion_110_count","companion_700_034_count","companion_700_033_count","companion_700_032_count"
"415","28","17","Harappa;Lothal;Mohenjo-daro","-;Clay;Faience;Steatite","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","2","4","0","2"
"240","5","0","Harappa;Mohenjo-daro","-;Faience;Steatite","SEAL:S;TAB:B","0","0","1","0"
"002","3","0","Banawali;Mohenjo-daro","-;Steatite","SEAL:S;TAG","0","0","0","0"
"016","3","1","Harappa;Mohenjo-daro","Steatite","SEAL:S;TAB:I","0","0","1","0"
"003","2","1","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"001","1","0","Mohenjo-daro","-","SEAL:S","0","0","0","0"
"004","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"006","1","1","Kalibangan","Steatite","SEAL:S","0","0","0","0"
"031","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"032","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"034","1","1","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"235","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"368","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"621","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
"742","1","0","Nausharo","Steatite","SEAL:S","0","0","0","0"
"803","1","0","Mohenjo-daro","Steatite","SEAL:S","0","0","0","0"
