"id","cisi","site","type","material","dir","position","length","prev","next","next2","at_start","at_end","text"
"26.1","-","Banawali","SEAL:S","Steatite","R/L","0","2","","001","","True","False","+520-001+"
"41.1","B-23","Banawali","TAG","-","T/B","0","3","","220","002","True","False","+520-220-002["
"87.1","C-67","Chanhu-daro","SEAL:S","Steatite","R/L","0","5","","233","803","True","False","+520-233-803-002-817+"
"92.1","C-4","Chanhu-daro","SEAL:S","Steatite","R/L","0","5","","235","803","True","False","+520-235-803-002-817+"
"95.1","C-7","Chanhu-daro","SEAL:S","Steatite","R/L","0","7","","033","705","True","False","+520-033-705-240-798-002-000["
"118.1","C-37","Chanhu-daro","POT:T:g","Clay","R/L","0","3","","515","255","True","False","+520-515-255["
"131.1","-","Dholavira","SEAL:S","Steatite","R/L","0","3","","460","495","True","False","+520-460-495+"
"133.1","-","Dholavira","SEAL:S","Steatite","R/L","0","2","","460","","True","False","+520-460+"
"138.1","-","Dholavira","SEAL:R","Steatite","R/L","0","4","","033","706","True","False","+520-033-706-233+"
"140.1","-","Dholavira","TAG","Clay","R/L","0","2","","033","","True","False","+520-033["
"164.1","H-1507","Harappa","MISC","Brick","R/L","0","4","","001","090","True","False","+520-001-090-000["
"199.1","H-423","Harappa","SEAL:S","Steatite","R/L","0","6","","220","240","True","False","+520-220-240-798-060-692+"
"221.1","H-1326","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"253.1","H-1165","Harappa","TAB:I","Steatite","L/R","0","3","","400","000","True","False","+520-400-000+"
"258.1","H-1121","Harappa","TAB:B","Faience","L/R","1","4","400","220","016","False","False","+400-520-220-016+"
"277.2","H-1184","Harappa","TAB:I","Steatite","R/L","0","2","","220","","True","False","+520-220["
"282.2","H-1330","Harappa","TAB:I","Steatite","R/L","0","2","","220","","True","False","+520-220+"
"290.2","H-1112","Harappa","TAB:B","Faience","R/L","0","3","","000","255","True","False","+520-000-255+"
"293.1","H-1033","Harappa","SEAL:S","Steatite","R/L","2","6","500","002","862","False","False","+220-500-520-002-862-032+"
"297.1","H-874","Harappa","TAB:B","Clay","R/L","0","3","","233","240","True","False","+520-233-240+"
"322.1","H-1027","Harappa","SEAL:S","Steatite","R/L","0","6","","033","706","True","False","+520-033-706-231-415-803+"
"368.1","-","Harappa","POT:T:g","Clay","R/L","1","3","400","000","","False","False","+400-520-000["
"402.2","H-2015","Harappa","TAB:B","Clay","L/R","0","7","","033","705","True","False","+520-033-705-235-832-002-817+"
"437.2","H-1912","Harappa","TAB:B","Faience","L/R","0","2","","240","","True","False","+520-240+"
"479.1","H-1669","Harappa","SEAL:S","Steatite","R/L","0","5","","220","415","True","False","+520-220-415-060-920+"
"481.1","H-2148","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"485.2","H-1953","Harappa","TAB:B","Clay","R/L","0","5","","220","415","True","False","+520-220-415-240-803+"
"510.2","H-1916","Harappa","TAB:B","Faience","R/L","0","4","","070","255","True","False","+520-070-255-832+"
"515.2","H-1908","Harappa","TAB:B","Faience","R/L","0","2","","240","","True","False","+520-240+"
"517.1","H-1722","Harappa","TAG","-","R/L","0","4","","220","415","True","False","+520-220-415-000["
"526.1","H-1770","Harappa","TAB:B","Faience","R/L","1","3","400","233","","False","False","+400-520-233+"
"613.1","-","Harappa","POT:T:g","Clay","R/L","0","2","","235","","True","False","+520-235+"
"628.2","H-1899","Harappa","TAB:B","Faience","R/L","0","3","","033","033","True","False","+520-033-033+"
"651.1","H-2151","Harappa","TAB:I","Steatite","R/L","0","1","","","","True","True","+520["
"716.1","H-2337","Harappa","POT:T:g","Clay","R/L","0","3","","460","495","True","False","]520-460-495["
"739.1","H-1687","Harappa","SEAL:S","Steatite","R/L","0","2","","220","","True","False","+520-220["
"743.1","H-1907","Harappa","TAB:B","Faience","R/L","0","2","","240","","True","False","+520-240+"
"754.2","H-2038","Harappa","TAB:I","Steatite","R/L","1","2","400","","","False","True","+400-520["
"816.1","H-2240","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"831.2","H-1880","Harappa","TAB:B","Faience","R/L","0","3","","033","033","True","False","+520-033-033+"
"836.2","H-2107","Harappa","TAB:I","Steatite","R/L","0","3","","072","255","True","False","+520-072-255["
"841.1","H-2146","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"848.1","H-2149","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"873.1","H-2144","Harappa","TAB:I","Steatite","-","0","1","","","","True","True","+520["
"876.2","H-1879","Harappa","TAB:B","Faience","R/L","0","3","","033","033","True","False","+520-033-033+"
"913.1","H-1992","Harappa","TAB:B","Faience","R/L","0","3","","220","415","True","False","+520-220-415+"
"913.2","H-1992","Harappa","TAB:B","Faience","R/L","0","3","","220","415","True","False","+520-220-415+"
"917.2","H-1933","Harappa","TAB:B","Faience","R/L","1","4","400","400","352","False","False","+400-520-400-352+"
"920.1","H-1678","Harappa","SEAL:S","Steatite","R/L","0","5","","233","240","True","False","+520-233-240-220-032+"
"1004.1","H-1966","Harappa","TAB:B","Clay","R/L","0","5","","233","049","True","False","+520-233-049-002-861+"
"1077.1","H-17","Harappa","SEAL:S","Steatite","R/L","0","5","","233","240","True","False","+520-233-240-060-201+"
"1103.1","H-44","Harappa","SEAL:S","Steatite","R/L","0","9","","033","706","True","False","+520-033-706-235-798-803-002-031-892+"
"1112.1","H-53","Harappa","SEAL:S","-","R/L","0","3","","033","706","True","False","+520-033-706+"
"1123.1","H-64","Harappa","SEAL:S","Steatite","R/L","0","4","","070","921","True","False","+520-070-921-240+"
"1141.1","H-85","Harappa","SEAL:S","Steatite","R/L","0","4","","219","002","True","False","+520-219-002-817+"
"1142.1","H-86","Harappa","SEAL:S","Steatite","R/L","0","3","","460","031","True","False","+520-460-031+"
"1147.1","H-91","Harappa","SEAL:S","Steatite","R/L","0","5","","070","253","True","False","+520-070-253-060-692+"
"1153.1","H-98","Harappa","SEAL:S","Steatite","R/L","2","5","920","220","016","False","False","+861-920/520-220-016+"
"1155.1","H-100","Harappa","SEAL:S","Clay","R/L","0","5","","031","000","True","False","+520-031-000-002-000+"
"1169.1","H-103","Harappa","SEAL:S","Steatite","R/L","2","10","097","033","705","False","False","+159-097/520-033-705/740-717-220-415-806+"
"1189.1","H-148","Harappa","SEAL:R","Steatite","R/L","0","3","","240","235","True","False","+520-240-235+"
"1244.1","H-213","Harappa","TAB:B","-","R/L","1","4","400","400","352","False","False","+400-520-400-352+"
"1245.1","H-214","Harappa","TAB:B","Faience","L/R","1","4","400","400","353","False","False","+400-520-400-353+"
"1257.1","H-230","Harappa","TAB:B","Faience","R/L","0","3","","072","219","True","False","+520-072-219+"
"1258.1","H-231","Harappa","TAB:B","Faience","R/L","0","5","","220","240","True","False","+520-220-240-002-820+"
"1268.1","H-243","Harappa","TAB:B","Faience","R/L","1","3","400","233","","False","False","+400-520-233+"
"1274.2","H-249","Harappa","TAB:B","Faience","R/L","0","2","","233","","True","False","+520-233+"
"1277.1","H-252","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1278.1","H-253","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1279.1","H-254","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1280.1","H-255","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1281.1","H-256","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1282.1","H-257","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1283.1","H-258","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1284.1","H-259","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1285.1","H-260","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1286.1","H-261","Harappa","TAB:B","Clay","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1287.1","H-262","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1288.1","H-263","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1289.1","H-264","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1290.1","H-265","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1298.1","H-276","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1299.1","H-277","Harappa","TAB:B","-","R/L","0","5","","240","002","True","False","+520-240-002-405-501+"
"1316.1","-","Dholavira","SEAL:S","Steatite","R/L","0","7","","920","320","True","False","+520-920-320-235-175-000-820+"
"1341.1","H-319","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"1342.1","H-320","Harappa","TAB:I","Steatite","R/L","0","3","","240","000","True","False","+520-240-000+"
"1351.1","H-329","Harappa","TAB:I","-","R/L","0","2","","220","","True","False","+520-220+"
"1366.1","H-346","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"1383.1","H-364","Harappa","TAB:I","Steatite","R/L","0","3","","220","415","True","False","+520-220-415+"
"1401.1","H-388","Harappa","SEAL:S","-","R/L","0","7","","033","706","True","False","+520-033-706-231-806-002-817+"
"1445.1","H-455","Harappa","SEAL:S","Steatite","R/L","0","6","","033","705","True","False","+520-033-705-002-172-032+"
"1446.1","H-456","Harappa","SEAL:S","Steatite","R/L","0","6","","033","706","True","False","+520-033-706-002-817-808+"
"1479.1","H-501","Harappa","SEAL:S","Steatite","R/L","0","5","","233","803","True","False","+520-233-803-002-817+"
"1481.1","H-503","Harappa","SEAL:S","Steatite","R/L","0","2","","175","","True","False","+520-175+"
"1500.1","H-525","Harappa","SEAL:S","Steatite","R/L","0","2","","220","","True","False","+520-220["
"1501.1","H-530","Harappa","SEAL:S","Steatite","R/L","0","4","","400","350","True","False","+520-400-350-031+"
