"prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"<START>","000","<START>-220-000","+220-000-740-550-705+","1","53.1","Ch-1","Chandigarh","POT:T:g","Clay","no_companion_side","false","false","true"
"<START>","000","<START>-220-000","+220-000-740/741-255+","1","115.1","C-33","Chanhu-daro","MISC","Steatite","no_companion_side","false","false","true"
"<START>","000","<START>-220-000","+220-000+","1","4.1","-","Allahdino","POT:T:g","Clay","no_companion_side","false","false","true"
"<START>","014","<START>-220-014","+220-014+","1","28.1","B-3","Banawali","SEAL:S","-","no_companion_side","false","false","true"
"<START>","016","<START>-220-016","+220-016+","2","173.1;318.1","H-1028;H-1086","Harappa","POT:T:s;SEAL:S","Clay;Steatite","no_companion_side","false","false","true"
"<START>","017","<START>-220-017","+220-017+","1","1070.1","H-9","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"<START>","032","<START>-220-032","+220-032+","2","151.1;3950.1","-;H-1084","Farmana;Harappa","POT:T:s;SEAL:S","Clay;Steatite","no_companion_side","false","true","true"
"<START>","033","<START>-220-033","+220-033+","2","1017.1;1032.1","H-1736;H-1737","Harappa","POT:T:s","Clay","no_companion_side","false","false","true"
"<START>","063","<START>-220-063","+220-063-051+","1","1065.1","H-4","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"<START>","063","<START>-220-063","+220-063-706-000+","1","119.1","C-38","Chanhu-daro","MISC","Copper","no_companion_side","false","false","true"
"<START>","065","<START>-220-065","+220-065-864+","1","2678.1","M-151","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"<START>","233","<START>-220-233","+220-233+","1","416.1","H-2035","Harappa","TAB:I","Steatite","no_companion_side","false","false","true"
"<START>","455","<START>-220-455","+220-455-031-091+","1","5227.1","-","Karzakan","SEAL:C","-","no_companion_side","false","false","true"
"<START>","455","<START>-220-455","+220-455-125-031+","1","2195.1","M-1749","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"<START>","500","<START>-220-500","+220-500-520-002-862-032+","1","293.1","H-1033","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"<START>","786","<START>-220-786","+220-786-255+","1","2910.1","M-414","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"000","000","000-220-000","+000-220-000+","1","166.1","H-1392","Harappa","POT:T:g","-","no_companion_side","false","false","true"
"000","000","000-220-000","+400-202-000-220-000+","1","3964.1","H-1103","Harappa","TAB:B","Steatite","no_companion_side","false","false","true"
"000","002","000-220-002","+000-220-002-595-632-354-850+","1","1399.1","H-385","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"000","002","000-220-002","+740-923-000-220-002-817+","1","223.1","H-1042","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"000","003","000-220-003","+000-000-220-003+","1","1883.1","K-8","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"000","032","000-220-032","+000-000-220-032+","1","2501.1","M-1812","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"000","032","000-220-032","+000-220-032-002-817+","1","3989.1","M-1788","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"000","390","000-220-390","+000-220-390-440-384+","1","3885.1","-","Tello","SEAL:S","-","no_companion_side","false","false","true"
"000","415","000-220-415","+000-220-415+","1","1849.1","H-972","Harappa","TAB:I","Steatite","no_companion_side","false","false","true"
"000","415","000-220-415","+400-000-220-415+","2","4042.1;4044.1","M-2109;M-2111","Mohenjo-daro","ROD","Ivory","no_companion_side","false","false","true"
"000","741","000-220-741","+000-031-003/000-220-741-703-632+","1","1889.1","K-14","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"001","033","001-220-033","+000-061-032-001-220-033-000+","1","5224.1","-","Unknown","SEAL:C","-","no_companion_side","false","false","true"
"001","415","001-220-415","+740-760-001-220-415-798-803+","1","2377.1","M-707","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
