"id","cisi","site","type","material","condition","complete","text","signs","length","position_0","position_1","prev","next","frame","known_next","damaged_or_open","clean_closed","prev_is_240","next_is_032","companion_count","companion_ids","companion_texts","companion_classes","no_companion_side"
"4.1","-","Allahdino","POT:T:g","Clay","Poor","N","+220-000+","220-000","2","0","1","<START>","000","<START>-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"27.1","B-1","Banawali","SEAL:S","Steatite","Fair","Y","+090-740-220-002-368-550-821+","090-740-220-002-368-550-821","7","2","3","740","002","740-220-002","true","false","true","false","false","0","","","no_companion_side","true"
"28.1","B-3","Banawali","SEAL:S","-","Poor","Y","+220-014+","220-014","2","0","1","<START>","014","<START>-220-014","true","false","true","false","false","0","","","no_companion_side","true"
"53.1","Ch-1","Chandigarh","POT:T:g","Clay","Fair","N","+220-000-740-550-705+","220-000-740-550-705","5","0","1","<START>","000","<START>-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"62.1","C-65","Chanhu-daro","SEAL:S","Steatite","Good","N","+000-100-240-220-032-002-861+","000-100-240-220-032-002-861","7","3","4","240","032","240-220-032","true","false","true","true","true","0","","","no_companion_side","true"
"98.1","C-10","Chanhu-daro","SEAL:S","Steatite","Poor","Y","+740-231-220-032-002-817+","740-231-220-032-002-817","6","2","3","231","032","231-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"115.1","C-33","Chanhu-daro","MISC","Steatite","Poor","N","+220-000-740/741-255+","220-000-740-741-255","5","0","1","<START>","000","<START>-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"119.1","C-38","Chanhu-daro","MISC","Copper","Poor","N","+220-063-706-000+","220-063-706-000","4","0","1","<START>","063","<START>-220-063","true","false","true","false","false","0","","","no_companion_side","true"
"121.1","C-40","Chanhu-daro","IMPL","Copper","Poor","Y","+390-095-909-005-825-776-220-016+","390-095-909-005-825-776-220-016","8","6","7","776","016","776-220-016","true","false","true","false","false","1","121.2","+740-000-835-240-235-031-900-066+","longer_other","false"
"130.1","-","Dholavira","SEAL:S","Steatite","Fair","Y","+244-165/740-879-220-416-803-002-861+","244-165-740-879-220-416-803-002-861","9","4","5","879","416","879-220-416","true","false","true","false","false","0","","","no_companion_side","true"
"151.1","-","Farmana","SEAL:S","Steatite","Fair","Y","+220-032+","220-032","2","0","1","<START>","032","<START>-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"166.1","H-1392","Harappa","POT:T:g","-","Poor","N","+000-220-000+","000-220-000","3","1","2","000","000","000-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"173.1","H-1086","Harappa","POT:T:s","Clay","Poor","Y","+220-016+","220-016","2","0","1","<START>","016","<START>-220-016","true","false","true","false","false","0","","","no_companion_side","true"
"199.1","H-423","Harappa","SEAL:S","Steatite","Poor","Y","+520-220-240-798-060-692+","520-220-240-798-060-692","6","1","2","520","240","520-220-240","true","false","true","false","false","0","","","no_companion_side","true"
"221.1","H-1326","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"223.1","H-1042","Harappa","SEAL:S","Steatite","Poor","N","+740-923-000-220-002-817+","740-923-000-220-002-817","6","3","4","000","002","000-220-002","true","false","true","false","false","0","","","no_companion_side","true"
"237.1","H-1056","Harappa","SEAL:S","Steatite","Fair","Y","+400-090-740-220-003+","400-090-740-220-003","5","3","4","740","003","740-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"258.1","H-1121","Harappa","TAB:B","Faience","Poor","Y","+400-520-220-016+","400-520-220-016","4","2","3","520","016","520-220-016","true","false","true","false","false","1","258.2","+700-033-711-817-000+","700_033_branch","false"
"291.1","-","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"293.1","H-1033","Harappa","SEAL:S","Steatite","Poor","Y","+220-500-520-002-862-032+","220-500-520-002-862-032","6","0","1","<START>","500","<START>-220-500","true","false","true","false","false","0","","","no_companion_side","true"
"303.1","H-1043","Harappa","SEAL:S","Steatite","Poor","Y","+151-760-220-003-002-861+","151-760-220-003-002-861","6","2","3","760","003","760-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"311.1","H-1192","Harappa","TAB:I","Steatite","Fair","Y","+400-740-767-220-416+","400-740-767-220-416","5","3","4","767","416","767-220-416","true","false","true","false","false","1","311.2","+700-220-004+","700_other_branch","false"
"311.2","H-1192","Harappa","TAB:I","Steatite","Fair","Y","+700-220-004+","700-220-004","3","1","2","700","004","700-220-004","true","false","true","false","false","1","311.1","+400-740-767-220-416+","longer_other","false"
"318.1","H-1028","Harappa","SEAL:S","Steatite","Poor","Y","+220-016+","220-016","2","0","1","<START>","016","<START>-220-016","true","false","true","false","false","0","","","no_companion_side","true"
"388.2","H-1874","Harappa","TAB:B","Faience","Poor","N","+002-220-455-000+","002-220-455-000","4","1","2","002","455","002-220-455","true","false","true","false","false","1","388.1","+700-034+","700_034_branch","false"
