"prev","next","formula","count","sites","types","examples"
"000","000","000-220-000","1","Harappa","POT:T:g","166.1"
"000","415","000-220-415","1","Harappa","TAB:I","1849.1"
"016","382","016-220-382","1","Harappa","POT:T:s","715.1"
"074","415","074-220-415","1","Harappa","TAB:I","827.2"
"153","032","153-220-032","1","Dholavira","TAB:I","4286.1"
"400","428","400-220-428","1","Mohenjo-daro","SEAL:S","2742.1"
"440","413","440-220-413","1","Mohenjo-daro","BNGL","3826.1"
"520","415","520-220-415","17","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","221.1;481.1;816.1;841.1;848.1;913.1;913.2;1341.1;1366.1;1383.1"
"520","003","520-220-003","1","Mohenjo-daro","SEAL:S","2441.1"
"520","006","520-220-006","1","Kalibangan","SEAL:S","5277.1"
"520","016","520-220-016","1","Harappa","TAB:I","1822.1"
"520","034","520-220-034","1","Mohenjo-daro","SEAL:S","3556.1"
"700","004","700-220-004","1","Harappa","TAB:I","311.2"
"740","003","740-220-003","5","Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","2814.1;3720.1;3722.1;3723.1;3724.1"
"740","000","740-220-000","1","Mohenjo-daro","TAB:C","3069.1"
"740","032","740-220-032","1","Harappa","SEAL:R","1584.1"
