"prev","next","frame","row_count","unique_text_count","largest_text_family_count","largest_text_family_share","largest_text","cisi_count","site_count","sites","types"
"520","415","520-220-415","28","12","17","0.6071","+520-220-415+","27","3","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG"
"<START>","<END>","<START>-220-<END>","19","4","10","0.5263","+220+","16","6","Guddal A;Harappa;Kalibangan;Kanmer;Lothal;Mohenjo-daro","MISC;POT:M;POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I"
"000","<END>","000-220-<END>","11","8","3","0.2727","]000-220+","9","5","Harappa;Kalibangan;Lothal;Mohenjo-daro;Rakhigarhi","MDLN;POT:T:g;TAB:B;TAB:I;TAG"
"318","415","318-220-415","11","1","11","1","+740-407-590-690-436-255-920-318-220-415-803+","11","1","Harappa","TAB:B"
"740","055","740-220-055","11","1","11","1","+090-740-220-055-001-741-500-705+","11","1","Lothal","TAG;TAG:L;TAG:W"
"<START>","000","<START>-220-000","10","9","2","0.2","+220-000[","8","5","Allahdino;Chandigarh;Chanhu-daro;Dholavira;Harappa","MISC;POT:T:g;POT:T:p;SEAL;TAB:B;TAG"
"240","032","240-220-032","10","10","1","0.1","+000-100-240-220-032-002-861+","10","3","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S"
"740","003","740-220-003","10","6","5","0.5","+740-220-003+","10","3","Harappa;Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B"
"176","235","176-220-235","7","1","7","1","+740-176-220-235+","7","1","Harappa","TAB:B"
"520","<END>","520-220-<END>","7","2","4","0.5714","+520-220+","7","2","Harappa;Mohenjo-daro","SEAL:S;TAB:I"
"<START>","032","<START>-220-032","6","5","2","0.3333","+220-032+","6","3","Farmana;Harappa;Mohenjo-daro","POT:T:g;POT:T:s;SEAL:R;SEAL:S"
"000","000","000-220-000","6","6","1","0.1667","]000-220-000-368-220-031+","5","4","Banawali;Dholavira;Harappa;Kalibangan","POT:T:g;SEAL;SEAL:S;TAB:B;TAG"
"520","016","520-220-016","6","5","2","0.3333","+400-520-220-016+","6","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I"
"740","000","740-220-000","6","5","2","0.3333","+090-740-220-000[","6","4","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:C;TAG"
"740","415","740-220-415","6","2","5","0.8333","+400-740-220-415-798+","6","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B"
"<START>","415","<START>-220-415","5","1","5","1","]220-415+","5","2","Harappa;Mohenjo-daro","SEAL:R;TAB:I"
"000","002","000-220-002","5","5","1","0.2","]000-220-002-000[","5","2","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAG:O"
"000","415","000-220-415","5","4","2","0.4","+400-000-220-415+","5","2","Harappa;Mohenjo-daro","ROD;SEAL:R;SEAL:S;TAB:I"
"002","455","002-220-455","5","5","1","0.2","+002-220-455-000+","5","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B"
"032","<END>","032-220-<END>","5","4","2","0.4","+690-590-032-220+","5","1","Harappa","TAB:B;TAB:I"
"235","032","235-220-032","5","5","1","0.2","+520-075-235-220-032-060-000[","5","3","Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:S;TAG"
"440","<END>","440-220-<END>","5","4","2","0.4","+400-154-440-220+","5","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B"
"520","240","520-220-240","5","5","1","0.2","+520-220-240-002-820+","5","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B"
"590","003","590-220-003","5","5","1","0.2","]590-220-003+","5","3","Harappa;Kish;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:C"
"845","415","845-220-415","5","2","4","0.8","+407-845-220-415+","5","1","Mohenjo-daro","SEAL:R;TAB:C"
"<START>","700","<START>-220-700","4","2","3","0.75","+220-700-004+","4","1","Harappa","TAB:B;TAB:I"
"000","032","000-220-032","4","4","1","0.25","]000-220-032-002-820+","4","3","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:S"
"176","415","176-220-415","4","4","1","0.25","]176-220-415-060-920+","4","2","Chanhu-daro;Mohenjo-daro","SEAL:S"
"233","032","233-220-032","4","4","1","0.25","+161-233-220-032-741-831+","4","3","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S"
"520","002","520-220-002","4","4","1","0.25","+520-220-002-727-317+","4","2","Banawali;Mohenjo-daro","SEAL:S;TAG"
"740","<END>","740-220-<END>","4","4","1","0.25","+090-740-220+","4","3","Dholavira;Harappa;Mohenjo-daro","SEAL:R;TAB:B;TAB:I;TAG"
"740","032","740-220-032","4","4","1","0.25","+090-740-220-032+","4","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S"
"904","032","904-220-032","4","4","1","0.25","]904-220-032-002[","4","2","Lothal;Mohenjo-daro","SEAL;SEAL:R;SEAL:S"
"002","065","002-220-065","3","3","1","0.3333","+520-231-002-220-065-132-082+","3","2","Kalibangan;Mohenjo-daro","SEAL:S"
"176","<END>","176-220-<END>","3","2","2","0.6667","+740-176-220[","3","3","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;TAB:B"
"176","032","176-220-032","3","2","2","0.6667","+740-176-220-032+","3","1","Mohenjo-daro","SEAL:S;TAB:C"
"236","<END>","236-220-<END>","3","1","3","1","+400-236-220+","3","1","Harappa","TAB:B"
"255","032","255-220-032","3","3","1","0.3333","+740-176-690-435-255-220-032-806-060-550+","3","2","Harappa;Mohenjo-daro","SEAL:S"
"520","235","520-220-235","3","3","1","0.3333","+520-220-235-000-130-741+","3","1","Mohenjo-daro","SEAL:S"
"550","<END>","550-220-<END>","3","2","2","0.6667","+526-550-220+","3","1","Harappa","TAB:B;TAB:I"
"705","415","705-220-415","3","3","1","0.3333","+520-033-705-220-415-002-861+","3","1","Mohenjo-daro","SEAL:R;SEAL:S"
"717","415","717-220-415","3","3","1","0.3333","+100-904-717-220-415-806-742+","3","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S"
"740","016","740-220-016","3","3","1","0.3333","+090-740-220-016-002-297-190-920-140+","3","2","Mohenjo-daro;Nausharo","SEAL:S"
"923","032","923-220-032","3","3","1","0.3333","+000-740-923-220-032-002-817+","3","1","Mohenjo-daro","SEAL:S"
