"prev","next","count","known_next","sites","types","damaged_or_open_count","examples"
"<START>","<END>","19","False","Guddal A;Harappa;Kalibangan;Kanmer;Lothal;Mohenjo-daro","MISC;POT:M;POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I","9","187.2;250.1;252.1;553.2;568.1;984.1;1029.1;1519.1;1520.1;1767.1"
"<START>","000","10","True","Allahdino;Chandigarh;Chanhu-daro;Dholavira;Harappa","MISC;POT:T:g;POT:T:p;SEAL;TAB:B;TAG","4","4.1;53.1;115.1;595.1;824.2;925.2;928.1;1159.1;4199.1;4298.1"
"<START>","032","6","True","Farmana;Harappa;Mohenjo-daro","POT:T:g;POT:T:s;SEAL:R;SEAL:S","4","151.1;175.1;538.1;1555.1;2400.1;3950.1"
"<START>","415","5","True","Harappa;Mohenjo-daro","SEAL:R;TAB:I","5","673.2;770.2;865.2;1025.2;4009.1"
"<START>","700","4","True","Harappa","TAB:B;TAB:I","1","302.2;1324.1;1793.2;4056.2"
"<START>","016","2","True","Harappa","POT:T:s;SEAL:S","0","173.1;318.1"
"<START>","033","2","True","Harappa","POT:T:s","0","1017.1;1032.1"
"<START>","063","2","True","Chanhu-daro;Harappa","MISC;SEAL:S","0","119.1;1065.1"
"<START>","065","2","True","Mohenjo-daro","SEAL:S","1","2678.1;3289.1"
"<START>","455","2","True","Karzakan;Mohenjo-daro","SEAL:C;SEAL:S","0","2195.1;5227.1"
"<START>","002","1","True","Lothal","TAG","1","2131.1"
"<START>","014","1","True","Banawali","SEAL:S","0","28.1"
"<START>","017","1","True","Harappa","SEAL:S","0","1070.1"
"<START>","150","1","True","Kalibangan","POT:T:g","1","5313.1"
"<START>","233","1","True","Harappa","TAB:I","0","416.1"
"<START>","416","1","True","Pabumath","SEAL:S","1","3861.1"
"<START>","500","1","True","Harappa","SEAL:S","0","293.1"
"<START>","760","1","True","Harappa","TAB:I","1","795.2"
"<START>","786","1","True","Mohenjo-daro","SEAL:R","0","2910.1"
"000","<END>","11","False","Harappa;Kalibangan;Lothal;Mohenjo-daro;Rakhigarhi","MDLN;POT:T:g;TAB:B;TAB:I;TAG","7","186.1;308.2;517.2;891.2;1806.1;2086.1;2518.1;2928.2;5309.1;5397.1"
"000","000","6","True","Banawali;Dholavira;Harappa;Kalibangan","POT:T:g;SEAL;SEAL:S;TAB:B;TAG","3","166.1;1408.1;1686.2;3377.1;3964.1;5567.1"
"000","002","5","True","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAG:O","3","223.1;1394.1;1399.1;3540.1;3721.1"
"000","415","5","True","Harappa;Mohenjo-daro","ROD;SEAL:R;SEAL:S;TAB:I","2","1849.1;2902.1;3082.1;4042.1;4044.1"
"000","032","4","True","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:S","2","101.1;1078.1;2501.1;3989.1"
"000","240","2","True","Dholavira;Lothal","TAG","2","2119.1;4289.1"
"000","003","1","True","Kalibangan","SEAL:S","0","1883.1"
"000","004","1","True","Harappa","TAB:B","0","744.2"
"000","031","1","True","Mohenjo-daro","SEAL:S","1","2400.1"
"000","241","1","True","Mohenjo-daro","SEAL:S","1","2824.1"
"000","390","1","True","Tello","SEAL:S","0","3885.1"
"000","617","1","True","Lothal","TAG","1","2120.1"
"000","741","1","True","Kalibangan","SEAL:S","0","1889.1"
"000","832","1","True","Mohenjo-daro","SEAL","1","4018.1"
"000","838","1","True","Chanhu-daro","SEAL:S","1","63.1"
"000","840","1","True","Harappa","POT:T:g","1","206.1"
"002","455","5","True","Harappa;Mohenjo-daro","SEAL:S;TAB:B","0","388.2;1139.1;1293.1;2557.1;2674.1"
"002","065","3","True","Kalibangan;Mohenjo-daro","SEAL:S","0","1899.1;2574.1;2667.1"
"002","000","1","True","Harappa","SEAL:S","1","1537.1"
"002","627","1","True","Mohenjo-daro","TAG:O","0","3712.1"
"002","880","1","True","Mohenjo-daro","SEAL:S","0","3097.1"
"032","<END>","5","False","Harappa","TAB:B;TAB:I","1","485.1;586.1;632.1;902.2;904.2"
"032","002","1","True","Mohenjo-daro","SEAL:S","0","2292.1"
"032","415","1","True","Mohenjo-daro","SEAL:S","0","2580.1"
"176","235","7","True","Harappa","TAB:B","0","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"176","415","4","True","Chanhu-daro;Mohenjo-daro","SEAL:S","2","83.1;3074.1;3338.1;3409.1"
"176","<END>","3","False","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;TAB:B","2","467.2;1954.1;3599.1"
"176","032","3","True","Mohenjo-daro","SEAL:S;TAB:C","1","2550.1;2987.2;2988.2"
"176","803","1","True","Mohenjo-daro","SEAL:S","0","2772.1"
"233","032","4","True","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","0","1416.1;1544.1;2041.1;2871.1"
"233","002","2","True","Lothal;Mohenjo-daro","SEAL:S;TAG","1","2129.2;2357.3"
"233","<END>","1","False","Harappa","TAB:B","0","1738.2"
"233","001","1","True","Mohenjo-daro","SEAL:S","1","3073.1"
"233","240","1","True","Lothal","TAG","0","2077.1"
"233","415","1","True","Mohenjo-daro","SEAL:S","0","3305.1"
"235","032","5","True","Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:S;TAG","1","1020.1;3085.1;3147.1;3847.1;5456.1"
"235","<END>","2","False","Dholavira;Harappa","SEAL:S;TAB:B","1","1019.2;4224.1"
"235","031","1","True","Harappa","SEAL:R","0","1170.1"
"240","032","10","True","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1","62.1;920.1;1522.1;2417.1;2577.1;2763.1;2837.1;3081.1;3146.1;3572.1"
"240","<END>","2","False","Farmana;Harappa","SEAL:S;TAB:I","0","149.1;217.1"
"240","002","1","True","Mohenjo-daro","SEAL","0","2277.1"
"240","255","1","True","Mohenjo-daro","SEAL:S","0","2660.1"
"240","415","1","True","Mohenjo-daro","SEAL:R","0","2865.1"
"318","415","11","True","Harappa","TAB:B","0","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1"
"520","415","28","True","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","2","221.1;479.1;481.1;485.2;517.1;816.1;841.1;848.1;913.1;913.2"
"520","<END>","7","False","Harappa;Mohenjo-daro","SEAL:S;TAB:I","3","277.2;282.2;739.1;1351.1;1500.1;2710.1;3371.1"
"520","016","6","True","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","1","258.1;1153.1;1680.1;1822.1;2510.1;3140.1"
"520","240","5","True","Harappa;Mohenjo-daro","SEAL:S;TAB:B","0","199.1;1258.1;2265.1;2506.1;3357.1"
"520","002","4","True","Banawali;Mohenjo-daro","SEAL:S;TAG","1","41.1;2268.1;2827.1;3509.1"
"520","235","3","True","Mohenjo-daro","SEAL:S","0","2551.1;2757.1;3464.1"
"520","003","2","True","Mohenjo-daro","SEAL:S","0","2441.1;2516.1"
"520","032","2","True","Dholavira;Mohenjo-daro","SEAL:S;TAB:I","1","3421.1;4170.1"
"520","001","1","True","Mohenjo-daro","SEAL:S","0","3995.1"
"520","004","1","True","Mohenjo-daro","SEAL:S","0","2603.1"
"520","006","1","True","Kalibangan","SEAL:S","0","5277.1"
"520","031","1","True","Mohenjo-daro","SEAL:S","0","2593.1"
"520","034","1","True","Mohenjo-daro","SEAL:S","0","3556.1"
"520","060","1","True","Mohenjo-daro","SEAL:S","0","2816.1"
"520","368","1","True","Mohenjo-daro","SEAL:S","0","2485.1"
"520","621","1","True","Mohenjo-daro","SEAL:S","0","2681.1"
"520","742","1","True","Nausharo","SEAL:S","0","5360.1"
"520","803","1","True","Mohenjo-daro","SEAL:S","0","2513.1"
"590","003","5","True","Harappa;Kish;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:C","1","174.1;1175.1;1971.1;2621.1;3066.2"
"590","<END>","1","False","Lothal","TAG","1","2122.1"
"590","032","1","True","Mohenjo-daro","SEAL:R","0","2888.1"
"590","033","1","True","Rupar","POT:T:g","0","3871.1"
"590","235","1","True","Mohenjo-daro","SEAL:R","0","2855.1"
"590","463","1","True","Dholavira","SEAL:S","0","4229.1"
"740","055","11","True","Lothal","TAG;TAG:L;TAG:W","0","2068.1;2069.1;2070.1;2071.1;2072.1;2112.1;2113.1;2115.1;2117.1;2125.1"
"740","003","10","True","Harappa;Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","0","237.1;1127.1;1884.1;2814.1;3149.1;3713.1;3720.1;3722.1;3723.1;3724.1"
"740","000","6","True","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:C;TAG","4","576.1;1409.1;2111.1;3069.1;3161.1;4191.1"
