"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","length","position_0","position_1","at_start","at_end","prev","next","next2","prev2","frame","damaged_or_open"
"4.1","-","Allahdino","Lower Indus","--","Clay","-","POT:T:g","1","Poor","N","-","??","2","+220-000+","220-000","2","0","1","True","False","<START>","000","<END>","<START>","<START>-220-000","False"
"27.1","B-1","Banawali","Eastern Headwaters","--","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+090-740-220-002-368-550-821+","090-740-220-002-368-550-821","7","2","3","False","False","740","002","368","090","740-220-002","False"
"28.1","B-3","Banawali","Eastern Headwaters","--","-","square","SEAL:S","1","Poor","Y","R/L","ZN","2","+220-014+","220-014","2","0","1","True","False","<START>","014","<END>","<START>","<START>-220-014","False"
"41.1","B-23","Banawali","Eastern Headwaters","--","-","-","TAG","1","Poor","?","T/B","UC","3+?","+520-220-002[","520-220-002","3","1","2","False","False","520","002","<END>","<START>","520-220-002","True"
"53.1","Ch-1","Chandigarh","Eastern Headwaters","--","Clay","-","POT:T:g","1","Fair","N","-","??","5","+220-000-740-550-705+","220-000-740-550-705","5","0","1","True","False","<START>","000","740","<START>","<START>-220-000","False"
"62.1","C-65","Chanhu-daro","Lower Indus","--","Steatite","square","SEAL:S","1","Good","N","R/L","??","7","+000-100-240-220-032-002-861+","000-100-240-220-032-002-861","7","3","4","False","False","240","032","002","100","240-220-032","False"
"63.1","C-64","Chanhu-daro","Lower Indus","--","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6+?","]000-220-838-033-705-240+","000-220-838-033-705-240","6","1","2","False","False","000","838","033","<START>","000-220-838","True"
"83.1","C-62","Chanhu-daro","Lower Indus","--","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","5+?","]176-220-415-060-920+","176-220-415-060-920","5","1","2","False","False","176","415","060","<START>","176-220-415","True"
"101.1","C-13","Chanhu-daro","Lower Indus","--","Steatite","square","SEAL:S","1","Poor","N","R/L","??","5+?","]000-220-032-060-766+","000-220-032-060-766","5","1","2","False","False","000","032","060","<START>","000-220-032","True"
"115.1","C-33","Chanhu-daro","Lower Indus","--","Steatite","circular","MISC","1","Poor","N","BUS","??","5","+220-000-740/741-255+","220-000-740-741-255","5","0","1","True","False","<START>","000","740","<START>","<START>-220-000","False"
"119.1","C-38","Chanhu-daro","Lower Indus","--","Copper","amorph","MISC","1","Poor","N","T/B","??","4","+220-063-706-000+","220-063-706-000","4","0","1","True","False","<START>","063","706","<START>","<START>-220-063","False"
"149.1","-","Farmana","Eastern Headwaters","East AreaSE","Steatite","square","SEAL:S","1","Good","Y","L/R","SS","2","+240-220+","240-220","2","1","2","False","True","240","<END>","<END>","<START>","240-220-<END>","False"
"151.1","-","Farmana","Eastern Headwaters","North AreaTrench 02","Steatite","square","SEAL:S","1","Fair","Y","R/L","ZN","2","+220-032+","220-032","2","0","1","True","False","<START>","032","<END>","<START>","<START>-220-032","False"
