"prev","site","type","total","known_next","damaged_or_open_count","exact_triplet_count","source_hint_occurrence_count","dominant_next","dominant_next_count","dominant_next_share","next_dist","examples"
"<START>","Harappa","TAB:I","14","9","7","3","0","415","4","0.444444","415:4;700:3;233:1;760:1","187.2;250.1;252.1;416.1;673.2;770.2;795.2;865.2;1025.2;1324.1"
"<START>","Harappa","TAB:B","7","5","3","1","0","000","4","0.8","000:4;700:1","302.2;553.2;568.1;595.1;824.2;925.2;928.1"
"<START>","Harappa","POT:T:s","5","4","1","0","0","033","2","0.5","033:2;016:1;032:1","173.1;1017.1;1029.1;1032.1;3950.1"
"<START>","Harappa","SEAL:S","5","4","1","1","0","016","1","0.25","016:1;017:1;063:1;500:1","293.1;318.1;1065.1;1070.1;1519.1"
"<START>","Mohenjo-daro","SEAL:S","5","4","3","1","0","065","2","0.5","065:2;032:1;455:1","2195.1;2400.1;2678.1;3289.1;3292.1"
"<START>","Harappa","POT:T:g","4","2","3","0","0","032","2","1","032:2","175.1;538.1;984.1;4132.1"
"<START>","Mohenjo-daro","SEAL:R","3","2","1","1","0","415","1","0.5","415:1;786:1","2906.1;2910.1;4009.1"
"<START>","Chanhu-daro","MISC","2","2","0","0","0","000","1","0.5","000:1;063:1","115.1;119.1"
"<START>","Allahdino","POT:T:g","1","1","0","0","0","000","1","1","000:1","4.1"
"<START>","Banawali","SEAL:S","1","1","0","0","0","014","1","1","014:1","28.1"
"<START>","Chandigarh","POT:T:g","1","1","0","0","0","000","1","1","000:1","53.1"
"<START>","Dholavira","SEAL","1","1","1","0","0","000","1","1","000:1","4199.1"
"<START>","Dholavira","TAG","1","1","1","0","0","000","1","1","000:1","4298.1"
"<START>","Farmana","SEAL:S","1","1","0","0","0","032","1","1","032:1","151.1"
"<START>","Guddal A","POT:T:g","1","0","1","0","0","","0",,"","5418.1"
"<START>","Harappa","POT:M","1","0","0","0","0","","0",,"","4108.1"
"<START>","Harappa","POT:T:p","1","1","1","0","0","000","1","1","000:1","1159.1"
"<START>","Harappa","SEAL","1","0","1","0","0","","0",,"","1520.1"
"<START>","Harappa","SEAL:R","1","1","1","0","0","032","1","1","032:1","1555.1"
"<START>","Kalibangan","MISC","1","0","0","0","0","","0",,"","5351.1"
"<START>","Kalibangan","POT:T:g","1","1","1","0","0","150","1","1","150:1","5313.1"
"<START>","Kanmer","POT:T:g","1","0","0","0","0","","0",,"","5452.1"
"<START>","Karzakan","SEAL:C","1","1","0","0","0","455","1","1","455:1","5227.1"
"<START>","Lothal","SEAL:S","1","0","0","0","0","","0",,"","2032.4"
"<START>","Lothal","TAG","1","1","1","0","0","002","1","1","002:1","2131.1"
"<START>","Pabumath","SEAL:S","1","1","1","0","0","416","1","1","416:1","3861.1"
"000","Mohenjo-daro","SEAL:S","6","6","4","0","0","032","2","0.333333","032:2;002:1;031:1;241:1;415:1","2400.1;2501.1;2824.1;3082.1;3540.1;3989.1"
"000","Harappa","POT:T:g","5","3","4","1","0","000","1","0.333333","000:1;002:1;840:1","166.1;186.1;206.1;1394.1;5397.1"
"000","Harappa","TAB:I","4","1","1","1","0","415","1","1","415:1","308.2;891.2;1806.1;1849.1"
"000","Harappa","SEAL:S","3","3","1","0","0","002","2","0.666667","002:2;032:1","223.1;1078.1;1399.1"
"000","Harappa","TAB:B","3","3","0","0","0","000","2","0.666667","000:2;004:1","744.2;1686.2;3964.1"
"000","Lothal","TAG","3","2","3","0","0","240","1","0.5","240:1;617:1","2086.1;2119.1;2120.1"
"000","Chanhu-daro","SEAL:S","2","2","2","0","0","032","1","0.5","032:1;838:1","63.1;101.1"
"000","Dholavira","TAG","2","2","2","0","0","000","1","0.5","000:1;240:1","3377.1;4289.1"
"000","Kalibangan","SEAL:S","2","2","0","0","0","003","1","0.5","003:1;741:1","1883.1;1889.1"
"000","Mohenjo-daro","ROD","2","2","0","0","0","415","2","1","415:2","4042.1;4044.1"
"000","Banawali","SEAL:S","1","1","1","0","0","000","1","1","000:1","5567.1"
"000","Harappa","TAG","1","0","1","0","0","","0",,"","517.2"
"000","Kalibangan","POT:T:g","1","0","1","0","0","","0",,"","5309.1"
"000","Kalibangan","SEAL","1","1","1","0","0","000","1","1","000:1","1408.1"
"000","Mohenjo-daro","MDLN","1","0","0","0","0","","0",,"","2928.2"
"000","Mohenjo-daro","SEAL","1","1","1","0","0","832","1","1","832:1","4018.1"
"000","Mohenjo-daro","SEAL:R","1","1","1","0","0","415","1","1","415:1","2902.1"
"000","Mohenjo-daro","TAB:B","1","0","0","1","0","","0",,"","2518.1"
"000","Mohenjo-daro","TAG:O","1","1","1","0","0","002","1","1","002:1","3721.1"
"000","Rakhigarhi","TAB:I","1","0","1","0","0","","0",,"","5562.1"
"000","Tello","SEAL:S","1","1","0","0","0","390","1","1","390:1","3885.1"
"001","Mohenjo-daro","SEAL:S","2","2","0","0","0","415","1","0.5","415:1;786:1","2377.1;2697.1"
"001","Kalibangan","SEAL:S","1","1","0","0","0","455","1","1","455:1","1882.1"
"001","Mohenjo-daro","SEAL","1","0","1","0","0","","0",,"","3405.1"
"001","Mohenjo-daro","SEAL:R","1","1","1","0","0","455","1","1","455:1","3634.1"
"001","Unknown","SEAL:C","1","1","0","0","0","033","1","1","033:1","5224.1"
"002","Mohenjo-daro","SEAL:S","5","5","0","0","0","065","2","0.4","065:2;455:2;880:1","2557.1;2574.1;2667.1;2674.1;3097.1"
"002","Harappa","SEAL:S","3","3","1","0","0","455","2","0.666667","455:2;000:1","1139.1;1293.1;1537.1"
"002","Harappa","TAB:B","1","1","0","0","0","455","1","1","455:1","388.2"
"002","Kalibangan","SEAL:S","1","1","0","0","0","065","1","1","065:1","1899.1"
"002","Mohenjo-daro","TAG:O","1","1","0","0","0","627","1","1","627:1","3712.1"
"013","Dholavira","SEAL:R","1","1","0","0","0","455","1","1","455:1","4194.1"
"016","Harappa","POT:T:s","1","1","0","1","0","382","1","1","382:1","715.1"
"017","Mohenjo-daro","TAB:C","2","0","0","0","0","","0",,"","2284.2;3061.2"
"017","Harappa","SEAL:S","1","1","0","0","0","415","1","1","415:1","1536.1"
"029","Ra's al-Junayz","POT:T:g","1","1","1","0","0","000","1","1","000:1","3864.1"
"031","Kot-Diji","POT:T:g","1","1","0","0","0","000","1","1","000:1","1972.1"
"032","Harappa","TAB:B","3","0","0","1","0","","0",,"","485.1;902.2;904.2"
"032","Harappa","TAB:I","2","0","1","1","0","","0",,"","586.1;632.1"
"032","Mohenjo-daro","SEAL:S","2","2","0","0","0","002","1","0.5","002:1;415:1","2292.1;2580.1"
"033","Kalibangan","POT:T:g","1","1","1","0","0","520","1","1","520:1","1950.1"
"036","Mohenjo-daro","TAB:B","1","1","0","0","0","415","1","1","415:1","3711.1"
"055","Harappa","SEAL:S","1","1","0","0","0","415","1","1","415:1","1294.1"
"055","Mohenjo-daro","SEAL:R","1","1","0","0","0","032","1","1","032:1","2877.1"
"060","Mohenjo-daro","SEAL:S","2","2","0","0","0","004","1","0.5","004:1;065:1","2592.1;3268.1"
"070","Mohenjo-daro","SEAL:R","1","1","1","0","0","032","1","1","032:1","3661.1"
"070","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","2403.1"
"074","Harappa","TAB:I","1","1","0","1","0","415","1","1","415:1","827.2"
"081","Mohenjo-daro","SEAL:S","1","0","0","0","0","","0",,"","2728.1"
"091","Saar","SEAL:C","1","1","0","0","0","055","1","1","055:1","5229.1"
"094","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","2657.1"
"100","Mohenjo-daro","SEAL:S","2","2","0","0","0","002","1","0.5","002:1;032:1","2735.1;3092.1"
"100","Lothal","SEAL:S","1","0","0","1","0","","0",,"","2011.1"
"100","Mohenjo-daro","TAB:B","1","0","0","1","0","","0",,"","2958.1"
"125","Gonur Depe","SEAL:S","1","1","0","0","0","235","1","1","235:1","4155.1"
"140","Harappa","SEAL:S","1","1","0","0","0","530","1","1","530:1","1548.1"
"140","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","2908.1"
"140","Mohenjo-daro","SEAL:S","1","1","0","0","0","001","1","1","001:1","2332.1"
"142","Harappa","TAB:I","2","0","0","0","0","","0",,"","491.1;589.1"
"151","Harappa","SEAL:S","1","1","0","0","0","016","1","1","016:1","1491.1"
"151","Mohenjo-daro","SEAL:S","1","0","0","0","0","","0",,"","3155.1"
"153","Dholavira","TAB:I","1","1","0","1","0","032","1","1","032:1","4286.1"
"175","Dholavira","SEAL:S","1","1","0","0","0","255","1","1","255:1","4236.1"
"176","Harappa","TAB:B","8","7","0","1","0","235","7","1","235:7","467.2;729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"176","Mohenjo-daro","SEAL:S","5","5","2","0","0","415","3","0.6","415:3;032:1;803:1","2550.1;2772.1;3074.1;3338.1;3409.1"
"176","Mohenjo-daro","TAB:C","2","2","0","0","0","032","2","1","032:2","2987.2;2988.2"
"176","Chanhu-daro","SEAL:S","1","1","1","0","0","415","1","1","415:1","83.1"
"176","Kalibangan","POT:T:g","1","0","1","0","0","","0",,"","1954.1"
"176","Mohenjo-daro","SEAL:R","1","0","1","0","0","","0",,"","3599.1"
"222","Mohenjo-daro","TAB:C","1","1","0","0","0","235","1","1","235:1","3773.1"
"227","Mohenjo-daro","SEAL:R","1","1","1","0","0","000","1","1","000:1","4017.1"
"231","Mohenjo-daro","SEAL:S","2","2","0","0","0","002","1","0.5","002:1;455:1","2589.1;3278.1"
"231","Chanhu-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","98.1"
"231","Kalibangan","SEAL:S","1","1","0","0","0","032","1","1","032:1","5273.1"
"232","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","3519.1"
"233","Mohenjo-daro","SEAL:S","3","3","1","0","0","001","1","0.333333","001:1;002:1;415:1","2357.3;3073.1;3305.1"
"233","Harappa","SEAL:S","2","2","0","0","0","032","2","1","032:2","1416.1;1544.1"
"233","Lothal","TAG","2","2","1","0","0","002","1","0.5","002:1;240:1","2077.1;2129.2"
