"prev","site","type","total","known_next","dominant_next","dominant_count","dominant_share","next415_count","next_dist","examples"
"<START>","Harappa","TAB:I","14","9","415","4","0.4444","4","415:4;700:3;233:1;760:1","187.2;250.1;252.1;416.1;673.2;770.2;795.2;865.2"
"<START>","Harappa","TAB:B","7","5","000","4","0.8","0","000:4;700:1","302.2;553.2;568.1;595.1;824.2;925.2;928.1"
"<START>","Harappa","POT:T:s","5","4","033","2","0.5","0","033:2;032:1;016:1","173.1;1017.1;1029.1;1032.1;3950.1"
"<START>","Harappa","SEAL:S","5","4","016","1","0.25","0","016:1;017:1;063:1;500:1","293.1;318.1;1065.1;1070.1;1519.1"
"<START>","Mohenjo-daro","SEAL:S","5","4","065","2","0.5","0","065:2;032:1;455:1","2195.1;2400.1;2678.1;3289.1;3292.1"
"<START>","Harappa","POT:T:g","4","2","032","2","1","0","032:2","175.1;538.1;984.1;4132.1"
"<START>","Mohenjo-daro","SEAL:R","3","2","415","1","0.5","1","415:1;786:1","2906.1;2910.1;4009.1"
"000","Mohenjo-daro","SEAL:S","6","6","032","2","0.3333","1","032:2;002:1;031:1;241:1;415:1","2400.1;2501.1;2824.1;3082.1;3540.1;3989.1"
"000","Harappa","POT:T:g","5","3","000","1","0.3333","0","000:1;002:1;840:1","166.1;186.1;206.1;1394.1;5397.1"
"000","Harappa","TAB:I","4","1","415","1","1","1","415:1","308.2;891.2;1806.1;1849.1"
"000","Harappa","SEAL:S","3","3","002","2","0.6667","0","002:2;032:1","223.1;1078.1;1399.1"
"000","Harappa","TAB:B","3","3","000","2","0.6667","0","000:2;004:1","744.2;1686.2;3964.1"
"000","Lothal","TAG","3","2","240","1","0.5","0","240:1;617:1","2086.1;2119.1;2120.1"
"002","Mohenjo-daro","SEAL:S","5","5","065","2","0.4","0","065:2;455:2;880:1","2557.1;2574.1;2667.1;2674.1;3097.1"
"002","Harappa","SEAL:S","3","3","455","2","0.6667","0","455:2;000:1","1139.1;1293.1;1537.1"
"032","Harappa","TAB:B","3","0","<NONE>","0",,"0","","485.1;902.2;904.2"
"176","Harappa","TAB:B","8","7","235","7","1","0","235:7","467.2;729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"176","Mohenjo-daro","SEAL:S","5","5","415","3","0.6","3","415:3;032:1;803:1","2550.1;2772.1;3074.1;3338.1;3409.1"
"233","Mohenjo-daro","SEAL:S","3","3","001","1","0.3333","1","001:1;002:1;415:1","2357.3;3073.1;3305.1"
"235","Mohenjo-daro","SEAL:S","3","3","032","3","1","0","032:3","3085.1;3147.1;3847.1"
"236","Harappa","TAB:B","3","0","<NONE>","0",,"0","","751.2;927.2;3969.1"
"240","Mohenjo-daro","SEAL:S","7","7","032","6","0.8571","0","032:6;255:1","2417.1;2577.1;2660.1;2763.1;2837.1;3081.1;3146.1"
"255","Mohenjo-daro","SEAL:S","3","3","032","2","0.6667","0","032:2;063:1","2475.1;2490.1;2566.1"
"318","Harappa","TAB:B","11","11","415","11","1","11","415:11","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1"
"440","Mohenjo-daro","SEAL:S","4","2","032","1","0.5","0","032:1;705:1","3078.1;3169.1;3360.1;3431.1"
"520","Mohenjo-daro","SEAL:S","31","29","415","7","0.2414","7","415:7;002:3;235:3;240:3;003:2;016:2;001:1;004:1","2265.1;2268.1;2420.1;2441.1;2485.1;2506.1;2510.1;2513.1"
"520","Harappa","TAB:I","17","14","415","13","0.9286","13","415:13;016:1","221.1;277.2;282.2;481.1;816.1;841.1;848.1;1341.1"
"520","Harappa","TAB:B","7","7","415","4","0.5714","4","415:4;016:2;240:1","258.1;485.2;913.1;913.2;1258.1;1677.2;1680.1"
"520","Harappa","SEAL:S","5","3","016","1","0.3333","1","016:1;240:1;415:1","199.1;479.1;739.1;1153.1;1500.1"
"705","Mohenjo-daro","SEAL:S","3","3","032","1","0.3333","1","032:1;415:1;803:1","2178.1;2644.1;3529.1"
"740","Mohenjo-daro","SEAL:S","12","12","003","2","0.1667","1","003:2;016:2;000:1;014:1;032:1;060:1;235:1;415:1","2313.1;2581.1;2631.1;2654.1;2663.1;2783.1;2814.1;2823.1"
"740","Lothal","TAG","6","6","055","5","0.8333","0","055:5;000:1","2072.1;2111.1;2112.1;2113.1;2115.1;2117.1"
"740","Harappa","SEAL:S","5","5","000","2","0.4","0","000:2;003:2;032:1","237.1;576.1;1127.1;1409.1;1480.1"
"740","Lothal","TAG:L","5","5","055","5","1","0","055:5","2068.1;2069.1;2070.1;2071.1;5388.1"
"740","Mohenjo-daro","TAB:B","5","5","003","3","0.6","2","003:3;415:2","2953.1;2954.1;3713.1;3720.1;3723.1"
"740","Harappa","TAB:B","4","3","415","3","1","3","415:3","1234.1;1640.1;1641.1;1659.1"
"740","Mohenjo-daro","SEAL:R","4","3","003","2","0.6667","0","003:2;032:1","3427.1;3617.1;3722.1;3724.1"
"798","Mohenjo-daro","SEAL:S","3","3","032","1","0.3333","1","032:1;060:1;415:1","2427.1;2618.1;3100.1"
"845","Mohenjo-daro","TAB:C","4","4","415","4","1","4","415:4","2983.1;2984.1;3733.1;3734.1"
"923","Mohenjo-daro","SEAL:S","3","3","032","3","1","0","032:3","2651.1;2699.1;3144.1"
