"id","cisi","prev","next","frame","site","type","text","companion_text","companion_class"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-235+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+405-844-032-840-002-861+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+520-001+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000-000-000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+390-003-003+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+006+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+236-002-820+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-760-000-742-013/742-552+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+151-892-032+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+156-019+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+093-808+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+244-165/740-879-220-416-803-002-861+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+520-460-495+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-416-002-861+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+520-460+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+154-388-717-705+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+590-407-790-032+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+390-016-002-861+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+617-142+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+520-033-706-233+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-100-407-590+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+520-033[","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+090-740-000[","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000-400-350-031-002-817+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+798-821-031-645-850-820-388-611-820+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+317-817-000-090+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","]090-001-350-716+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+240-220+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-760-445+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+220-032+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","]615-715+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+390-371+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+390-371+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","]390-390[","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","]740+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+400-740-900[","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+236-140-893-861+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+617-117+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+031-463-000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","]000-055-033-033+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000-000-033+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+415-000-160+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+692+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-000-892+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+700-033+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000-000-000-000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+400-740-100-176-000+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+000-000-002-257-550+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+804-740-219+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+700-033+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+740-031-904-001-032+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+700-031-000-032+","one_sign_or_contains_110"
"4.1","-","<START>","000","<START>-220-000","Allahdino","POT:T:g","+220-000+","+868-705-590+","one_sign_or_contains_110"
