"prev","next","frame","strict_row_count","dedup_text_units","cisi_count","site_count","type_count","largest_text_family_count","largest_text_family_share","largest_text","companion_profile","sites","types","examples"
"520","415","520-220-415","26","10","25","3","4","17","0.6538","+520-220-415+","no_companion_side:11;700_034_branch:4;longer_other:3;700_032_branch:2;companion_starts_520_220:2;one_sign_or_contains_110:2;700_other_branch:1;two_sign_other:1","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I","221.1;479.1;481.1;485.2;816.1;841.1;848.1;913.1;913.2;1341.1;1366.1;1383.1"
"318","415","318-220-415","11","1","11","1","1","11","1","+740-407-590-690-436-255-920-318-220-415-803+","no_companion_side:10;one_sign_or_contains_110:1","Harappa","TAB:B","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1"
"740","055","740-220-055","11","1","11","1","3","11","1","+090-740-220-055-001-741-500-705+","no_companion_side:7;longer_other:4","Lothal","TAG;TAG:L;TAG:W","2068.1;2069.1;2070.1;2071.1;2072.1;2112.1;2113.1;2115.1;2117.1;2125.1;5388.1"
"740","003","740-220-003","10","6","10","3","3","5","0.5","+740-220-003+","no_companion_side:10","Harappa;Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","237.1;1127.1;1884.1;2814.1;3149.1;3713.1;3720.1;3722.1;3723.1;3724.1"
"240","032","240-220-032","9","9","9","3","2","1","0.1111","+000-100-240-220-032-002-861+","no_companion_side:9","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S","62.1;920.1;2417.1;2577.1;2763.1;2837.1;3081.1;3146.1;3572.1"
"176","235","176-220-235","7","1","7","1","1","7","1","+740-176-220-235+","longer_other:7","Harappa","TAB:B","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"<START>","000","<START>-220-000","6","6","6","4","3","1","0.1667","+220-000-000-000+","longer_other:2;no_companion_side:2;one_sign_or_contains_110:1;two_sign_other:1","Allahdino;Chandigarh;Chanhu-daro;Harappa","MISC;POT:T:g;TAB:B","4.1;53.1;115.1;595.1;824.2;925.2"
"740","415","740-220-415","6","2","6","2","2","5","0.8333","+400-740-220-415-798+","no_companion_side:5;700_033_branch:1","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1234.1;1641.1;1659.1;2953.1;2954.1;3084.1"
"002","455","002-220-455","5","5","5","2","2","1","0.2","+002-220-455-000+","no_companion_side:4;700_034_branch:1","Harappa;Mohenjo-daro","SEAL:S;TAB:B","388.2;1139.1;1293.1;2557.1;2674.1"
"520","016","520-220-016","5","4","5","2","3","2","0.4","+400-520-220-016+","700_033_branch:3;no_companion_side:2","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","258.1;1153.1;1680.1;1822.1;2510.1"
"520","240","520-220-240","5","5","5","2","2","1","0.2","+520-220-240-002-820+","no_companion_side:4;700_033_branch:1","Harappa;Mohenjo-daro","SEAL:S;TAB:B","199.1;1258.1;2265.1;2506.1;3357.1"
"233","032","233-220-032","4","4","4","3","2","1","0.25","+161-233-220-032-741-831+","no_companion_side:4","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","1416.1;1544.1;2041.1;2871.1"
"235","032","235-220-032","4","4","4","3","2","1","0.25","+520-235-220-032+","no_companion_side:3;one_sign_or_contains_110:1","Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:S;TAG","1020.1;3085.1;3147.1;5456.1"
"590","003","590-220-003","4","4","4","3","3","1","0.25","+740-390-590-220-003-060-840-416+","no_companion_side:2;one_sign_or_contains_110:1;one_sign_other:1","Harappa;Kish;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","1175.1;1971.1;2621.1;3066.2"
"740","032","740-220-032","4","4","4","2","2","1","0.25","+090-740-220-032+","no_companion_side:4","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1480.1;1584.1;2313.1;3427.1"
"845","415","845-220-415","4","1","4","1","1","4","1","+407-845-220-415+","no_companion_side:3;longer_other:1","Mohenjo-daro","TAB:C","2983.1;2984.1;3733.1;3734.1"
"<START>","700","<START>-220-700","3","1","3","1","1","3","1","+220-700-004+","longer_other:3","Harappa","TAB:I","1324.1;1793.2;4056.2"
"000","000","000-220-000","3","3","3","1","2","1","0.3333","+000-220-000+","no_companion_side:2;700_033_branch:1","Harappa","POT:T:g;TAB:B","166.1;1686.2;3964.1"
"000","415","000-220-415","3","2","3","2","2","2","0.6667","+400-000-220-415+","no_companion_side:3","Harappa;Mohenjo-daro","ROD;TAB:I","1849.1;4042.1;4044.1"
"002","065","002-220-065","3","3","3","2","1","1","0.3333","+520-231-002-220-065-132-082+","no_companion_side:3","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;2574.1;2667.1"
"520","002","520-220-002","3","3","3","1","1","1","0.3333","+520-220-002-727-317+","no_companion_side:3","Mohenjo-daro","SEAL:S","2268.1;2827.1;3509.1"
"520","235","520-220-235","3","3","3","1","1","1","0.3333","+520-220-235-000-130-741+","no_companion_side:3","Mohenjo-daro","SEAL:S","2551.1;2757.1;3464.1"
"740","016","740-220-016","3","3","3","2","1","1","0.3333","+090-740-220-016-002-297-190-920-140+","no_companion_side:3","Mohenjo-daro;Nausharo","SEAL:S","2581.1;2663.1;3853.1"
"904","032","904-220-032","3","3","3","2","2","1","0.3333","+000-904-220-032-000-000-000+","no_companion_side:2;longer_other:1","Lothal;Mohenjo-daro","SEAL:R;SEAL:S","2032.5;2063.1;2381.1"
"<START>","016","<START>-220-016","2","1","2","1","2","2","1","+220-016+","no_companion_side:2","Harappa","POT:T:s;SEAL:S","173.1;318.1"
"<START>","032","<START>-220-032","2","1","2","2","2","2","1","+220-032+","no_companion_side:1;one_sign_or_contains_110:1","Farmana;Harappa","POT:T:s;SEAL:S","151.1;3950.1"
"<START>","033","<START>-220-033","2","1","2","1","1","2","1","+220-033+","no_companion_side:2","Harappa","POT:T:s","1017.1;1032.1"
"<START>","063","<START>-220-063","2","2","2","2","2","1","0.5","+220-063-051+","no_companion_side:2","Chanhu-daro;Harappa","MISC;SEAL:S","119.1;1065.1"
"<START>","455","<START>-220-455","2","2","2","2","2","1","0.5","+220-455-031-091+","no_companion_side:1;one_sign_or_contains_110:1","Karzakan;Mohenjo-daro","SEAL:C;SEAL:S","2195.1;5227.1"
"000","002","000-220-002","2","2","2","1","1","1","0.5","+000-220-002-595-632-354-850+","no_companion_side:2","Harappa","SEAL:S","223.1;1399.1"
"000","032","000-220-032","2","2","2","1","1","1","0.5","+000-000-220-032+","no_companion_side:2","Mohenjo-daro","SEAL:S","2501.1;3989.1"
"176","032","176-220-032","2","1","2","1","1","2","1","+740-176-220-032+","700_other_branch:2","Mohenjo-daro","TAB:C","2987.2;2988.2"
"176","415","176-220-415","2","2","2","1","1","1","0.5","+740-176-220-415-798+","no_companion_side:2","Mohenjo-daro","SEAL:S","3074.1;3338.1"
"520","003","520-220-003","2","2","2","1","1","1","0.5","+520-220-003-741-060-920+","no_companion_side:2","Mohenjo-daro","SEAL:S","2441.1;2516.1"
"740","000","740-220-000","2","2","2","2","2","1","0.5","+090-740-220-000-000-000-000+","no_companion_side:2","Harappa;Mohenjo-daro","SEAL:S;TAB:C","576.1;3069.1"
"<START>","014","<START>-220-014","1","1","1","1","1","1","1","+220-014+","no_companion_side:1","Banawali","SEAL:S","28.1"
"<START>","017","<START>-220-017","1","1","1","1","1","1","1","+220-017+","no_companion_side:1","Harappa","SEAL:S","1070.1"
"<START>","065","<START>-220-065","1","1","1","1","1","1","1","+220-065-864+","no_companion_side:1","Mohenjo-daro","SEAL:S","2678.1"
"<START>","233","<START>-220-233","1","1","1","1","1","1","1","+220-233+","no_companion_side:1","Harappa","TAB:I","416.1"
"<START>","500","<START>-220-500","1","1","1","1","1","1","1","+220-500-520-002-862-032+","no_companion_side:1","Harappa","SEAL:S","293.1"
"<START>","786","<START>-220-786","1","1","1","1","1","1","1","+220-786-255+","no_companion_side:1","Mohenjo-daro","SEAL:R","2910.1"
"000","003","000-220-003","1","1","1","1","1","1","1","+000-000-220-003+","no_companion_side:1","Kalibangan","SEAL:S","1883.1"
"000","004","000-220-004","1","1","1","1","1","1","1","+740-000-220-004-002-390-095+","700_033_branch:1","Harappa","TAB:B","744.2"
"000","390","000-220-390","1","1","1","1","1","1","1","+000-220-390-440-384+","one_sign_or_contains_110:1","Tello","SEAL:S","3885.1"
"000","741","000-220-741","1","1","1","1","1","1","1","+000-031-003/000-220-741-703-632+","no_companion_side:1","Kalibangan","SEAL:S","1889.1"
"002","627","002-220-627","1","1","1","1","1","1","1","+484-140-002-220-627-615-906-388+","no_companion_side:1","Mohenjo-daro","TAG:O","3712.1"
"002","880","002-220-880","1","1","1","1","1","1","1","+740-717-233-002-220-880-689+","no_companion_side:1","Mohenjo-daro","SEAL:S","3097.1"
"176","803","176-220-803","1","1","1","1","1","1","1","+140-165-740-176-220-803+","no_companion_side:1","Mohenjo-daro","SEAL:S","2772.1"
"233","002","233-220-002","1","1","1","1","1","1","1","+000-233-220-002-861+","longer_other:1","Mohenjo-daro","SEAL:S","2357.3"
"233","240","233-220-240","1","1","1","1","1","1","1","+520-233-220-240-002-617+","no_companion_side:1","Lothal","TAG","2077.1"
"233","415","233-220-415","1","1","1","1","1","1","1","+740-390-590-233-220-415-798-838-002-820+","no_companion_side:1","Mohenjo-daro","SEAL:S","3305.1"
"235","031","235-220-031","1","1","1","1","1","1","1","+409-061-740-235-220-031-002-861-244-165+","no_companion_side:1","Harappa","SEAL:R","1170.1"
"240","002","240-220-002","1","1","1","1","1","1","1","+740-760-440-240-220-002-861+","no_companion_side:1","Mohenjo-daro","SEAL","2277.1"
"240","255","240-220-255","1","1","1","1","1","1","1","+527-550-240-220-255-812-906-388+","no_companion_side:1","Mohenjo-daro","SEAL:S","2660.1"
