"formula","count","sites","types","examples"
"400-740-176","39","Harappa;Mohenjo-daro","ROD;SEAL:R;TAB:B;TAB:I","260.2;265.1;267.1;463.2;585.1;1260.1;1330.1;1331.1"
"520-220-415","17","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","221.1;481.1;816.1;841.1;848.1;913.1;913.2;1341.1"
"000-000-000","15","Bhirrana;Chanhu-daro;Gola Dhoro (Bagasra);Harappa;Lothal;Mohenjo-daro","MISC;POT:T:g;SEAL:S;TAB:B;TAB:I;TAG:C","49.1;226.1;298.2;728.1;1716.2;1737.2;1795.2;1811.1"
"824-892-413","11","Harappa","TAB:B;TAB:I","295.1;438.2;459.1;472.2;556.1;1323.1;1677.1;1678.1"
"740-032-840","10","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","535.1;535.2;694.1;1215.1;1215.2;1328.1;1625.1;1715.2"
"740-840-013","8","Harappa;Kalibangan;Lothal;Mohenjo-daro","MISC;SEAL:R;SEAL:S;TAB:I","1188.1;1348.1;1804.1;1805.1;2000.1;2452.1;2479.1;5495.1"
"002-861-416","6","Harappa","TAB:I","476.2;488.2;518.2;621.1;665.2;1792.1"
"690-368-817","6","Harappa","TAB:B;TAB:I","405.1;1054.1;1262.1;1322.1;3976.1;4935.1"
"740-000-000","6","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B;TAB:C","1547.1;1846.2;3732.1;4946.1;5398.1;5512.1"
"158-806-465","5","Harappa","TAB:B","1223.1;1626.1;1628.1;3965.1;3966.1"
"740-220-003","5","Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","2814.1;3720.1;3722.1;3723.1;3724.1"
"868-705-590","5","Harappa","TAB:I","234.1;532.1;647.2;1778.1;1781.1"
"868-706-590","5","Harappa","TAB:I","390.1;671.1;1321.1;1779.1;4052.2"
"154-806-468","4","Harappa;Mohenjo-daro","SEAL:R","1193.1;1585.1;1588.1;2223.1"
"520-033-033","4","Dholavira;Harappa","SEAL:S;TAB:B","628.2;831.2;876.2;4149.1"
"740-615-503","4","Mohenjo-daro","SEAL:S;TAB:C","2320.1;2522.1;2992.2;2993.2"
"740-900-005","4","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1489.1;2665.1;3667.1;3996.1"
"200-705-380","3","Harappa","TAB:B","270.1;395.2;1759.1"
"220-700-004","3","Harappa","TAB:I","1324.1;1793.2;4056.2"
"400-236-220","3","Harappa","TAB:B","751.2;927.2;3969.1"
"400-520-233","3","Harappa","TAB:B","526.1;1268.1;1603.1"
"400-740-717","3","Harappa","TAB:B;TAB:I","427.2;905.1;1212.1"
"407-585-233","3","Mohenjo-daro","TAB:C","2989.2;2990.2;2991.2"
"520-033-705","3","Lothal;Mohenjo-daro","SEAL;SEAL:S;TAG:O","2088.1;2649.1;3658.1"
"617-550-003","3","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","552.1;1108.1;2897.1"
