"next","known_next","site","type","count","prev520_count","next415_count","damaged_or_open_count","examples"
"<END>","false","Chanhu-daro","TAB:B","1","0","0","0","116.1"
"<END>","false","Dholavira","SEAL:S","1","0","0","0","4224.1"
"<END>","false","Dholavira","TAG","2","0","0","1","3952.1;4291.1"
"<END>","false","Farmana","SEAL:S","1","0","0","0","149.1"
"<END>","false","Guddal A","POT:T:g","1","0","0","1","5418.1"
"<END>","false","Harappa","POT:M","1","0","0","0","4108.1"
"<END>","false","Harappa","POT:T:g","6","0","0","5","185.1;186.1;707.1;984.1;4132.1;5397.1"
"<END>","false","Harappa","POT:T:s","1","0","0","1","1029.1"
"<END>","false","Harappa","SEAL","1","0","0","1","1520.1"
"<END>","false","Harappa","SEAL:S","4","2","0","4","739.1;741.1;1500.1;1519.1"
"<END>","false","Harappa","TAB:B","16","0","0","3","220.1;313.1;467.2;485.1;553.2;568.1;653.1;751.2"
"<END>","false","Harappa","TAB:I","19","3","0","5","187.2;217.1;250.1;252.1;277.2;282.2;308.2;491.1"
"<END>","false","Harappa","TAG","1","0","0","1","517.2"
"<END>","false","Kalibangan","MISC","1","0","0","0","5351.1"
"<END>","false","Kalibangan","POT:T:g","2","0","0","2","1954.1;5309.1"
"<END>","false","Kanmer","POT:T:g","1","0","0","0","5452.1"
"<END>","false","Lothal","SEAL:S","2","0","0","0","2011.1;2032.4"
"<END>","false","Lothal","TAG","2","0","0","2","2086.1;2122.1"
"<END>","false","Mohenjo-daro","MDLN","1","0","0","0","2928.2"
"<END>","false","Mohenjo-daro","SEAL","2","0","0","2","3405.1;3434.1"
"<END>","false","Mohenjo-daro","SEAL:R","5","0","0","3","2906.1;3599.1;3617.1;3635.1;3649.1"
"<END>","false","Mohenjo-daro","SEAL:S","8","2","0","1","2710.1;2728.1;3078.1;3155.1;3292.1;3360.1;3371.1;3492.1"
"<END>","false","Mohenjo-daro","TAB:B","4","0","0","0","2432.1;2432.2;2518.1;2958.1"
"<END>","false","Mohenjo-daro","TAB:C","2","0","0","0","2284.2;3061.2"
"<END>","false","Rakhigarhi","TAB:I","1","0","0","1","5562.1"
"<END>","false","Rakhigarhi","Unknown","1","0","0","1","5559.1"
"000","true","Allahdino","POT:T:g","1","0","0","0","4.1"
"000","true","Banawali","SEAL:S","1","0","0","1","5567.1"
"000","true","Chandigarh","POT:T:g","1","0","0","0","53.1"
"000","true","Chanhu-daro","MISC","1","0","0","0","115.1"
"000","true","Dholavira","SEAL","2","0","0","2","4191.1;4199.1"
"000","true","Dholavira","TAG","2","0","0","2","3377.1;4298.1"
"000","true","Dholavira","TAG:PC","1","0","0","1","4335.2"
"000","true","Harappa","POT:T:g","1","0","0","0","166.1"
"000","true","Harappa","POT:T:p","1","0","0","1","1159.1"
"000","true","Harappa","SEAL:S","4","0","0","3","576.1;1409.1;1531.1;1537.1"
"000","true","Harappa","TAB:B","7","0","0","2","595.1;824.2;925.2;928.1;947.2;1686.2;3964.1"
"000","true","Kalibangan","SEAL","1","0","0","1","1408.1"
"000","true","Kot-Diji","POT:T:g","1","0","0","0","1972.1"
"000","true","Lothal","TAG","1","0","0","1","2111.1"
"000","true","Mohenjo-daro","SEAL:R","1","0","0","1","4017.1"
"000","true","Mohenjo-daro","SEAL:S","1","0","0","1","3161.1"
"000","true","Mohenjo-daro","TAB:C","1","0","0","0","3069.1"
"000","true","Ra's al-Junayz","POT:T:g","1","0","0","1","3864.1"
"001","true","Mohenjo-daro","SEAL:S","3","1","0","1","2332.1;3073.1;3995.1"
"002","true","Banawali","SEAL:S","1","0","0","0","27.1"
"002","true","Banawali","TAG","1","1","0","1","41.1"
"002","true","Harappa","POT:T:g","1","0","0","1","1394.1"
"002","true","Harappa","SEAL:R","1","0","0","0","1190.1"
"002","true","Harappa","SEAL:S","2","0","0","0","223.1;1399.1"
"002","true","Lothal","TAG","3","0","0","3","2127.2;2129.2;2131.1"
"002","true","Mohenjo-daro","SEAL","1","0","0","0","2277.1"
"002","true","Mohenjo-daro","SEAL:S","9","3","0","1","2268.1;2292.1;2357.3;2735.1;2827.1;3278.1;3483.1;3509.1"
"002","true","Mohenjo-daro","TAB:B","1","0","0","0","2938.1"
"002","true","Mohenjo-daro","TAG:O","1","0","0","1","3721.1"
"003","true","Harappa","POT:T:g","1","0","0","1","174.1"
"003","true","Harappa","SEAL:R","1","0","0","0","1175.1"
"003","true","Harappa","SEAL:S","3","0","0","0","237.1;303.1;1127.1"
"003","true","Kalibangan","SEAL:S","2","0","0","0","1883.1;1884.1"
"003","true","Kish","SEAL:S","1","0","0","0","1971.1"
"003","true","Mohenjo-daro","SEAL:R","2","0","0","0","3722.1;3724.1"
"003","true","Mohenjo-daro","SEAL:S","5","2","0","0","2441.1;2516.1;2621.1;2814.1;3149.1"
