"stratum","known_220_next","prev520_next415","prev520_not415","non520_next415","non520_not415","p415_given_prev520","p415_given_non520","risk_ratio","odds_ratio"
"ALL","390","28","32","63","267","0.4667","0.1909","2.4447","3.7083"
"site=Mohenjo-daro","181","8","22","35","116","0.2667","0.2318","1.1506","1.2052"
"site=Harappa","127","19","6","25","77","0.76","0.2451","3.1008","9.7533"
"site=Lothal","24","1","0","0","23","1","0",,
"site=Dholavira","12","0","1","0","11","0","0",,
"site=Kalibangan","11","0","1","0","10","0","0",,
"type=SEAL:S","199","8","26","21","144","0.2353","0.1273","1.8484","2.1099"
"type=TAB:B","47","4","3","17","23","0.5714","0.425","1.3445","1.8039"
"type=TAB:I","33","13","2","6","12","0.8667","0.3333","2.6004","13"
"type=SEAL:R","36","2","0","13","21","1","0.3824","2.6151",
"type=POT:T:g","14","0","0","0","14",,"0",,
"type=TAG","19","1","1","0","17","0.5","0",,
"type=TAB:C","11","0","0","4","7",,"0.3636","0",
"site_type=Mohenjo-daro, SEAL:S","129","7","22","15","85","0.2414","0.15","1.6093","1.803"
"site_type=Harappa, TAB:B","40","4","3","14","19","0.5714","0.4242","1.347","1.8095"
"site_type=Harappa, TAB:I","31","13","1","6","11","0.9286","0.3529","2.6313","23.8333"
"site_type=Harappa, SEAL:S","37","1","2","4","30","0.3333","0.1176","2.8342","3.75"
"site_type=Mohenjo-daro, SEAL:R","25","1","0","11","13","1","0.4583","2.182",
"site_type=Lothal, TAG","13","0","0","0","13",,"0",,
"site_type=Mohenjo-daro, TAB:C","11","0","0","4","7",,"0.3636","0",
"site_type=Harappa, POT:T:g","6","0","0","0","6",,"0",,
"site_type=Mohenjo-daro, TAB:B","7","0","0","3","4",,"0.4286","0",
