"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","length","lipi_sequence"
"M-1","2531.1","Mohenjo-daro","SEAL:S","R/L","5","001 368 861 255 371"
"M-3","2532.1","Mohenjo-daro","SEAL:S","R/L","3","717 032 521"
"M-5","2534.1","Mohenjo-daro","SEAL:S","R/L","6","740 773 240 235 060 692"
"M-6","2535.1","Mohenjo-daro","SEAL:S","R/L","4","820 880 065 244"
"M-8","2537.1","Mohenjo-daro","SEAL:S","R/L","3","706 140 632"
"M-9","2538.1","Mohenjo-daro","SEAL:S","R/L","3","031 311 745"
"M-12","2540.1","Mohenjo-daro","SEAL:S","R/L","9","740 390 590 233 002 368 202 892 371"
"M-13","2541.1","Mohenjo-daro","SEAL:S","R/L","3","368 304 125"
"M-14","2542.1","Mohenjo-daro","SEAL:S","R/L","5","740 776 503 002 817"
"M-15","2543.1","Mohenjo-daro","SEAL:S","R/L","5","090 740 176 002 861"
"M-16","2544.1","Mohenjo-daro","SEAL:S","R/L","4","820 130 035 171"
"M-17","2545.1","Mohenjo-daro","SEAL:S","R/L","5","390 016 002 814 560"
"M-18","2546.1","Mohenjo-daro","SEAL:S","R/L","3","932 740 055"
"M-21","2549.1","Mohenjo-daro","SEAL:S","R/L","8","350 001 740 362 692 032 002 861"
"M-24","2552.1","Mohenjo-daro","SEAL:S","R/L","7","090 740 240 235 002 906 140"
"M-26","2554.1","Mohenjo-daro","SEAL:S","R/L","5","090 740 531 060 692"
"M-29","2557.1","Mohenjo-daro","SEAL:S","R/L","9","740 055 240 235 806 002 220 455 503"
"M-30","2558.1","Mohenjo-daro","SEAL:S","R/L","7","740 752 017 503 240 235 806"
"M-31","2559.1","Mohenjo-daro","SEAL:S","R/L","6","740 269 511 233 060 820"
"M-32","2560.1","Mohenjo-daro","SEAL:S","R/L","4","390 003 002 817"
"M-33","2561.1","Mohenjo-daro","SEAL:S","R/L","7","740 032 923 382 233 002 112"
"M-34","2562.1","Mohenjo-daro","SEAL:S","R/L","7","740 336 176 002 405 372 374"
"M-35","2563.1","Mohenjo-daro","SEAL:S","R/L","7","740 390 590 233 231 002 107"
"M-36","2564.1","Mohenjo-daro","SEAL:S","R/L","9","740 794 630 220 032 002 368 906 329"
"M-37","2565.1","Mohenjo-daro","SEAL:S","R/L","3","520 220 415"
"M-38","2566.1","Mohenjo-daro","SEAL:S","R/L","13","740 690 435 255 220 032 240 235 002 390 125 632 032"
"M-40","2568.1","Mohenjo-daro","SEAL:S","R/L","5","391 002 527 475 005"
