mode,constraint_id,left,right,row_satisfied,row_total,row_share,family_satisfied,family_violated,family_tied,family_count,family_share,null_share_fpr,null_satisfied_fpr,verdict
carrier,400_before_740,400,740,127,140,0.9071428571428571,71,11,0,82,0.8658536585365854,0,0,survives_family_collapse
carrier,740_before_002,740,002,332,333,0.996996996996997,179,1,0,180,0.9944444444444445,0,0,survives_family_collapse
carrier,740_before_861,740,861,89,89,1,63,0,0,63,1,0,0,survives_family_collapse
carrier,740_before_820,740,820,80,84,0.9523809523809523,54,3,1,58,0.9310344827586207,0,0,survives_family_collapse
carrier,740_before_817,740,817,70,74,0.9459459459459459,47,3,1,51,0.9215686274509803,0,0,survives_family_collapse
carrier,002_before_861,002,861,149,154,0.9675324675324676,97,1,2,100,0.97,0,0,survives_family_collapse
carrier,002_before_820,002,820,96,100,0.96,68,4,0,72,0.9444444444444444,0,0,survives_family_collapse
carrier,002_before_817,002,817,124,129,0.9612403100775194,76,5,0,81,0.9382716049382716,0,0,survives_family_collapse
carrier,806_before_002,806,002,23,23,1,17,0,0,17,1,0,0,survives_family_collapse
site_type,400_before_740,400,740,127,140,0.9071428571428571,13,4,1,18,0.7222222222222222,0.0132,0.0132,weak_after_family_collapse
site_type,740_before_002,740,002,332,333,0.996996996996997,40,1,0,41,0.975609756097561,0,0,survives_family_collapse
site_type,740_before_861,740,861,89,89,1,19,0,0,19,1,0,0,survives_family_collapse
site_type,740_before_820,740,820,80,84,0.9523809523809523,16,1,2,19,0.8421052631578947,0.0002,0.0002,survives_family_collapse
site_type,740_before_817,740,817,70,74,0.9459459459459459,18,1,0,19,0.9473684210526315,0,0,survives_family_collapse
site_type,002_before_861,002,861,149,154,0.9675324675324676,29,1,0,30,0.9666666666666667,0,0,survives_family_collapse
site_type,002_before_820,002,820,96,100,0.96,22,1,1,24,0.9166666666666666,0,0,survives_family_collapse
site_type,002_before_817,002,817,124,129,0.9612403100775194,24,1,0,25,0.96,0,0,survives_family_collapse
site_type,806_before_002,806,002,23,23,1,8,0,0,8,1,0.0018,0.0018,survives_family_collapse
icon_type,400_before_740,400,740,127,140,0.9071428571428571,32,10,0,42,0.7619047619047619,0,0,weak_after_family_collapse
icon_type,740_before_002,740,002,332,333,0.996996996996997,91,0,0,91,1,0,0,survives_family_collapse
icon_type,740_before_861,740,861,89,89,1,44,0,0,44,1,0,0,survives_family_collapse
icon_type,740_before_820,740,820,80,84,0.9523809523809523,37,2,2,41,0.9024390243902439,0,0,survives_family_collapse
icon_type,740_before_817,740,817,70,74,0.9459459459459459,30,1,3,34,0.8823529411764706,0,0,survives_family_collapse
icon_type,002_before_861,002,861,149,154,0.9675324675324676,58,1,0,59,0.9830508474576272,0,0,survives_family_collapse
icon_type,002_before_820,002,820,96,100,0.96,43,3,0,46,0.9347826086956522,0,0,survives_family_collapse
icon_type,002_before_817,002,817,124,129,0.9612403100775194,42,2,1,45,0.9333333333333333,0,0,survives_family_collapse
icon_type,806_before_002,806,002,23,23,1,9,0,0,9,1,0.0008,0.0008,survives_family_collapse
broad,400_before_740,400,740,127,140,0.9071428571428571,32,7,2,41,0.7804878048780488,0,0,weak_after_family_collapse
broad,740_before_002,740,002,332,333,0.996996996996997,76,0,0,76,1,0,0,survives_family_collapse
broad,740_before_861,740,861,89,89,1,38,0,0,38,1,0,0,survives_family_collapse
broad,740_before_820,740,820,80,84,0.9523809523809523,33,2,2,37,0.8918918918918919,0,0,survives_family_collapse
broad,740_before_817,740,817,70,74,0.9459459459459459,28,1,1,30,0.9333333333333333,0,0,survives_family_collapse
broad,002_before_861,002,861,149,154,0.9675324675324676,59,0,0,59,1,0,0,survives_family_collapse
broad,002_before_820,002,820,96,100,0.96,36,3,0,39,0.9230769230769231,0,0,survives_family_collapse
broad,002_before_817,002,817,124,129,0.9612403100775194,42,1,1,44,0.9545454545454546,0,0,survives_family_collapse
broad,806_before_002,806,002,23,23,1,9,0,0,9,1,0.001,0.001,survives_family_collapse
